
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 22, 2005 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	-	22	31,116	45,997	131	90	64	141													
NEW ENGLAND	-	-	1,806	1,890	-	-	1	10													
Maine	-	-	147	103	N	N	-	4													
N.H.	-	-	96	89	-	-	-	1													
Vt.	-	-	50	53	-	-	1	2													
Mass.	-	-	873	967	-	-	-	3													
R.I.	-	-	212	271	-	-	-	-													
Conn.	-	-	428	407	N	N	-	-													
MID. ATLANTIC	-	14	4,042	4,970	-	-	11	17													
Upstate N.Y.	-	-	439	436	N	N	2	4													
N.Y. City	-	14	1,370	1,818	-	-	1	5													
N.J.	-	-	553	1,096	N	-	-	1													
Pa.	-	-	1,680	1,620	N	N	8	7													
E.N. CENTRAL	-	5	3,387	7,531	-	-	9	32													
Ohio	-	-	48	1,948	N	N	9	10													
Ind.	-	-	1,156	850	N	N	-	-													
Ill.	-	-	1,583	2,286	-	-	-	10													
Mich.	-	5	243	1,548	-	-	-	5													
Wis.	-	-	357	899	N	-	-	7													
W.N. CENTRAL	-	-	742	3,200	-	1	5	9													
Minn.	-	-	-	719	N	N	-	2													
Iowa	-	-	-	395	N	N	1	1													
Mo.	-	-	244	1,154	-	-	2	2													
N. Dak.	-	-	21	76	N	N	-	-													
S. Dak.	-	-	163	124	-	-	1	2													
Nebr.	-	-	-	291	-	1	-	-													
Kans.	-	-	314	441	N	N	1	2													
S. ATLANTIC	-	-	8,008	8,195	-	-	21	30													
Del.	-	-	190	140	N	N	-	-													
Md.	-	-	759	993	-	-	3	2													
D.C.	-	-	165	178	-	-	-	-													
Va.	-	-	1,614	1,288	-	-	-	-													
W. Va.	-	-	130	154	N	N	-	-													
N.C.	-	-	1,798	1,360	N	N	4	8													
S.C.	-	-	878	578	-	-	-	1													
Ga.	-	-	596	1,837	-	-	8	8													
Fla.	-	-	1,878	1,667	N	N	6	11													
E.S. CENTRAL	-	-	1,965	2,979	-	-	4	7													
Ky.	-	-	559	324	N	N	1	1													
Tenn.	-	-	842	1,281	N	N	1	2													
Ala.	-	-	69	737	-	-	2	3													
Miss.	-	-	495	637	-	-	-	1													
W.S. CENTRAL	-	-	4,378	6,652	-	-	-	5													
Ark.	-	-	451	412	-	-	-	2													
La.	-	-	572	2,083	-	-	-	-													
Okla.	-	-	392	557	N	N	-	-													
Tex.	-	-	2,963	3,600	N	N	-	3													
MOUNTAIN	-	-	2,137	2,832	87	7	2	7													
Mont.	-	-	7	-	N	N	-	-													
Idaho	-	-	90	99	N	N	-	-													
Wyo.	-	-	40	51	-	-	-	1													
Colo.	-	-	439	658	N	N	1	5													
N. Mex.	-	-	56	403	-	1	-	-													
Ariz.	-	-	1,132	1,065	84	-	1	-													
Utah	-	-	143	183	-	1	-	-													
Nev.	-	-	230	373	3	5	-	1													
PACIFIC	-	3	4,651	7,748	44	82	11	24													
Wash.	-	-	976	786	N	N	-	-													
Oreg.	-	-	379	348	-	-	1	1													
Calif.	-	3	3,121	6,114	44	82	10	23													
Alaska	-	-	132	127	-	-	-	-													
Hawaii	-	-	43	373	-	-	-	-													
Guam	-	-	-	64	-	-	-	-													
P.R.	-	-	100	81	N	N	N	N													
V.I.	-	-	-	35	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


