
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 15, 2005 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	122	242	60	138	20	25	106	251	2	18											
NEW ENGLAND	5	9	-	-	1	3	9	4	-	-											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	1	-	-	-	-	-	-	-	-											
Vt.	-	-	-	-	-	-	-	-	-	-											
Mass.	5	8	N	N	1	3	9	1	-	-											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	-	-	-	U	U	-	3	-	-											
MID. ATLANTIC	17	35	2	11	2	2	5	27	-	3											
Upstate N.Y.	10	8	1	2	1	1	-	-	-	-											
N.Y. City	1	11	U	U	U	U	-	17	-	1											
N.J.	3	7	-	-	1	-	4	7	-	1											
Pa.	3	9	1	9	-	1	1	3	-	1											
E.N. CENTRAL	5	65	8	32	6	10	1	30	-	1											
Ohio	2	16	8	30	6	8	-	6	-	-											
Ind.	-	-	-	2	-	-	1	4	-	-											
Ill.	-	20	-	-	-	-	-	11	-	-											
Mich.	3	23	N	N	-	-	-	7	-	1											
Wis.	-	6	N	N	-	2	-	2	-	-											
W.N. CENTRAL	10	13	3	1	3	1	-	5	-	-											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	N	N	N	N	-	-	-	1	-	-											
Mo.	4	4	3	1	-	-	-	4	-	-											
N. Dak.	1	-	-	-	1	-	-	-	-	-											
S. Dak.	3	1	-	-	-	-	-	-	-	-											
Nebr.	2	2	-	-	1	1	-	-	-	-											
Kans.	-	6	N	N	1	-	-	-	-	-											
S. ATLANTIC	43	38	40	71	4	2	52	60	-	5											
Del.	-	-	-	-	-	-	-	1	-	-											
Md.	22	6	-	-	4	2	10	13	-	1											
D.C.	-	-	-	-	-	-	5	1	-	-											
Va.	-	-	N	N	-	-	1	1	-	1											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	5	2	N	N	U	U	11	5	-	-											
S.C.	-	1	-	-	-	-	-	4	-	1											
Ga.	7	16	13	29	-	-	-	4	-	-											
Fla.	9	13	27	42	-	-	25	31	-	2											
E.S. CENTRAL	2	14	2	6	-	-	10	11	1	1											
Ky.	-	1	-	1	-	-	-	4	-	-											
Tenn.	2	13	2	5	-	-	7	5	-	-											
Ala.	-	-	-	-	-	-	3	1	1	1											
Miss.	-	-	-	-	-	-	-	1	-	-											
W.S. CENTRAL	2	27	3	5	1	2	18	46	-	6											
Ark.	-	-	1	1	-	-	-	1	-	-											
La.	-	1	2	4	-	1	4	7	-	-											
Okla.	2	1	N	N	1	-	2	1	-	1											
Tex.	-	25	N	N	-	1	12	37	-	5											
MOUNTAIN	24	17	1	3	3	5	4	12	1	-											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	1	N	N	-	-	-	3	-	-											
Wyo.	-	2	-	1	-	-	-	-	-	-											
Colo.	12	6	-	-	3	5	-	2	-	-											
N. Mex.	-	8	-	2	-	-	-	4	-	-											
Ariz.	12	-	N	N	-	-	2	2	1	-											
Utah	-	-	1	-	-	-	-	-	-	-											
Nev.	-	-	-	-	-	-	2	1	-	-											
PACIFIC	14	24	1	9	-	-	7	56	-	2											
Wash.	-	-	-	-	-	-	2	-	-	-											
Oreg.	N	N	N	N	-	-	-	-	-	-											
Calif.	10	19	N	N	-	-	5	56	-	2											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	4	5	1	9	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	N	N	N	N	-	-	-	2	-	-											
V.I.	-	-	-	-	-	-	-	1	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


