
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 29, 2004 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	9,780	10,893	3,777	8,422	2,130	3,047	1,142	1,172	239	266											
NEW ENGLAND	490	539	88	110	101	291	13	51	4	1											
Maine	30	34	1	4	3	17	1	-	-	-											
N.H.	31	35	4	3	11	15	-	-	N	N											
Vt.	18	16	2	4	5	14	6	5	1	1											
Mass.	262	316	56	72	66	132	N	N	N	N											
R.I.	39	25	4	3	16	5	6	-	3	-											
Conn.	110	113	21	24	-	108	-	46	U	U											
MID. ATLANTIC	1,308	1,403	456	790	357	525	83	71	51	47											
Upstate N.Y.	330	279	212	124	123	193	38	33	37	34											
N.Y. City	353	411	127	154	48	77	U	U	U	U											
N.J.	210	227	68	158	66	107	N	N	N	N											
Pa.	415	486	49	354	120	148	45	38	14	13											
E.N. CENTRAL	1,328	1,537	276	715	383	769	253	247	77	95											
Ohio	369	432	71	106	135	171	192	165	51	53											
Ind.	132	165	47	48	44	64	61	82	16	13											
Ill.	321	499	87	400	35	210	-	-	-	-											
Mich.	264	230	35	104	154	224	N	N	N	N											
Wis.	242	211	36	57	15	100	N	N	10	29											
W.N. CENTRAL	706	604	142	270	162	185	114	95	22	23											
Minn.	178	160	19	36	73	87	-	-	18	20											
Iowa	140	115	29	20	N	N	N	N	N	N											
Mo.	201	159	54	116	40	40	6	6	4	1											
N. Dak.	13	14	1	3	6	8	-	3	-	2											
S. Dak.	25	27	6	8	8	14	2	-	-	-											
Nebr.	49	56	7	58	8	19	-	-	N	N											
Kans.	100	73	26	29	27	17	106	86	N	N											
S. ATLANTIC	2,179	2,510	1,106	2,616	446	472	537	566	7	5											
Del.	15	32	3	127	2	5	3	1	N	N											
Md.	189	252	42	217	95	135	-	4	-	-											
D.C.	14	12	20	24	4	4	3	-	3	-											
Va.	258	255	36	121	38	47	N	N	N	N											
W. Va.	46	25	-	-	13	22	63	35	4	5											
N.C.	279	375	133	273	65	36	N	N	U	U											
S.C.	128	136	183	148	35	21	50	87	N	N											
Ga.	309	365	223	569	91	100	117	141	N	N											
Fla.	941	1,058	466	1,137	103	102	301	298	N	N											
E.S. CENTRAL	547	657	220	408	113	98	63	76	-	-											
Ky.	105	110	31	46	36	24	17	6	N	N											
Tenn.	156	216	88	139	77	74	46	70	N	N											
Ala.	169	180	78	142	-	-	-	-	N	N											
Miss.	117	151	23	81	-	-	-	-	-	-											
W.S. CENTRAL	807	1,151	745	2,271	108	146	30	48	50	63											
Ark.	121	130	20	27	6	3	5	17	7	4											
La.	129	194	92	194	1	1	25	31	8	14											
Okla.	101	86	196	289	31	42	N	N	24	26											
Tex.	456	741	437	1,761	70	100	N	N	11	19											
MOUNTAIN	775	730	267	353	265	273	15	16	28	32											
Mont.	51	37	3	2	-	1	-	-	-	-											
Idaho	56	71	5	8	4	11	N	N	N	N											
Wyo.	20	40	1	1	5	1	4	2	-	-											
Colo.	175	193	50	56	72	78	-	-	26	30											
N. Mex.	68	61	38	71	42	68	5	13	-	-											
Ariz.	255	205	134	179	118	95	N	N	N	N											
Utah	81	67	16	19	23	18	4	1	2	2											
Nev.	69	56	20	17	1	1	2	-	-	-											
PACIFIC	1,640	1,762	477	889	195	288	34	2	-	-											
Wash.	140	191	33	78	24	26	-	-	N	N											
Oreg.	133	161	24	35	N	N	N	N	N	N											
Calif.	1,217	1,302	402	761	134	217	N	N	N	N											
Alaska	32	36	3	4	-	-	-	-	N	N											
Hawaii	118	72	15	11	37	45	34	2	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	50	253	1	4	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


