
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 3, 2000 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	1,054	1,217	3	168	170	80	1,951	2,550	3	55	89										
NEW ENGLAND	60	63	-	2	3	10	477	259	-	5	7										
Maine	5	4	-	-	-	-	12	-	-	-	-										
N.H.	4	9	-	-	1	5	59	53	-	1	-										
Vt.	2	4	-	-	-	5	107	9	-	-	-										
Mass.	39	38	-	-	2	-	274	185	-	3	7										
R.I.	3	2	-	1	-	-	7	3	-	-	-										
Conn.	7	6	U	1	-	U	18	9	U	1	-										
MID. ATLANTIC	101	120	-	9	20	7	155	558	-	2	13										
Upstate N.Y.	27	32	-	6	4	7	87	484	-	2	9										
N.Y. City	24	39	-	-	3	-	-	10	-	-	-										
N.J.	21	21	-	-	1	-	-	15	-	-	1										
Pa.	29	28	-	3	12	-	68	49	-	-	3										
E.N. CENTRAL	190	206	1	18	23	5	229	201	-	-	-										
Ohio	42	76	-	7	6	4	160	102	-	-	-										
Ind.	27	23	-	-	2	-	22	10	-	-	-										
Ill.	43	56	1	4	7	-	20	40	-	-	-										
Mich.	60	27	-	7	7	1	17	18	-	-	-										
Wis.	18	24	-	-	1	-	10	31	-	-	-										
W.N. CENTRAL	84	123	-	12	6	11	97	76	-	2	43										
Minn.	7	27	-	-	1	6	53	24	-	-	-										
Iowa	16	23	-	5	3	4	15	16	-	-	8										
Mo.	48	45	-	1	1	-	14	17	-	-	-										
N. Dak.	2	3	-	-	-	-	1	-	-	-	-										
S. Dak.	4	5	-	-	-	-	1	2	-	-	-										
Nebr.	3	7	-	2	-	-	3	1	-	-	35										
Kans.	4	13	-	4	1	1	10	16	-	2	-										
S. ATLANTIC	173	183	1	28	30	7	163	118	3	32	2										
Del.	-	3	-	-	-	-	4	-	-	-	-										
Md.	16	30	-	6	4	1	40	38	-	-	1										
D.C.	-	1	-	-	2	-	-	-	-	-	-										
Va.	29	24	-	4	8	-	15	13	-	-	-										
W. Va.	7	4	-	-	-	-	-	1	-	-	-										
N.C.	28	25	1	4	5	5	44	27	3	23	1										
S.C.	12	23	U	8	3	U	16	7	U	7	-										
Ga.	27	30	-	2	1	1	20	15	-	-	-										
Fla.	54	43	-	4	7	-	24	17	-	2	-										
E.S. CENTRAL	76	91	-	5	3	2	33	51	-	4	2										
Ky.	16	16	-	-	-	-	16	12	-	1	-										
Tenn.	35	33	-	2	-	2	8	25	-	-	-										
Ala.	21	25	-	2	1	-	8	12	-	3	2										
Miss.	4	17	-	1	2	-	1	2	-	-	-										
W.S. CENTRAL	82	121	-	18	22	2	66	71	-	4	4										
Ark.	7	22	-	1	-	-	9	5	-	-	-										
La.	25	40	-	3	3	-	3	3	-	-	-										
Okla.	20	19	-	-	1	-	6	8	-	-	-										
Tex.	30	40	-	14	18	2	48	55	-	4	4										
MOUNTAIN	59	85	-	14	9	12	362	281	-	1	15										
Mont.	1	2	-	1	-	-	7	2	-	-	-										
Idaho	6	8	-	-	1	2	41	93	-	-	-										
Wyo.	-	3	U	1	-	U	-	2	U	-	-										
Colo.	18	23	-	1	3	7	201	78	-	1	-										
N. Mex.	7	10	-	1	N	2	63	17	-	-	-										
Ariz.	18	28	-	3	-	1	38	57	-	-	13										
Utah	7	6	-	4	2	-	8	30	-	-	1										
Nev.	2	5	U	3	3	U	4	2	U	-	1										
PACIFIC	229	225	1	62	54	24	369	935	-	5	3										
Wash.	24	34	-	3	1	17	121	472	-	-	-										
Oreg.	31	40	N	N	N	3	41	19	-	-	-										
Calif.	165	142	1	54	47	3	196	423	-	5	3										
Alaska	3	5	-	4	1	1	7	3	-	-	-										
Hawaii	6	4	-	1	5	-	4	18	-	-	-										
Guam	-	1	U	-	1	U	-	1	U	-	-										
P.R.	4	8	-	-	-	-	-	7	-	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


