
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending June 7, 2008 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	30	47	262	1,342	1,393	8	9	43	220	278	78	229	351	4,671	4,492						
NEW ENGLAND	-	1	41	24	81	-	0	8	4	12	1	6	14	119	98						
Conn.	-	0	37	-	51	-	0	7	-	4	-	0	6	8	11						
Maine	-	0	2	10	7	-	0	1	1	1	-	0	2	2	2						
Mass.	-	0	0	-	-	-	0	0	-	2	1	4	11	103	57						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	3	4	11						
R.I.	-	0	3	5	12	-	0	1	1	3	-	0	3	2	15						
Vt.	-	0	2	9	11	-	0	1	2	2	-	0	5	-	2						
MID. ATLANTIC	4	2	8	88	84	-	0	2	15	19	20	33	45	759	687						
N.J.	-	0	0	-	-	-	0	0	-	-	-	4	10	87	81						
N.Y. (Upstate)	1	1	4	29	27	-	0	2	4	8	1	3	13	57	54						
N.Y. City	-	0	2	2	-	-	0	0	-	-	16	17	30	481	436						
Pa.	3	1	8	57	57	-	0	2	11	11	3	5	12	134	116						
E.N. CENTRAL	6	13	50	384	382	1	2	14	62	62	7	17	31	381	372						
Ill.	-	2	15	51	72	-	0	6	11	23	-	7	19	67	193						
Ind.	-	3	28	117	81	-	0	11	15	10	-	2	6	63	17						
Mich.	-	0	2	6	-	-	0	1	1	1	3	2	17	95	49						
Ohio	6	7	15	210	229	1	1	4	35	28	4	4	14	135	86						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	4	21	27						
W.N. CENTRAL	1	3	106	101	104	-	0	9	7	17	-	8	15	170	131						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	6	7						
Kans.	-	1	5	45	57	-	0	1	2	2	-	0	5	16	8						
Minn.	-	0	105	-	1	-	0	9	-	11	-	1	4	39	30						
Mo.	1	1	8	56	38	-	0	1	2	-	-	5	10	106	82						
Nebr.	-	0	0	-	2	-	0	0	-	-	-	0	1	3	3						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	2	-	6	-	0	1	3	4	-	0	3	-	1						
S. ATLANTIC	14	21	39	556	594	6	3	10	94	134	25	49	215	980	965						
Del.	-	0	1	2	5	-	0	1	-	1	-	0	4	5	6						
D.C.	-	0	0	-	4	-	0	0	-	-	-	2	11	47	81						
Fla.	9	11	26	322	327	5	2	6	61	70	12	18	34	384	323						
Ga.	5	7	18	185	221	1	1	6	28	56	-	9	175	98	125						
Md.	-	0	2	3	1	-	0	1	1	-	8	7	14	162	124						
