
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 8, 1998 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	663	699	12,988	16,419	4,807	5,549	-	28	-	19	47	100									
NEW ENGLAND	37	39	151	420	76	101	-	1	-	2	3	18									
Maine	2	3	13	45	2	6	-	-	-	-	-	1									
N.H.	7	6	8	21	10	7	-	-	-	-	-	1									
Vt.	3	3	13	8	3	5	-	-	-	1	1	-									
Mass.	22	23	47	176	18	43	-	1	-	1	2	15									
R.I.	2	2	10	92	43	11	-	-	-	-	-	-									
Conn.	1	2	60	78	-	29	-	-	-	-	-	1									
MID. ATLANTIC	94	101	856	1,312	671	805	-	9	-	4	13	21									
Upstate N.Y.	39	27	203	196	184	168	-	2	-	-	2	5									
N.Y. City	18	27	213	587	176	303	-	-	-	-	-	7									
N.J.	32	33	197	194	105	157	-	7	-	1	8	3									
Pa.	5	14	243	335	206	177	-	-	-	3	3	6									
E.N. CENTRAL	102	117	1,755	1,680	493	914	-	11	-	3	14	8									
Ohio	38	65	202	213	45	54	-	-	-	1	1	-									
Ind.	27	11	99	185	61	69	-	2	-	1	3	-									
Ill.	30	27	273	441	90	175	-	-	-	-	-	6									
Mich.	3	14	1,068	716	275	260	-	9	-	1	10	2									
Wis.	4	-	113	125	22	356	-	-	-	-	-	-									
W.N. CENTRAL	64	36	971	1,241	254	303	-	-	-	-	-	12									
Minn.	49	27	83	111	24	23	-	-	-	-	-	3									
Iowa	2	3	384	215	45	23	-	-	-	-	-	-									
Mo.	8	3	391	651	151	222	U	-	U	-	-	1									
N. Dak.	-	-	3	10	4	3	U	-	U	-	-	-									
S. Dak.	-	2	18	15	1	-	-	-	-	-	-	8									
Nebr.	-	1	24	50	9	9	-	-	-	-	-	-									
Kans.	5	-	68	189	20	23	U	-	U	-	-	-									
S. ATLANTIC	137	108	1,109	956	690	698	-	3	-	5	8	9									
Del.	-	-	3	20	-	4	-	-	-	1	1	-									
Md.	41	44	193	131	96	102	-	-	-	1	1	2									
D.C.	-	-	34	16	8	24	-	-	-	-	-	1									
Va.	13	7	144	126	60	77	-	-	-	2	2	1									
W. Va.	4	3	1	6	4	9	-	-	-	-	-	-									
N.C.	20	17	66	118	127	151	-	-	-	-	-	1									
S.C.	3	3	18	69	22	62	-	-	-	-	-	1									
Ga.	28	21	323	199	117	71	-	1	-	1	2	1									
Fla.	28	13	327	271	256	198	-	2	-	-	2	2									
E.S. CENTRAL	40	39	217	393	240	409	-	-	-	2	2	1									
Ky.	6	6	14	49	25	26	-	-	-	-	-	-									
Tenn.	24	23	153	243	170	277	-	-	-	-	-	-									
Ala.	10	8	50	58	45	43	-	-	-	2	2	1									
Miss.	U	2	U	43	U	63	U	U	U	U	U	-									
W.S. CENTRAL	38	33	2,501	3,395	811	703	-	-	-	-	-	7									
Ark.	-	2	62	142	54	53	-	-	-	-	-	-									
La.	18	7	51	127	62	82	-	-	-	-	-	-									
Okla.	18	22	351	975	52	25	-	-	-	-	-	-									
Tex.	2	2	2,037	2,151	643	543	-	-	-	-	-	7									
MOUNTAIN	73	65	2,035	2,489	519	523	-	-	-	-	-	7									
Mont.	-	-	67	53	4	6	-	-	-	-	-	-									
Idaho	-	1	169	87	20	17	-	-	-	-	-	-									
Wyo.	1	2	25	21	2	16	-	-	-	-	-	-									
Colo.	15	11	163	262	71	100	-	-	-	-	-	-									
N. Mex.	5	7	97	196	215	170	-	-	-	-	-	-									
Ariz.	41	27	1,309	1,228	133	118	-	-	-	-	-	5									
Utah	4	3	131	383	45	60	-	-	-	-	-	-									
Nev.	7	14	74	259	29	36	U	-	U	-	-	2									
PACIFIC	78	161	3,393	4,533	1,053	1,093	-	4	-	3	7	17									
Wash.	7	3	696	314	71	48	-	-	-	1	1	1									
Oreg.	32	25	231	230	69	66	-	-	-	-	-	-									
Calif.	31	124	2,429	3,875	900	960	-	4	-	2	6	12									
Alaska	1	2	14	24	8	11	-	-	-	-	-	-									
Hawaii	7	7	23	90	5	8	-	-	-	-	-	4									
Guam	-	-	-	-	-	3	U	-	U	-	-	-									
P.R.	2	-	37	198	263	461	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	6	1	1	28	34	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


