
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 2, 2005 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	16,504	20,011	436,635	456,567	2,108	2,644	927	1,232													
NEW ENGLAND	673	729	15,374	15,095	-	-	54	73													
Maine	8	14	994	978	N	N	8	13													
N.H.	10	26	882	825	-	-	7	16													
Vt.	4	13	501	574	-	-	14	7													
Mass.	331	234	7,174	6,648	-	-	18	26													
R.I.	68	70	1,544	1,662	-	-	1	2													
Conn.	252	372	4,279	4,408	N	N	6	9													
MID. ATLANTIC	3,059	4,442	52,779	56,880	-	-	129	195													
Upstate N.Y.	318	603	10,930	11,158	N	N	35	41													
N.Y. City	1,725	2,328	17,997	17,683	-	-	31	60													
N.J.	472	786	5,526	8,984	N	N	8	15													
Pa.	544	725	18,326	19,055	N	N	55	79													
E.N. CENTRAL	1,387	1,702	68,286	81,290	4	5	191	318													
Ohio	209	229	19,187	20,879	N	N	71	71													
Ind.	198	215	9,857	8,994	N	N	11	31													
Ill.	664	846	19,605	23,253	-	-	12	49													
Mich.	246	323	11,979	18,931	4	5	29	63													
Wis.	70	89	7,658	9,233	N	N	68	104													
W.N. CENTRAL	394	392	25,780	27,766	3	5	145	158													
Minn.	104	92	4,067	5,857	3	N	42	57													
Iowa	48	26	2,951	3,311	N	N	24	30													
Mo.	163	169	11,145	10,115	-	3	55	23													
N. Dak.	5	13	519	952	N	N	-	7													
S. Dak.	9	6	1,377	1,208	-	-	12	20													
Nebr.	18	21	2,545	2,603	-	2	1	9													
Kans.	47	65	3,176	3,720	N	N	11	12													
S. ATLANTIC	5,315	6,029	84,212	85,433	-	-	186	213													
Del.	81	80	1,617	1,443	N	N	-	-													
Md.	637	686	9,027	9,366	-	-	12	10													
D.C.	407	355	1,872	1,796	-	-	2	4													
Va.	273	330	9,713	10,789	-	-	14	24													
W. Va.	30	30	1,294	1,389	N	N	4	3													
N.C.	399	334	16,899	14,361	N	N	25	38													
S.C.	287	375	9,964	9,001	-	-	7	11													
Ga.	896	888	12,485	16,101	-	-	46	65													
Fla.	2,305	2,951	21,341	21,187	N	N	76	58													
E.S. CENTRAL	896	946	31,903	29,106	-	3	28	48													
Ky.	118	106	4,941	2,769	N	N	10	16													
Tenn.	369	386	10,978	11,196	N	N	6	13													
Ala.	244	228	5,778	6,830	-	-	11	11													
Miss.	165	226	10,206	8,311	-	3	1	8													
W.S. CENTRAL	1,896	2,515	54,768	57,937	-	2	25	46													
Ark.	71	125	4,361	4,107	-	1	1	8													
La.	370	563	9,334	12,831	-	1	3	-													
Okla.	113	87	5,224	5,546	N	N	13	11													
Tex.	1,342	1,740	35,849	35,453	N	N	8	27													
MOUNTAIN	643	717	25,939	25,580	1,378	1,611	59	55													
Mont.	4	4	1,029	1,285	N	N	11	10													
Idaho	7	11	1,112	1,433	N	N	4	5													
Wyo.	1	6	558	533	2	-	2	2													
Colo.	127	135	6,969	6,634	N	N	19	24													
N. Mex.	60	106	1,945	4,375	3	12	2	3													
Ariz.	258	278	9,428	7,072	1,340	1,558	6	8													
Utah	33	31	1,919	1,752	2	8	7	2													
Nev.	153	146	2,979	2,496	31	33	8	1													
PACIFIC	2,241	2,539	77,594	77,480	723	1,018	110	126													
Wash.	196	213	9,718	8,855	N	N	5	-													
Oreg.	117	131	4,309	4,064	-	-	19	17													
Calif.	1,865	2,135	59,415	59,820	723	1,018	86	107													
Alaska	10	14	1,927	1,914	-	-	-	-													
Hawaii	53	46	2,225	2,827	-	-	-	2													
Guam	1	1	-	672	-	-	-	-													
P.R.	335	208	2,089	1,902	N	N	N	N													
V.I.	8	6	32	194	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


