
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending February 23, 2013 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2013
Shigellosis cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012

tab delimited data:
test
UNITED STATES	89	267	403	893	1,813	-	4	12	14	12	6	52	229	45	113						
NEW ENGLAND	-	4	13	23	16	-	0	1	-	-	-	0	3	-	-						
Conn.	-	1	3	3	6	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	4	-	-	-	0	0	-	-	-	0	2	-	-						
Mass.	-	2	10	17	10	-	0	0	-	-	-	0	3	-	-						
N.H.	-	0	1	1	-	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	5	-	-	-	0	0	-	-	-	0	3	-	-						
Vt.	-	0	1	2	-	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	11	38	73	101	478	-	0	2	1	3	-	1	5	3	12						
N.J.	-	9	35	-	285	-	0	0	-	-	-	0	1	-	-						
N.Y. (Upstate)	9	12	37	46	80	-	0	1	-	-	-	0	3	-	1						
N.Y. City	2	9	21	46	96	-	0	0	-	-	-	0	3	1	3						
Pa.	-	2	6	9	17	-	0	2	1	3	-	1	4	2	8						
E.N. CENTRAL	30	39	120	294	209	-	0	2	-	1	-	4	17	4	11						
Ill.	-	5	16	2	17	-	0	1	-	-	-	2	12	-	4						
Ind.	-	1	17	8	11	-	0	1	-	1	-	1	5	3	2						
Mich.	2	4	14	29	44	-	0	0	-	-	-	0	1	-	-						
Ohio	28	28	103	248	128	-	0	0	-	-	-	0	3	1	3						
Wis.	-	2	18	7	9	-	0	0	-	-	-	0	3	-	2						
W.N. CENTRAL	-	8	32	26	56	-	0	6	-	-	-	6	34	-	6						
Iowa	-	1	11	6	4	-	0	0	-	-	-	0	1	-	-						
Kans.	-	2	6	3	28	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	1	7	5	20	-	0	5	-	-	-	6	34	-	6						
Nebr.	-	1	22	9	3	-	0	1	-	-	-	0	1	-	-						
N. Dak.	-	0	1	3	1	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	19	53	102	148	348	-	2	9	13	5	5	14	147	25	31						
Del.	-	0	4	1	-	-	0	0	-	-	-	0	2	2	4						
D.C.	-	0	3	-	6	-	0	0	-	-	-	0	1	-	-						
Fla.	10	31	66	53	183	-	0	1	-	-	-	0	3	1	2						
Ga.	8	12	21	59	104	-	1	5	12	4	-	0	0	-	-						
Md.	1	5	16	10	25	-	0	0	-	-	-	0	3	4	3						
N.C.	-	2	10	8	16	-	0	4	-	-	5	0	133	5	5						
S.C.	-	1	3	9	3	-	0	1	1	1	-	1	6	3	1						
Va.	-	1	6	7	11	-	0	2	-	-	-	4	35	10	16						
W. Va.	-	0	1	1	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	6	20	39	59	239	-	0	2	-	-	1	12	57	13	16						
Ala.	3	5	20	19	52	-	0	1	-	-	-	3	13	2	5						
Ky.	-	5	15	12	103	-	0	1	-	-	-	1	7	2	-						
Miss.	2	4	13	21	54	-	0	2	-	-	-	0	4	-	-						
Tenn.	1	3	9	7	30	-	0	1	-	-	1	10	49	9	11						
W.S. CENTRAL	17	45	86	166	305	-	0	1	-	-	-	11	73	-	18						
