
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 26, 2002 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2002
AIDS § cummulative for 2001
Chlamydia† cummulative for 2002
Chlamydia† cummulative for 2001
Cryptosporidiosis cummulative for 2002
Cryptosporidiosis cummulative for 2001
Escherichia coli O157:H7 cummulative for 2002
Escherichia coli O157:H7 cummulative for 2001
Escherichia coli Shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli Shiga toxin positive, serogroup non-0157 cummulative for 2001

tab delimited data:
test
UNITED STATES	-	-	30,807	48,841	85	101	57	59	3	3											
NEW ENGLAND	-	-	1,197	1,285	2	3	5	7	-	-											
Maine	-	-	82	86	-	-	-	-	-	-											
N.H.	-	-	93	84	1	-	-	1	-	-											
Vt.	-	-	59	46	-	2	-	-	-	-											
Mass.	-	-	761	331	-	1	4	6	-	-											
R.I.	-	-	202	226	1	-	-	-	-	-											
Conn.	-	-	-	512	-	-	1	-	-	-											
MID. ATLANTIC	-	-	2,059	3,967	7	12	4	9	-	-											
Upstate N.Y.	-	-	360	453	2	2	4	7	-	-											
N.Y. City	-	-	1,034	1,740	1	8	-	-	-	-											
N.J.	-	-	-	498	-	2	-	2	-	-											
Pa.	-	-	665	1,276	4	-	N	N	-	-											
E.N. CENTRAL	-	-	4,262	9,306	18	42	12	9	-	-											
Ohio	-	-	288	2,630	5	7	5	5	-	-											
Ind.	-	-	604	984	2	2	1	-	-	-											
Ill.	-	-	1,558	2,976	-	4	1	3	-	-											
Mich.	-	-	1,544	1,366	6	7	4	-	-	-											
Wis.	-	-	268	1,350	5	22	1	1	-	-											
W.N. CENTRAL	-	-	1,117	2,697	4	3	11	3	2	-											
Minn.	-	-	295	658	1	-	3	1	2	-											
Iowa	-	-	-	128	1	1	4	-	-	-											
Mo.	-	-	403	978	2	-	1	-	-	-											
N. Dak.	-	-	37	67	-	-	-	-	-	-											
S. Dak.	-	-	144	147	-	-	-	1	-	-											
Nebr.	-	-	-	212	-	2	-	-	-	-											
Kans.	-	-	238	507	-	-	3	1	-	-											
S. ATLANTIC	-	-	6,046	9,203	28	10	12	8	1	1											
Del.	-	-	181	214	-	-	-	-	-	-											
Md.	-	-	949	1,017	1	1	-	-	-	-											
D.C.	-	-	77	269	1	1	-	-	-	-											
Va.	-	-	993	1,070	-	2	1	-	-	1											
W. Va.	-	-	171	151	-	-	-	-	-	-											
N.C.	-	-	701	1,477	3	1	2	6	-	-											
S.C.	-	-	505	1,527	-	-	-	1	-	-											
Ga.	-	-	372	1,655	21	2	9	1	1	-											
Fla.	-	-	2,097	1,823	2	3	-	-	-	-											
E.S. CENTRAL	-	-	2,839	3,305	5	2	-	3	-	-											
Ky.	-	-	522	493	1	-	-	-	-	-											
Tenn.	-	-	1,220	1,046	-	-	-	2	-	-											
Ala.	-	-	837	887	4	1	-	1	-	-											
Miss.	-	-	260	879	-	1	-	-	-	-											
W.S. CENTRAL	-	-	6,441	7,854	2	2	-	4	-	-											
Ark.	-	-	146	750	2	-	-	-	-	-											
La.	-	-	1,197	1,269	-	1	-	-	-	-											
Okla.	-	-	577	720	-	1	-	-	-	-											
Tex.	-	-	4,521	5,115	-	-	-	4	-	-											
MOUNTAIN	-	-	2,045	2,715	5	7	3	4	-	1											
Mont.	-	-	139	15	-	-	-	-	-	-											
Idaho	-	-	114	138	2	-	1	2	-	-											
Wyo.	-	-	46	66	-	-	-	-	-	-											
Colo.	-	-	325	875	1	3	1	1	-	1											
N. Mex.	-	-	135	359	-	2	1	-	-	-											
Ariz.	-	-	677	801	-	1	-	1	-	-											
Utah	-	-	609	67	2	1	-	-	-	-											
Nev.	-	-	-	394	-	-	-	-	-	-											
PACIFIC	-	-	4,801	8,509	14	20	10	12	-	1											
Wash.	-	-	998	1,001	-	U	2	1	-	-											
Oreg.	-	-	-	421	6	1	5	-	-	1											
Calif.	-	-	3,488	6,639	8	19	3	9	-	-											
Alaska	-	-	170	140	-	-	-	-	-	-											
Hawaii	-	-	145	308	-	-	-	2	-	-											
Guam	-	-	-	-	-	-	N	N	-	-											
P.R.	-	-	-	226	-	-	-	-	-	-											
V.I.	-	-	-	9	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	11	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


