
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 7, 2005 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	333	345	44	60	58	41	4,904	5,431	96,794	108,966											
NEW ENGLAND	25	16	8	16	10	3	438	467	1,579	2,430											
Maine	2	-	2	-	-	-	44	46	48	98											
N.H.	2	4	1	1	-	-	20	16	50	46											
Vt.	1	-	-	-	-	-	53	34	12	30											
Mass.	9	7	-	5	10	3	191	244	990	1,078											
R.I.	1	2	-	-	-	-	21	33	172	332											
Conn.	10	3	5	10	-	-	109	94	307	846											
MID. ATLANTIC	38	29	3	6	4	10	914	1,203	9,921	12,704											
Upstate N.Y.	14	8	3	2	1	3	305	349	2,234	2,475											
N.Y. City	1	7	-	-	-	-	257	390	2,599	4,070											
N.J.	11	3	-	2	-	4	119	147	1,436	2,383											
Pa.	12	11	-	2	3	3	233	317	3,652	3,776											
E.N. CENTRAL	65	76	7	12	3	4	700	824	18,320	23,201											
Ohio	24	18	1	1	2	4	204	253	6,234	7,542											
Ind.	7	14	-	-	-	-	N	N	2,520	2,139											
Ill.	6	20	1	-	-	-	126	262	4,998	6,748											
Mich.	14	10	-	2	1	-	212	184	2,889	5,245											
Wis.	14	14	5	9	-	-	158	125	1,679	1,527											
W.N. CENTRAL	45	54	8	11	9	9	629	616	5,758	5,690											
Minn.	5	21	2	6	2	2	296	206	810	1,005											
Iowa	10	9	-	-	-	-	72	83	504	428											
Mo.	15	5	3	4	2	2	139	185	3,189	2,892											
N. Dak.	1	2	-	-	-	3	1	11	15	50											
S. Dak.	2	2	-	-	-	-	30	19	119	92											
Nebr.	5	8	3	1	2	-	38	53	344	375											
Kans.	7	7	-	-	3	2	53	59	777	848											
S. ATLANTIC	60	39	8	6	25	7	831	849	23,621	26,435											
Del.	-	-	N	N	N	N	4	18	284	338											
Md.	5	4	2	-	-	2	47	30	2,331	2,781											
D.C.	-	1	-	-	-	-	16	29	676	832											
Va.	2	1	3	5	6	-	194	123	2,544	3,141											
W. Va.	-	1	-	-	-	-	10	9	234	281											
N.C.	-	-	-	-	13	4	N	N	5,795	5,142											
S.C.	1	3	-	-	-	-	30	28	2,993	3,064											
Ga.	7	11	1	-	-	-	254	256	2,414	4,997											
Fla.	45	18	2	1	6	1	276	356	6,350	5,859											
E.S. CENTRAL	17	16	-	1	4	6	117	107	7,169	8,095											
Ky.	1	6	-	1	3	4	N	N	1,298	804											
Tenn.	9	3	-	-	1	2	60	53	2,650	2,791											
Ala.	7	2	-	-	-	-	57	54	1,513	2,437											
Miss.	-	5	-	-	-	-	-	-	1,708	2,063											
W.S. CENTRAL	6	28	1	3	2	2	72	94	14,961	14,679											
Ark.	1	5	-	1	-	-	27	42	1,570	1,306											
La.	-	1	1	-	2	-	8	15	3,444	3,934											
Okla.	2	4	-	-	-	-	37	37	1,593	1,576											
Tex.	3	18	-	2	-	2	N	N	8,354	7,863											
MOUNTAIN	38	40	9	4	1	-	352	398	3,735	3,824											
Mont.	2	3	-	-	-	-	11	11	37	20											
Idaho	3	10	5	1	-	-	31	55	31	29											
Wyo.	-	-	1	-	-	-	6	4	20	20											
Colo.	10	6	1	1	-	-	124	131	921	1,084											
N. Mex.	-	6	2	1	-	-	12	22	141	344											
Ariz.	8	5	N	N	N	N	55	71	1,534	1,500											
Utah	7	6	-	-	-	-	87	83	236	149											
Nev.	8	4	-	1	1	-	26	21	815	678											
PACIFIC	39	47	-	1	-	-	851	873	11,730	11,908											
Wash.	9	9	-	-	-	-	61	77	1,132	866											
Oreg.	3	8	-	1	-	-	75	140	559	336											
Calif.	21	26	-	-	-	-	670	601	9,570	9,961											
Alaska	3	1	-	-	-	-	23	25	168	249											
Hawaii	3	3	-	-	-	-	22	30	301	496											
Guam	N	N	-	-	-	-	-	-	-	63											
P.R.	-	-	-	-	-	-	10	17	132	78											
V.I.	-	-	-	-	-	-	-	-	2	51											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


