
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending October 18, 2008 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	35	96	259	4,298	4,341	14	38	166	1,302	1,382											
NEW ENGLAND	2	6	31	306	338	-	1	14	56	103											
Conn.	1	0	26	95	104	-	0	11	-	12											
Maine	-	0	3	22	23	-	0	1	1	2											
Mass.	-	3	8	138	163	-	1	5	39	70											
N.H.	1	0	2	22	24	-	0	1	8	9											
R.I.	-	0	9	17	8	-	0	2	7	8											
Vt.	-	0	2	12	16	-	0	1	1	2											
MID. ATLANTIC	3	18	43	851	804	-	5	19	151	253											
N.J.	-	3	11	133	147	-	1	6	30	49											
N.Y. (Upstate)	-	6	17	279	247	-	2	14	80	83											
N.Y. City	-	4	10	159	189	-	1	8	41	121											
Pa.	3	6	16	280	221	N	0	4	N	N											
E.N. CENTRAL	11	19	42	809	831	1	6	23	217	241											
Ill.	-	5	16	211	252	-	1	6	46	60											
Ind.	5	2	11	118	99	-	1	14	32	15											
Mich.	1	3	10	147	173	-	1	5	58	61											
Ohio	5	5	14	231	197	1	1	5	48	53											
Wis.	-	2	10	102	110	-	1	3	33	52											
W.N. CENTRAL	3	4	39	326	288	6	2	16	117	76											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	34	28	-	0	3	15	1											
Minn.	-	0	35	154	137	5	0	13	53	43											
Mo.	3	1	10	75	74	1	1	2	30	21											
Nebr.	-	0	3	33	23	-	0	3	7	10											
N. Dak.	-	0	5	10	15	-	0	2	5	1											
S. Dak.	-	0	2	20	11	-	0	1	7	-											
S. ATLANTIC	11	22	37	909	1,045	2	6	16	227	247											
Del.	-	0	2	6	10	-	0	0	-	-											
D.C.	1	0	4	24	17	-	0	1	1	2											
Fla.	5	5	11	215	255	1	1	4	53	53											
Ga.	-	5	14	201	204	1	1	5	57	56											
Md.	-	4	8	144	175	-	1	5	45	52											
N.C.	5	2	10	125	141	N	0	0	N	N											
S.C.	-	1	5	55	88	-	1	4	39	41											
Va.	-	2	12	110	133	-	0	6	25	36											
W. Va.	-	0	3	29	22	-	0	1	7	7											
E.S. CENTRAL	-	4	9	145	179	-	2	11	72	78											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	33	36	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	16	5											
Tenn.	-	3	7	112	143	-	1	9	56	73											
W.S. CENTRAL	1	8	85	364	261	-	5	66	203	190											
Ark.	-	0	2	5	17	-	0	2	5	11											
La.	-	0	2	12	14	-	0	2	10	31											
Okla.	1	2	19	93	58	-	1	7	56	42											
Tex.	-	6	65	254	172	-	3	58	132	106											
MOUNTAIN	4	10	22	458	477	2	5	12	183	181											
Ariz.	1	3	9	167	183	1	2	8	93	90											
Colo.	3	3	8	133	117	1	1	4	52	38											
Idaho	-	0	2	12	16	-	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	4	1											
Nev.	-	0	2	8	2	N	0	1	N	N											
N. Mex.	-	2	8	84	82	-	0	3	15	28											
Utah	-	1	5	48	72	-	0	3	15	22											
Wyo.	-	0	2	6	5	-	0	1	1	-											
PACIFIC	-	3	9	130	118	-	0	5	13	13											
Alaska	-	0	4	32	22	N	0	4	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	9	98	96	-	0	2	13	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	14	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


