
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 13, 1996 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1996
AIDS § cummulative for 1995
Chlamydia† cummulative for 1996
Escherichia coli O157:H7 NETSS cummulative for 1996
Escherichia coli O157:H7 PHLIS cummulative for 1996
Gonorrhea cummulative for 1996
Gonorrhea cummulative for 1995
Hepatitis C/NA,NB cummulative for 1996
Hepatitis C/NA,NB cummulative for 1995
Legionellosis cummulative for 1996
Legionellosis cummulative for 1995

tab delimited data:
test
UNITED STATES	16,791	20,883	65,303	215	76	78,352	111,537	949	1,181	201	326										
NEW ENGLAND	657	1,243	2,735	22	5	2,210	1,664	26	29	7	4										
Maine	10	23	-	3	-	13	18	-	-	1	-										
N.H.	23	37	204	1	1	38	30	1	3	-	-										
Vt.	7	6	-	4	4	17	14	15	2	-	-										
Mass.	392	581	1,911	10	-	648	897	7	23	4	3										
R.I.	38	87	620	2	-	161	166	3	1	2	1										
Conn.	187	509	-	2	-	1,333	539	-	-	N	N										
MID. ATLANTIC	4,440	4,906	9,496	31	15	7,047	12,759	90	107	46	44										
Upstate N.Y.	538	621	N	16	10	1,503	2,779	81	49	9	11										
N.Y. City	2,443	2,333	2,288	-	-	1,785	4,571	1	1	-	1										
N.J.	928	1,205	1,498	8	-	723	1,181	-	47	7	9										
Pa.	531	747	5,710	N	5	3,036	4,228	8	10	30	23										
E.N. CENTRAL	1,395	1,704	11,039	34	15	12,343	23,051	119	89	67	114										
Ohio	300	436	2,686	18	8	1,480	7,122	4	4	31	46										
Ind.	269	164	2,618	10	1	2,027	2,419	5	-	18	25										
Ill.	518	733	-	2	1	5,053	5,971	8	32	2	14										
Mich.	228	272	4,101	4	5	2,911	5,628	102	53	15	14										
Wis.	80	99	1,634	N	-	872	1,911	-	-	1	15										
W.N. CENTRAL	413	497	7,086	22	16	4,475	5,910	106	20	13	22										
Minn.	84	93	-	3	10	U	881	-	1	-	-										
Iowa	31	32	927	5	3	295	437	71	3	3	8										
Mo.	175	215	4,132	3	-	2,346	3,366	31	7	1	7										
N. Dak.	1	1	2	1	1	1	9	-	-	-	2										
S. Dak.	5	1	370	1	-	60	63	-	1	2	-										
Nebr.	32	43	388	4	-	57	317	1	5	6	3										
Kans.	85	112	1,267	5	2	717	837	3	3	1	2										
S. ATLANTIC	4,590	5,908	15,558	15	2	29,826	32,730	50	74	26	51										
Del.	93	114	-	-	-	416	596	1	-	-	-										
Md.	444	963	1,710	N	1	3,877	4,108	-	2	5	12										
D.C.	225	405	N	-	-	1,269	1,692	-	-	1	3										
Va.	224	370	3,463	N	1	2,824	3,271	3	1	9	3										
W. Va.	24	30	-	N	-	99	192	4	19	1	3										
N.C.	191	308	-	4	-	5,367	7,180	14	21	3	9										
S.C.	229	270	-	1	-	3,316	3,235	11	2	1	8										
Ga.	685	729	3,697	3	-	7,191	6,178	-	10	-	7										
Fla.	2,475	2,719	6,688	4	-	5,467	6,278	17	19	6	6										
E.S. CENTRAL	540	650	7,835	8	4	8,270	13,205	171	461	17	9										
Ky.	86	63	1,940	-	-	1,150	1,406	7	10	2	2										
Tenn.	201	309	3,237	N	4	2,817	3,658	163	450	9	4										
Ala.	157	158	2,537	2	-	3,905	5,372	1	1	-	2										
Miss.	96	120	121	2	-	398	2,769	-	-	6	1										
W.S. CENTRAL	1,480	1,436	3,718	11	2	6,046	10,253	91	53	1	4										
Ark.	70	86	-	5	-	833	1,324	1	-	-	-										
La.	435	327	1,951	N	2	2,299	3,468	33	26	-	1										
Okla.	54	83	1,767	1	-	1,086	1,290	35	21	1	3										
Tex.	921	940	-	1	-	1,828	4,171	22	6	-	-										
MOUNTAIN	469	641	4,557	30	9	2,112	2,604	164	137	6	40										
Mont.	4	8	-	-	-	10	28	8	7	-	2										
Idaho	7	17	479	11	4	27	40	39	16	-	1										
Wyo.	2	4	197	-	-	10	16	55	56	-	1										
Colo.	152	215	-	10	5	567	890	4	26	4	18										
N. Mex.	25	69	-	2	-	280	318	27	18	-	3										
Ariz.	136	135	2,984	N	-	988	842	22	5	1	5										
Utah	64	37	254	5	-	49	60	7	4	-	2										
Nev.	79	156	643	2	-	181	410	2	5	1	8										
PACIFIC	2,807	3,898	3,279	42	8	6,023	9,361	132	211	18	38										
Wash.	220	356	2,790	6	4	708	748	24	60	1	1										
Oreg.	153	132	-	12	-	126	148	3	13	-	-										
Calif.	2,394	3,279	-	19	-	4,955	8,014	62	129	17	32										
Alaska	3	29	N	1	-	131	255	2	1	-	-										
Hawaii	37	102	361	N	4	103	196	41	8	-	5										
Guam	3	-	26	N	-	13	27	-	-	-	-										
P.R.	420	852	N	N	U	67	167	20	52	-	-										
V.I.	3	15	N	N	U	-	10	-	-	-	-										
Amer. Samoa	-	-	-	N	U	-	8	-	-	-	-										
C.N.M.I.	-	-	N	N	U	11	5	-	-	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


