
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 22, 2006 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	56	100	178	1,261	1,734	6	36	98	300	169	256	867	2,183	7,112	7,737						
NEW ENGLAND	20	13	26	170	255	-	0	2	-	1	3	42	88	363	459						
Conn.	3	3	13	38	41	-	0	0	-	-	-	7	81	81	97						
Maine	-	1	4	20	17	N	0	0	N	N	-	2	8	11	30						
Mass.	17	4	14	94	156	-	0	1	-	-	1	20	41	230	241						
N.H.	-	0	3	5	2	-	0	1	-	-	-	2	12	23	25						
R.I.	-	0	4	1	5	-	0	2	-	1	2	0	17	14	15						
Vt.	-	1	14	12	34	-	0	0	-	-	-	1	11	4	51						
MID. ATLANTIC	12	18	40	213	245	-	1	8	5	12	23	91	273	738	950						
N.J.	N	0	0	N	N	-	0	3	-	3	-	16	41	72	190						
N.Y. (Upstate)	12	11	24	120	112	-	0	2	-	-	15	22	234	198	214						
N.Y. City	-	0	3	-	10	-	0	2	2	-	1	21	44	176	270						
Pa.	-	7	22	93	123	-	1	6	3	9	7	31	60	292	276						
E.N. CENTRAL	3	2	69	7	16	-	0	6	2	3	37	97	206	938	1,036						
Ill.	-	0	4	-	5	-	0	3	1	1	-	28	126	170	343						
Ind.	-	0	3	-	2	-	0	1	-	-	13	11	69	125	74						
Mich.	2	0	4	5	5	-	0	1	-	1	1	17	35	172	198						
Ohio	1	0	66	2	4	-	0	3	1	1	22	23	52	302	217						
Wis.	N	0	2	N	N	-	0	1	-	-	1	15	45	169	204						
W.N. CENTRAL	3	6	23	61	101	-	2	17	7	6	28	44	92	500	510						
Iowa	1	1	10	14	20	-	0	2	-	1	-	7	18	73	96						
Kans.	1	1	5	22	30	-	0	2	-	-	1	7	17	75	58						
Minn.	1	1	5	6	15	-	0	1	1	-	11	10	31	128	135						
Mo.	-	1	7	5	9	-	2	15	6	4	16	15	40	164	137						
Nebr.	-	0	0	-	-	-	0	2	-	-	-	3	10	32	41						
N. Dak.	-	0	4	2	4	-	0	0	-	-	-	0	5	4	12						
S. Dak.	-	1	5	12	23	-	0	2	-	1	-	3	11	24	31						
S. ATLANTIC	8	28	57	475	618	4	18	94	273	117	74	261	516	1,922	1,980						
Del.	-	0	0	-	-	-	0	2	2	1	-	2	9	20	16						
D.C.	-	0	0	-	-	-	0	1	-	-	-	1	7	19	13						
Fla.	-	0	17	48	201	1	0	3	8	7	53	99	230	872	777						
