
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 19, 2010 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2009
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2009

tab delimited data:
test
UNITED STATES	-	2	12	30	52	12	12	416	234	513											
NEW ENGLAND	-	0	1	-	1	-	0	2	1	6											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	0	-	-	-	0	1	1	4											
Mass.	-	0	0	-	1	-	0	2	-	2											
N.H.	-	0	0	-	-	-	0	1	-	-											
R.I.	-	0	0	-	-	-	0	0	-	-											
Vt.	-	0	1	-	-	-	0	0	-	-											
MID. ATLANTIC	-	0	2	8	1	-	1	7	16	40											
N.J.	-	0	1	-	1	-	0	3	-	29											
N.Y. (Upstate)	-	0	1	1	-	-	0	3	3	1											
N.Y. City	-	0	1	1	-	-	0	2	7	4											
Pa.	-	0	2	6	-	-	0	2	6	6											
E.N. CENTRAL	-	0	1	-	5	-	0	7	1	43											
Ill.	-	0	1	-	-	-	0	6	-	29											
Ind.	-	0	0	-	3	-	0	2	-	4											
Mich.	-	0	1	-	1	-	0	1	1	-											
Ohio	-	0	0	-	-	-	0	4	-	9											
Wis.	-	0	1	-	1	-	0	1	-	1											
W.N. CENTRAL	-	0	3	5	6	5	2	23	67	82											
Iowa	-	0	1	-	-	-	0	1	-	2											
Kans.	-	0	1	2	-	-	0	0	-	-											
Minn.	-	0	1	-	-	-	0	1	-	-											
Mo.	-	0	1	3	3	5	2	22	67	79											
Nebr.	-	0	2	-	3	-	0	1	-	1											
N. Dak.	-	0	0	-	-	-	0	0	-	-											
S. Dak.	-	0	0	-	-	-	0	0	-	-											
S. ATLANTIC	-	0	7	9	32	3	3	31	74	179											
Del.	-	0	1	1	-	-	0	3	5	3											
D.C.	-	0	0	-	-	-	0	1	-	-											
Fla.	-	0	1	1	-	-	0	3	9	2											
Ga.	-	0	6	5	27	-	0	0	-	-											
Md.	-	0	1	1	1	-	0	3	5	25											
N.C.	-	0	2	1	3	-	1	23	27	114											
S.C.	-	0	1	-	1	-	0	1	2	13											
Va.	-	0	1	-	-	3	0	6	26	22											
W. Va.	-	0	0	-	-	-	0	1	-	-											
E.S. CENTRAL	-	0	2	3	-	4	3	16	62	106											
Ala.	-	0	1	-	-	-	1	7	12	22											
Ky.	-	0	1	2	-	-	0	0	-	-											
Miss.	-	0	0	-	-	-	0	1	-	8											
Tenn.	-	0	2	1	-	4	2	13	50	76											
W.S. CENTRAL	-	0	3	1	1	-	1	408	12	46											
Ark.	-	0	1	-	-	-	0	110	-	28											
La.	-	0	0	-	-	-	0	0	-	2											
Okla.	-	0	3	-	-	-	0	287	8	5											
Tex.	-	0	1	1	1	-	0	11	4	11											
MOUNTAIN	-	0	2	1	5	-	0	3	1	11											
Ariz.	-	0	2	-	2	-	0	2	-	5											
Colo.	-	0	1	-	-	-	0	0	-	-											
Idaho	-	0	0	-	-	-	0	1	1	-											
Mont.	-	0	1	1	3	-	0	1	-	4											
Nev.	-	0	0	-	-	-	0	1	-	-											
N. Mex.	-	0	0	-	-	-	0	0	-	1											
Utah	-	0	0	-	-	-	0	0	-	1											
Wyo.	-	0	1	-	-	-	0	1	-	-											
PACIFIC	-	0	2	3	1	-	0	0	-	-											
Alaska	N	0	0	N	N	N	0	0	N	N											
Calif.	-	0	2	3	1	-	0	0	-	-											
Hawaii	N	0	0	N	N	N	0	0	N	N											
Oreg.	-	0	0	-	-	-	0	0	-	-											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	N	0	0	N	N	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	N	0	0	N	N	N	0	0	N	N											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


