
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending December 8, 2007 (WEEK 49)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	60	171	1,479	8,197	13,481	42	100	187	5,144	5,308	53	32	211	1,996	2,032						
NEW ENGLAND	5	27	77	1,200	1,803	1	11	22	537	470	-	0	10	6	13						
Conn.	-	1	5	59	121	-	4	10	210	203	-	0	0	-	-						
Maine	-	1	13	74	151	-	2	5	80	123	-	0	1	1	N						
Mass.	-	21	39	928	1,138	-	0	0	-	N	-	0	1	4	11						
N.H.	1	1	6	59	219	-	1	4	52	47	-	0	1	1	1						
R.I.	2	0	31	29	68	-	0	4	37	30	-	0	9	-	1						
Vt.	2	0	9	51	106	1	3	13	158	67	-	0	0	-	-						
MID. ATLANTIC	16	24	155	1,131	1,772	5	25	56	1,338	521	-	1	6	75	86						
N.J.	-	2	10	139	291	N	0	0	N	N	-	0	3	18	39						
N.Y. (Upstate)	7	10	146	519	810	5	10	20	499	N	-	0	1	3	-						
N.Y. City	-	2	6	122	105	-	1	5	42	42	-	0	3	27	23						
Pa.	9	7	18	351	566	-	15	44	797	479	-	0	3	27	24						
E.N. CENTRAL	13	28	79	1,267	2,180	5	3	48	387	162	-	1	4	42	64						
Ill.	-	3	17	141	558	-	1	15	113	46	-	0	3	25	26						
Ind.	3	0	45	55	224	-	0	1	12	11	-	0	2	4	6						
Mich.	5	5	17	270	599	-	1	27	180	47	-	0	1	3	5						
Ohio	5	12	54	602	584	5	0	11	82	58	-	0	2	10	26						
Wis.	-	1	24	199	215	N	0	0	N	N	-	0	0	-	1						
W.N. CENTRAL	5	12	151	692	1,227	1	4	13	253	301	1	5	35	439	195						
Iowa	-	2	14	134	323	-	0	3	32	57	-	0	4	15	5						
Kans.	-	2	12	122	299	-	2	7	101	77	-	0	1	1	1						
