
TABLE II. (Part 11)  Provisional cases of selected notifiable diseases, United States, week ending January 23, 2010 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2010
Varicella (chickenpox) cummulative for 2009
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2010
West Nile virus disease † Neuroinvasive cummulative for 2009
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2010
West Nile virus disease † Non-neuroinvasive § cummulative for 2009

tab delimited data:
test
UNITED STATES	102	279	653	372	1,269	-	0	44	-	-	-	0	48	-	-						
NEW ENGLAND	-	6	19	6	24	-	0	0	-	-	-	0	0	-	-						
Conn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	12	-	-	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	2	-	-	-	0	0	-	-	-	0	0	-	-						
N.H.	-	3	10	6	18	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	1	-	1	-	0	0	-	-	-	0	0	-	-						
Vt.	-	0	7	-	5	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	18	28	55	52	138	-	0	2	-	-	-	0	1	-	-						
N.J.	N	0	0	N	N	-	0	1	-	-	-	0	0	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	1	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
Pa.	18	28	55	52	138	-	0	0	-	-	-	0	0	-	-						
E.N. CENTRAL	42	111	232	152	510	-	0	4	-	-	-	0	3	-	-						
Ill.	-	29	73	-	117	-	0	3	-	-	-	0	0	-	-						
Ind.	-	5	30	-	27	-	0	1	-	-	-	0	1	-	-						
Mich.	10	40	84	53	162	-	0	1	-	-	-	0	0	-	-						
Ohio	28	33	88	89	162	-	0	0	-	-	-	0	2	-	-						
Wis.	4	8	57	10	42	-	0	1	-	-	-	0	0	-	-						
W.N. CENTRAL	4	13	62	16	84	-	0	5	-	-	-	0	11	-	-						
Iowa	N	0	0	N	N	-	0	0	-	-	-	0	1	-	-						
Kans.	-	3	19	-	9	-	0	1	-	-	-	0	2	-	-						
Minn.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	-						
Mo.	4	8	51	16	67	-	0	2	-	-	-	0	1	-	-						
Nebr.	N	0	0	N	N	-	0	2	-	-	-	0	6	-	-						
N. Dak.	-	0	26	-	8	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	2	-	-	-	0	3	-	-	-	0	2	-	-						
S. ATLANTIC	23	25	109	66	118	-	0	4	-	-	-	0	1	-	-						
Del.	-	0	2	-	1	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	3	-	-	-	0	0	-	-	-	0	0	-	-						
Fla.	19	14	61	42	78	-	0	1	-	-	-	0	1	-	-						
Ga.	N	0	0	N	N	-	0	1	-	-	-	0	0	-	-						
Md.	N	0	0	N	N	-	0	0	-	-	-	0	1	-	-						
N.C.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
S.C.	-	0	54	-	2	-	0	2	-	-	-	0	0	-	-						
Va.	-	0	9	-	15	-	0	1	-	-	-	0	0	-	-						
W. Va.	4	9	32	24	22	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	-	8	29	-	34	-	0	6	-	-	-	0	4	-	-						
Ala.	-	8	27	-	34	-	0	0	-	-	-	0	0	-	-						
Ky.	N	0	0	N	N	-	0	1	-	-	-	0	0	-	-						
Miss.	-	0	2	-	-	-	0	5	-	-	-	0	4	-	-						
Tenn.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
W.S. CENTRAL	-	75	261	29	179	-	0	17	-	-	-	0	6	-	-						
Ark.	-	0	23	-	18	-	0	1	-	-	-	0	0	-	-						
La.	-	1	7	-	4	-	0	2	-	-	-	0	4	-	-						
Okla.	N	0	0	N	N	-	0	2	-	-	-	0	2	-	-						
Tex.	-	71	245	29	157	-	0	14	-	-	-	0	4	-	-						
MOUNTAIN	15	18	62	51	171	-	0	12	-	-	-	0	17	-	-						
Ariz.	-	0	0	-	-	-	0	4	-	-	-	0	2	-	-						
Colo.	15	9	33	41	52	-	0	7	-	-	-	0	14	-	-						
Idaho	N	0	0	N	N	-	0	3	-	-	-	0	5	-	-						
Mont.	-	0	16	-	25	-	0	1	-	-	-	0	1	-	-						
Nev.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N. Mex.	-	0	12	-	40	-	0	2	-	-	-	0	1	-	-						
Utah	-	8	32	10	54	-	0	1	-	-	-	0	1	-	-						
Wyo.	-	0	0	-	-	-	0	1	-	-	-	0	2	-	-						
PACIFIC	-	1	6	-	11	-	0	12	-	-	-	0	12	-	-						
Alaska	-	1	5	-	9	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	0	-	-	-	0	8	-	-	-	0	6	-	-						
Hawaii	-	0	4	-	2	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	1	-	-	-	0	4	-	-						
