
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 19, 2007 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2007
Chlamydia† cummulative for 2006
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2007
Coccidioidomycosis cummulative for 2006
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2007
Cryptosporidiosis cummulative for 2006

tab delimited data:
test
UNITED STATES	10,619	19,921	25,562	358,323	386,213	125	151	659	3,066	3,292	39	70	320	914	1,012						
NEW ENGLAND	946	667	1,360	12,740	12,049	-	0	0	-	-	2	5	38	43	94						
Conn.	300	201	829	3,286	3,000	N	0	0	N	N	-	0	11	11	38						
Maine	49	47	73	970	806	-	0	0	-	-	-	0	6	9	11						
Mass.	500	302	604	6,147	5,773	-	0	0	-	-	-	1	29	-	37						
N.H.	2	38	69	715	702	-	0	0	-	-	1	1	5	10	5						
R.I.	69	63	108	1,306	1,278	-	0	0	-	-	-	0	5	5	1						
Vt.	26	20	45	316	490	N	0	0	N	N	1	1	4	8	2						
MID. ATLANTIC	1,858	2,575	4,281	53,462	47,291	-	0	0	-	-	7	10	33	114	163						
N.J.	-	377	541	5,132	7,331	N	0	0	N	N	-	0	1	-	9						
N.Y. (Upstate)	894	501	2,745	9,903	8,626	N	0	0	N	N	6	3	13	43	33						
N.Y. City	604	761	1,523	16,763	16,202	N	0	0	N	N	-	2	10	20	47						
Pa.	360	841	1,760	21,664	15,132	N	0	0	N	N	1	3	18	51	74						
E.N. CENTRAL	1,171	3,220	6,206	63,711	66,105	-	1	3	11	15	4	15	110	207	228						
Ill.	481	984	1,286	17,376	21,296	-	0	0	-	-	-	2	22	17	30						
Ind.	-	377	644	7,652	7,851	-	0	0	-	-	1	1	18	16	17						
Mich.	493	757	1,225	14,091	11,833	-	1	3	9	11	-	3	10	50	35						
Ohio	91	656	3,648	17,637	16,747	-	0	2	2	4	3	5	33	69	75						
Wis.	106	374	528	6,955	8,378	N	0	0	N	N	-	5	53	55	71						
W.N. CENTRAL	444	1,188	1,445	18,442	23,771	-	0	54	3	-	10	11	77	139	147						
Iowa	-	160	238	3,106	3,279	N	0	0	N	N	-	2	28	24	13						
Kans.	316	148	266	3,178	3,194	N	0	0	N	N	3	1	8	21	19						
Minn.	-	242	314	3,557	5,051	-	0	54	-	-	3	2	25	34	58						
Mo.	-	440	628	5,220	8,567	-	0	1	3	-	4	2	21	29	30						
Nebr.	85	104	185	1,991	1,942	N	0	0	N	N	-	1	16	6	10						
N. Dak.	-	28	64	446	725	N	0	0	N	N	-	0	1	1	1						
S. Dak.	43	49	84	944	1,013	N	0	0	N	N	-	1	7	24	16						
S. ATLANTIC	2,831	3,601	7,072	54,631	73,872	-	0	1	1	2	10	18	71	240	226						
Del.	43	69	111	1,330	1,365	N	0	0	N	N	-	0	3	2	-						
D.C.	94	78	161	2,097	1,138	-	0	0	-	-	-	0	2	3	7						
Fla.	-	928	1,187	3,300	18,021	N	0	0	N	N	4	8	32	115	93						
Ga.	-	700	3,822	7,608	13,134	N	0	0	N	N	-	5	18	52	64						
Md.	537	390	669	6,594	7,774	-	0	1	1	2	-	0	2	11	6						
N.C.	959	631	1,207	12,164	13,941	-	0	0	-	-	4	1	11	24	29						
S.C.	569	410	2,105	10,753	8,387	N	0	0	N	N	1	1	14	14	9						
Va.	608	490	685	9,756	8,965	N	0	0	N	N	1	1	5	16	16						
W. Va.	21	55	88	1,029	1,147	N	0	0	N	N	-	0	3	3	2						
E.S. CENTRAL	709	1,491	2,096	29,798	29,356	-	0	0	-	-	1	3	14	48	38						
Ala.	51	421	539	7,285	9,462	N	0	0	N	N	-	0	11	17	13						
Ky.	194	130	691	2,945	3,696	N	0	0	N	N	-	1	3	16	10						
Miss.	-	416	959	8,477	6,465	N	0	0	N	N	-	0	8	8	4						
Tenn.	464	531	701	11,091	9,733	N	0	0	N	N	1	1	5	7	11						
W.S. CENTRAL	15	2,172	3,028	40,063	43,182	-	0	1	-	-	1	5	45	33	45						
Ark.	-	161	337	3,143	3,130	N	0	0	N	N	-	0	2	2	5						
La.	15	315	610	5,225	6,523	-	0	1	-	-	-	1	9	14	-						
Okla.	-	257	472	4,641	4,330	N	0	0	N	N	1	0	4	12	12						
Tex.	-	1,458	1,911	27,054	29,199	N	0	0	N	N	-	2	36	5	28						
MOUNTAIN	201	1,332	2,025	20,194	25,051	91	100	294	2,113	2,326	-	5	40	63	41						
Ariz.	34	463	993	6,489	7,555	91	99	294	2,069	2,257	-	0	4	13	4						
Colo.	-	309	416	3,229	6,087	N	0	0	N	N	-	1	7	20	9						
Idaho	-	44	253	1,263	1,193	N	0	0	N	N	-	0	5	4	4						
Mont.	9	52	144	945	883	N	0	0	N	N	-	0	26	4	6						
Nev.	-	167	397	3,327	2,914	-	1	3	17	31	-	0	3	3	3						
N. Mex.	-	171	324	2,591	3,925	-	0	3	7	8	-	1	6	11	9						
Utah	137	97	200	1,886	1,931	-	1	4	20	28	-	0	3	1	6						
Wyo.	21	26	45	464	563	-	0	0	-	2	-	0	11	7	-						
PACIFIC	2,444	3,362	4,360	65,282	65,536	34	53	311	938	949	4	1	5	27	30						
Alaska	67	88	157	1,639	1,598	N	0	0	N	N	-	0	1	-	1						
Calif.	1,772	2,655	3,627	51,157	50,978	34	53	311	938	949	-	0	0	-	-						
Hawaii	-	107	130	1,881	2,241	N	0	0	N	N	-	0	1	-	-						
Oreg.	299	161	394	3,685	3,683	N	0	0	N	N	4	1	4	27	29						
Wash.	306	348	621	6,920	7,036	N	0	0	N	N	-	0	0	-	-						
Amer. Samoa	U	0	21	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	161	114	235	2,813	1,867	N	0	0	N	N	N	0	0	N	N						
V.I.	U	3	10	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


