
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending September 21, 2002 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	700	429	7	17	2	-	27,425	28,361													
NEW ENGLAND	3	3	-	-	-	-	1,571	1,864													
Maine	-	-	-	-	-	-	107	147													
N.H.	-	1	-	-	-	-	98	139													
Vt.	-	-	-	-	-	-	59	64													
Mass.	-	2	-	-	-	-	869	1,077													
R.I.	3	-	-	-	-	-	122	86													
Conn.	-	-	-	-	-	-	316	351													
MID. ATLANTIC	36	25	1	7	-	-	3,332	3,725													
Upstate N.Y.	7	2	1	1	-	-	1,106	856													
N.Y. City	8	1	-	5	-	-	929	945													
N.J.	9	6	-	1	-	-	497	933													
Pa.	12	16	-	-	-	-	800	991													
E.N. CENTRAL	14	15	-	2	-	-	3,811	3,852													
Ohio	10	1	-	-	-	-	998	1,055													
Ind.	2	1	-	-	-	-	335	400													
Ill.	-	12	-	2	-	-	1,193	1,098													
Mich.	2	1	-	-	-	-	658	658													
Wis.	-	-	-	-	-	-	627	641													
W.N. CENTRAL	83	60	-	3	-	-	1,857	1,672													
Minn.	-	-	-	-	-	-	426	486													
Iowa	3	2	-	1	-	-	309	247													
Mo.	76	56	-	1	-	-	671	434													
N. Dak.	-	-	-	-	-	-	25	43													
S. Dak.	-	2	-	-	-	-	70	116													
Nebr.	4	-	-	-	-	-	126	127													
Kans.	-	-	-	1	-	-	230	219													
S. ATLANTIC	365	206	-	4	-	-	7,386	6,505													
Del.	4	6	-	-	-	-	59	79													
Md.	43	36	-	1	-	-	715	607													
D.C.	-	-	-	-	-	-	54	60													
Va.	28	17	-	-	-	-	806	1,051													
W. Va.	1	-	-	-	-	-	98	95													
N.C.	218	110	-	-	-	-	999	932													
S.C.	45	24	-	2	-	-	501	602													
Ga.	18	9	-	-	-	-	1,331	1,235													
Fla.	8	4	-	1	-	-	2,823	1,844													
E.S. CENTRAL	78	88	-	-	1	-	2,050	1,888													
Ky.	5	2	-	-	-	-	247	279													
Tenn.	58	60	-	-	1	-	542	451													
Ala.	15	13	-	-	-	-	540	520													
Miss.	-	13	-	-	-	-	721	638													
W.S. CENTRAL	103	23	2	-	-	-	2,066	3,545													
Ark.	42	5	-	-	-	-	676	600													
La.	-	2	-	-	-	-	217	623													
Okla.	61	16	-	-	-	-	350	323													
Tex.	-	-	2	-	-	-	823	1,999													
MOUNTAIN	12	9	1	-	-	-	1,634	1,581													
Mont.	1	1	-	-	-	-	74	59													
Idaho	-	1	-	-	-	-	104	107													
Wyo.	3	2	-	-	-	-	44	53													
Colo.	2	1	-	-	-	-	461	431													
N. Mex.	1	1	-	-	-	-	226	200													
Ariz.	-	-	-	-	-	-	440	425													
Utah	-	3	1	-	-	-	143	171													
Nev.	5	-	-	-	-	-	142	135													
PACIFIC	6	-	3	1	1	-	3,718	3,729													
Wash.	-	-	-	-	-	-	349	370													
Oreg.	2	-	-	-	-	-	275	216													
Calif.	4	-	3	-	-	-	2,840	2,836													
Alaska	-	-	-	-	-	-	45	32													
Hawaii	-	-	-	1	1	-	209	275													
Guam	-	-	-	-	-	-	-	19													
P.R.	-	-	-	3	-	-	148	708													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	25	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


