
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending July 10, 2004 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	14,478	16,830	5,141	11,623	2,827	3,713	1,279	1,259	320	438											
NEW ENGLAND	722	855	120	146	134	341	15	67	7	5											
Maine	37	55	2	6	6	20	2	-	1	-											
N.H.	44	58	5	4	15	21	-	-	N	N											
Vt.	24	31	2	5	8	16	7	6	1	2											
Mass.	416	506	75	95	88	147	N	N	N	N											
R.I.	48	40	8	4	17	5	6	10	5	3											
Conn.	153	165	28	32	-	132	-	51	U	U											
MID. ATLANTIC	1,831	1,994	604	1,197	457	651	95	82	68	65											
Upstate N.Y.	472	419	295	160	160	240	46	41	48	47											
N.Y. City	514	539	170	194	67	92	U	U	U	U											
N.J.	303	356	87	201	90	130	-	-	2	2											
Pa.	542	680	52	642	140	189	49	41	18	16											
E.N. CENTRAL	1,794	2,493	361	994	571	909	312	282	94	188											
Ohio	551	627	80	167	159	211	227	188	56	65											
Ind.	188	233	87	65	69	80	83	94	21	16											
Ill.	321	969	87	552	127	234	-	-	-	73											
Mich.	391	337	54	139	189	265	2	-	N	N											
Wis.	343	327	53	71	27	119	N	N	17	34											
W.N. CENTRAL	1,105	973	183	363	194	227	10	9	42	50											
Minn.	247	238	23	45	97	110	-	-	31	34											
Iowa	220	164	38	23	N	N	N	N	N	N											
Mo.	319	321	78	189	41	49	7	6	4	2											
N. Dak.	19	21	2	5	9	10	-	3	1	4											
S. Dak.	50	36	7	8	8	18	3	-	-	-											
Nebr.	72	69	8	60	10	20	-	-	4	5											
Kans.	178	124	27	33	29	20	N	N	2	5											
S. ATLANTIC	3,390	3,779	1,348	3,630	555	608	648	669	11	12											
Del.	18	44	3	144	3	6	4	1	N	N											
Md.	307	371	56	280	117	153	-	4	-	-											
D.C.	17	15	20	31	5	5	3	-	3	4											
Va.	380	376	59	197	43	77	N	N	N	N											
W. Va.	68	43	-	-	16	27	73	40	8	8											
N.C.	389	508	138	449	84	66	N	N	U	U											
S.C.	208	192	185	227	35	30	54	100	N	N											
Ga.	547	636	311	770	115	121	150	151	N	N											
Fla.	1,456	1,594	576	1,532	137	123	364	373	N	N											
E.S. CENTRAL	913	1,041	289	507	134	129	77	92	-	-											
Ky.	153	170	39	58	45	34	20	11	N	N											
Tenn.	217	323	109	179	89	95	57	81	N	N											
Ala.	252	250	111	161	-	-	-	-	N	N											
Miss.	291	298	30	109	-	-	-	-	-	-											
W.S. CENTRAL	1,294	2,411	1,186	3,233	160	172	34	50	67	68											
Ark.	226	248	33	51	9	5	6	17	7	4											
La.	196	334	125	260	1	1	28	33	8	14											
Okla.	154	158	261	467	43	55	N	N	30	31											
Tex.	718	1,671	767	2,455	107	111	N	N	22	19											
MOUNTAIN	1,027	994	375	473	335	324	19	4	31	50											
Mont.	64	49	4	2	-	1	-	-	-	-											
Idaho	70	93	6	11	5	12	N	N	N	N											
Wyo.	23	48	1	1	6	1	5	3	-	-											
Colo.	249	246	64	72	85	85	-	-	28	38											
N. Mex.	102	97	59	100	59	83	5	-	-	8											
Ariz.	339	287	201	236	151	121	N	N	N	N											
Utah	105	97	20	24	28	20	7	1	3	4											
Nev.	75	77	20	27	1	1	2	-	-	-											
PACIFIC	2,402	2,290	675	1,080	287	352	69	4	-	-											
Wash.	241	266	56	87	34	29	-	-	N	N											
Oreg.	195	206	34	49	N	N	N	N	N	N											
Calif.	1,740	1,676	558	923	203	259	N	N	N	N											
Alaska	37	48	4	4	-	-	-	-	N	N											
Hawaii	189	94	23	17	50	64	69	4	-	-											
Guam	-	24	-	22	-	-	-	-	-	-											
P.R.	81	296	1	5	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


