
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 12, 2013 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2013
Legionellosis cummulative for 2012
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2013
Lyme disease cummulative for 2012
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2013
Malaria cummulative for 2012

tab delimited data:
test
UNITED STATES	16	54	133	47	91	65	407	1,408	112	522	4	22	42	12	35						
NEW ENGLAND	-	5	19	2	4	-	112	602	2	174	-	1	5	-	4						
Conn.	-	1	7	1	-	-	38	178	1	55	-	0	1	-	-						
Maine	-	0	3	-	-	-	16	69	-	15	-	0	1	-	-						
Mass.	-	2	11	-	3	-	46	340	1	71	-	0	4	-	4						
N.H.	-	0	2	-	-	-	9	53	-	21	-	0	2	-	-						
R.I.	-	0	3	-	1	-	1	26	-	-	-	0	1	-	-						
Vt.	-	0	2	1	-	-	8	29	-	12	-	0	1	-	-						
MID. ATLANTIC	-	15	43	2	20	24	186	654	33	252	1	5	13	2	4						
N.J.	-	2	12	-	5	-	51	166	-	108	-	0	0	-	-						
N.Y. (Upstate)	-	6	15	-	7	4	41	148	5	5	-	0	4	-	-						
N.Y. City	-	2	13	-	4	-	1	12	-	1	1	4	11	2	3						
Pa.	-	4	18	2	4	20	93	404	28	138	-	1	4	-	1						
E.N. CENTRAL	4	11	38	7	26	-	21	164	-	39	1	2	8	2	6						
Ill.	-	3	23	-	2	-	2	18	-	1	-	0	6	-	2						
Ind.	-	2	5	-	3	-	1	6	-	1	-	0	2	-	1						
Mich.	-	1	6	-	5	-	2	9	-	1	-	0	5	1	1						
Ohio	4	4	17	7	16	-	1	6	-	3	1	1	3	1	1						
Wis.	-	0	2	-	-	-	15	134	-	33	-	0	2	-	1						
W.N. CENTRAL	-	3	10	-	2	-	2	27	-	3	-	1	5	1	2						
Iowa	-	0	2	-	-	-	1	16	-	1	-	0	1	-	1						
Kans.	-	0	1	-	-	-	0	3	-	-	-	0	2	-	-						
Minn.	-	1	4	-	-	-	1	9	-	2	-	0	0	-	-						
Mo.	-	1	8	-	2	-	0	2	-	-	-	0	2	1	1						
Nebr.	-	0	2	-	-	-	0	2	-	-	-	0	1	-	-						
N. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	2	-	-						
S. ATLANTIC	10	10	22	13	17	41	53	150	75	47	1	7	16	6	12						
Del.	-	0	2	-	1	5	11	30	9	13	-	0	1	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	-	0	1	-	-						
Fla.	8	4	11	8	7	1	2	6	2	4	-	1	6	1	5						
Ga.	-	1	4	-	2	-	0	4	-	-	-	1	5	-	-						
Md.	2	2	6	3	2	33	21	91	59	17	1	2	8	5	4						
N.C.	-	1	8	2	2	-	0	13	-	-	-	0	7	-	-						
S.C.	-	0	3	-	1	-	1	3	-	1	-	0	2	-	-						
Va.	-	1	4	-	2	2	14	43	5	10	-	1	4	-	3						
W. Va.	-	0	2	-	-	-	1	10	-	2	-	0	0	-	-						
E.S. CENTRAL	2	2	7	3	4	-	1	5	1	1	1	0	4	1	-						
Ala.	-	0	2	-	1	-	0	2	1	-	-	0	2	-	-						
Ky.	-	0	4	-	1	-	0	4	-	1	-	0	1	-	-						
Miss.	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
Tenn.	2	1	3	3	2	-	0	4	-	-	1	0	2	1	-						
W.S. CENTRAL	-	3	12	1	2	-	1	6	-	-	-	1	6	-	1						
Ark.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
La.	-	0	3	-	1	-	0	1	-	-	-	0	2	-	-						
Okla.	-	0	9	-	-	-	0	0	-	-	-	0	4	-	-						
Tex.	-	2	7	1	1	-	1	6	-	-	-	1	5	-	1						
MOUNTAIN	-	2	5	1	2	-	0	4	-	2	-	1	5	-	1						
Ariz.	-	0	3	-	-	-	0	2	-	1	-	0	2	-	-						
Colo.	-	0	3	-	-	-	0	0	-	-	-	0	3	-	1						
Idaho	-	0	2	-	1	-	0	1	-	1	-	0	1	-	-						
Mont.	-	0	1	1	-	-	0	1	-	-	-	0	0	-	-						
Nev.	-	0	2	-	1	-	0	1	-	-	-	0	2	-	-						
N. Mex.	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
Utah	-	0	4	-	-	-	0	1	-	-	-	0	2	-	-						
Wyo.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
PACIFIC	-	5	18	18	14	-	2	8	1	4	-	3	8	-	5						
Alaska	-	0	0	-	-	-	0	2	-	-	-	0	1	-	-						
Calif.	-	4	17	17	11	-	1	7	1	4	-	2	7	-	3						
Hawaii	-	0	1	-	-	N	0	0	N	N	-	0	1	-	1						
Oreg.	-	0	2	1	3	-	1	5	-	-	-	0	2	-	1						
Wash.	-	0	5	-	-	-	0	4	-	-	-	0	2	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	0	0	-	-	N	0	0	N	N	-	0	0	-	-						
V.I.	-	0	0	-	-	N	0	0	N	N	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


