
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 14, 2007 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	77	245	944	1,769	3,939	12	103	173	858	1,426	2	29	116	113	290						
NEW ENGLAND	1	17	54	66	420	1	11	26	108	157	-	0	8	-	-						
Conn.	-	2	9	15	21	-	4	14	38	35	-	0	0	-	-						
Maine	1	2	15	29	22	-	2	8	21	25	N	0	0	N	N						
Mass.	-	0	22	-	323	-	0	17	-	77	-	0	1	-	-						
N.H.	-	2	28	7	9	1	1	5	9	-	-	0	1	-	-						
R.I.	-	0	30	-	11	-	0	3	9	4	-	0	8	-	-						
Vt.	-	1	14	15	34	-	2	6	31	16	-	0	0	-	-						
MID. ATLANTIC	8	34	156	335	494	-	16	57	115	201	-	2	6	11	14						
N.J.	-	3	11	10	111	-	0	0	-	-	-	0	2	-	2						
N.Y. (Upstate)	6	20	150	225	153	-	0	0	-	-	-	0	2	-	-						
N.Y. City	-	0	8	-	12	-	1	5	18	1	-	0	3	3	2						
Pa.	2	9	22	100	218	-	16	56	97	200	-	1	4	8	10						
E.N. CENTRAL	10	39	79	407	626	-	2	18	5	4	-	1	6	2	3						
Ill.	-	9	23	50	156	-	0	7	-	1	-	0	4	1	1						
Ind.	4	3	37	7	50	-	0	2	-	-	-	0	1	-	-						
Mich.	2	10	39	100	128	-	1	5	4	2	-	0	1	1	-						
Ohio	4	12	56	227	205	-	0	9	1	1	-	0	4	-	2						
Wis.	-	3	9	23	87	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	1	18	112	124	436	-	6	20	36	56	-	3	14	16	6						
Iowa	-	4	16	37	125	-	1	7	5	7	-	0	1	-	-						
Kans.	-	4	13	47	113	-	1	5	20	23	-	0	1	-	-						
Minn.	-	0	96	-	-	-	0	6	3	5	-	0	2	-	1						
Mo.	-	4	10	20	131	-	1	6	2	5	-	2	12	16	5						
Nebr.	1	1	4	5	57	-	0	0	-	-	-	0	5	-	-						
N. Dak.	-	0	9	1	4	-	0	7	6	2	-	0	0	-	-						
S. Dak.	-	0	4	14	6	-	0	4	-	14	-	0	0	-	-						
S. ATLANTIC	7	18	162	255	301	9	37	62	483	667	1	10	67	64	246						
Del.	-	0	1	1	1	-	0	0	-	-	-	0	3	3	4						
D.C.	-	0	2	2	3	-	0	0	-	-	-	0	1	-	-						
Fla.	-	4	18	86	68	-	0	13	36	176	-	0	4	3	4						
Ga.	-	0	3	-	7	-	4	16	36	65	-	1	5	2	3						
Md.	-	2	7	37	57	-	5	12	62	108	-	1	6	8	5						
N.C.	6	0	111	75	63	9	10	22	130	87	1	4	61	37	225						
S.C.	-	3	11	24	45	-	3	11	33	34	-	0	5	4	3						
Va.	1	2	19	26	53	-	11	31	163	175	-	2	13	6	2						
W. Va.	-	0	19	4	4	-	2	8	23	22	-	0	2	1	-						
E.S. CENTRAL	3	6	24	61	77	-	4	13	27	50	1	5	27	19	15						
Ala.	-	1	17	17	19	-	1	8	-	16	-	1	9	5	5						
Ky.	-	0	5	1	12	-	0	4	6	4	-	0	1	-	-						
Miss.	-	0	6	6	9	-	0	1	-	2	-	0	1	-	-						
Tenn.	3	3	11	37	37	-	2	7	21	28	1	4	22	14	10						
W.S. CENTRAL	-	16	147	87	174	-	2	34	17	215	-	1	28	-	4						
Ark.	-	1	13	2	14	-	0	5	7	7	-	0	10	-	3						
La.	-	0	2	5	3	-	0	0	-	-	-	0	1	-	-						
Okla.	-	0	9	-	2	-	0	9	10	11	-	0	18	-	-						
Tex.	-	14	134	80	155	-	0	29	-	197	-	0	6	-	1						
MOUNTAIN	40	37	75	362	958	-	3	28	16	34	-	0	5	1	1						
Ariz.	30	6	26	91	178	-	2	10	15	31	-	0	2	-	-						
Colo.	-	8	26	96	386	-	0	0	-	-	-	0	1	-	-						
Idaho	-	1	7	11	26	-	0	24	-	-	-	0	3	1	-						
Mont.	-	1	8	10	35	-	0	2	-	2	-	0	2	-	-						
Nev.	-	0	9	3	15	-	0	1	-	-	-	0	1	-	-						
N. Mex.	-	2	8	13	25	-	0	2	-	1	-	0	2	-	1						
Utah	10	10	50	126	275	-	0	1	1	-	-	0	0	-	-						
Wyo.	-	1	8	12	18	-	0	2	-	-	-	0	1	-	-						
PACIFIC	7	33	229	72	453	2	4	12	51	42	-	0	1	-	1						
Alaska	-	1	8	8	27	1	0	6	24	7	N	0	0	N	N						
Calif.	-	22	226	-	263	1	3	11	27	35	-	0	1	-	-						
Hawaii	-	1	7	7	39	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	6	18	48	-	0	4	-	-	-	0	1	-	1						
Wash.	7	4	46	39	76	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	-	-	-	-	-	-	-	-	-	N	-	-	N	N						
P.R.	-	0	1	-	-	-	1	6	15	28	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


