
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 22, 2003 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	2,769	4,142	2,143	2,079	604	688	340	288	59	23											
NEW ENGLAND	121	188	43	38	33	30	2	1	-	1											
Maine	5	29	2	2	1	4	-	-	-	-											
N.H.	7	5	-	2	4	5	-	-	N	N											
Vt.	3	8	-	-	2	1	2	1	-	1											
Mass.	76	108	27	30	26	20	N	N	N	N											
R.I.	6	5	2	-	-	-	-	-	-	-											
Conn.	24	33	12	4	-	-	-	-	-	-											
MID. ATLANTIC	171	413	86	89	62	102	9	18	13	6											
Upstate N.Y.	53	76	33	11	52	41	9	18	13	6											
N.Y. City	97	104	39	40	5	27	U	U	U	U											
N.J.	11	148	5	22	1	29	N	N	N	N											
Pa.	10	85	9	16	4	5	-	-	-	-											
E.N. CENTRAL	392	755	150	299	160	187	75	20	31	14											
Ohio	152	215	46	149	56	32	65	-	29	-											
Ind.	27	35	9	9	7	6	10	18	2	3											
Ill.	112	332	52	94	28	64	-	2	-	-											
Mich.	70	99	33	28	68	56	N	N	N	N											
Wis.	31	74	10	19	1	29	N	N	-	11											
W.N. CENTRAL	185	292	115	215	55	29	45	44	8	1											
Minn.	56	54	8	17	24	-	-	-	8	-											
Iowa	49	42	3	13	-	-	N	N	N	N											
Mo.	38	136	28	28	8	14	1	1	-	1											
N. Dak.	3	-	-	-	1	-	1	-	-	-											
S. Dak.	10	13	8	92	5	1	-	1	-	-											
Nebr.	11	13	56	47	10	6	10	11	N	N											
Kans.	18	34	12	18	7	8	33	31	N	N											
S. ATLANTIC	991	1,159	1,200	785	107	122	181	158	-	1											
Del.	2	10	50	2	1	-	-	3	N	N											
Md.	86	77	109	65	37	14	-	-	-	-											
D.C.	-	9	-	4	-	2	-	3	-	1											
Va.	51	74	32	161	1	8	N	N	N	N											
W. Va.	2	4	-	1	-	-	8	3	-	-											
N.C.	180	144	121	41	17	32	N	N	U	U											
S.C.	39	59	14	8	1	3	9	27	N	N											
Ga.	263	298	468	330	14	47	43	81	N	N											
Fla.	368	484	406	173	36	16	121	41	N	N											
E.S. CENTRAL	226	211	118	131	18	21	11	31	-	-											
Ky.	41	24	21	33	3	3	-	3	N	N											
Tenn.	67	59	30	9	15	18	11	28	N	N											
Ala.	79	71	50	37	-	-	-	-	N	N											
Miss.	39	57	17	52	-	-	-	-	-	-											
W.S. CENTRAL	88	232	156	143	20	50	13	6	7	-											
Ark.	37	41	4	20	1	-	1	2	-	-											
La.	15	23	20	12	-	-	12	4	5	-											
Okla.	26	31	84	28	13	8	N	N	2	-											
Tex.	10	137	48	83	6	42	N	N	-	-											
MOUNTAIN	206	245	120	67	107	48	4	10	-	-											
Mont.	13	3	-	-	-	-	-	-	-	-											
Idaho	11	11	1	2	4	1	N	N	N	N											
Wyo.	3	7	1	1	-	1	1	5	-	-											
Colo.	71	72	27	16	40	21	-	-	-	-											
N. Mex.	17	36	17	8	19	22	3	5	-	-											
Ariz.	65	61	68	26	42	-	-	-	N	N											
Utah	18	20	4	7	2	3	-	-	-	-											
Nev.	8	35	2	7	-	-	-	-	-	-											
PACIFIC	389	647	155	312	42	99	-	-	-	-											
Wash.	36	21	8	5	-	16	-	-	N	N											
Oreg.	34	44	9	26	N	N	N	N	N	N											
Calif.	281	539	129	270	28	67	N	N	N	N											
Alaska	16	11	2	1	-	-	-	-	N	N											
Hawaii	22	32	7	10	14	16	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


