
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending July 7, 2007 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	70	219	1,479	3,930	6,830	35	96	171	2,211	2,581	53	28	211	619	773						
NEW ENGLAND	-	32	77	587	796	5	12	22	291	191	-	0	10	-	7						
Conn.	-	2	10	18	33	4	5	14	118	79	-	0	0	-	-						
Maine	-	2	15	37	24	-	2	8	39	46	N	0	0	N	N						
Mass.	-	22	46	476	510	-	0	0	-	-	-	0	1	-	6						
N.H.	-	2	9	32	128	-	1	4	20	16	-	0	0	-	1						
R.I.	-	0	31	4	22	-	0	3	18	14	-	0	9	-	-						
Vt.	-	1	9	20	79	1	2	13	96	36	-	0	0	-	-						
MID. ATLANTIC	15	32	155	583	839	1	13	44	420	226	-	1	6	26	32						
N.J.	-	3	16	62	156	-	0	0	-	-	-	0	4	1	19						
N.Y. (Upstate)	13	18	146	317	313	-	-	-	-	-	-	0	1	1	-						
N.Y. City	-	2	6	51	47	1	1	5	28	8	-	0	3	11	6						
Pa.	2	8	20	153	323	-	12	44	392	218	-	0	3	13	7						
E.N. CENTRAL	16	41	80	796	995	8	2	18	84	48	-	0	9	8	30						
Ill.	-	7	23	78	255	1	0	7	26	10	-	0	4	1	16						
Ind.	5	2	45	30	110	-	0	2	6	3	-	0	1	2	3						
Mich.	1	9	39	127	202	2	0	5	21	23	-	0	1	2	-						
Ohio	10	15	54	412	306	5	0	12	31	12	-	0	4	3	10						
Wis.	-	4	24	149	122	-	0	0	-	-	-	0	0	-	1						
W.N. CENTRAL	10	15	151	259	690	4	6	17	137	146	10	3	13	91	80						
Iowa	-	4	16	73	179	-	0	7	16	23	-	0	1	3	2						
Kans.	4	3	14	83	140	2	2	8	77	41	-	0	1	-	-						
Minn.	-	0	119	-	102	-	0	4	10	22	-	0	2	1	1						
Mo.	5	3	10	42	184	2	1	6	14	21	10	3	12	81	67						
Nebr.	1	1	4	18	66	-	0	0	-	-	-	0	5	4	10						
N. Dak.	-	0	18	4	4	-	0	6	11	13	-	0	0	-	-						
S. Dak.	-	0	6	39	15	-	0	2	9	26	-	0	1	2	-						
S. ATLANTIC	11	19	163	480	559	11	40	65	982	1,191	34	14	67	331	468						
Del.	-	0	2	5	3	-	0	0	-	-	-	0	2	7	11						
D.C.	-	0	2	2	3	-	0	0	-	-	-	0	1	1	-						
Fla.	1	4	18	119	109	-	0	24	67	176	1	0	4	10	8						
Ga.	-	1	7	13	51	-	4	9	81	129	1	0	5	9	21						
Md.	-	2	8	63	84	-	6	17	145	211	-	1	7	24	33						
N.C.	10	2	112	180	101	11	11	21	262	222	31	6	61	213	357						
S.C.	-	3	11	42	79	-	3	11	46	75	-	1	6	23	13						
Va.	-	2	17	47	109	-	12	31	343	325	-	2	12	42	24						
W. Va.	-	0	19	9	20	-	1	8	38	53	1	0	2	2	1						
E.S. CENTRAL	3	5	24	101	157	-	3	11	62	133	2	7	27	110	112						
Ala.	1	1	18	31	33	-	0	8	-	46	-	1	9	27	27						
Ky.	-	0	5	2	30	-	0	4	10	7	-	0	1	2	-						
Miss.	-	0	10	14	23	-	0	0	-	4	-	0	1	2	2						
Tenn.	2	3	9	54	71	-	2	8	52	76	2	4	22	79	83						
W.S. CENTRAL	-	19	226	296	371	-	10	35	59	464	7	1	168	36	28						
Ark.	-	2	17	63	38	-	0	5	14	19	6	0	53	7	18						
La.	-	0	2	6	17	-	0	1	-	2	-	0	1	-	-						
Okla.	-	0	36	2	10	-	0	22	45	37	-	0	108	21	5						
Tex.	-	14	174	225	306	-	4	34	-	406	1	0	7	8	5						
MOUNTAIN	8	28	61	577	1,613	4	3	28	70	81	-	0	4	15	14						
Ariz.	-	6	17	143	345	3	2	10	50	62	-	0	2	-	4						
Colo.	3	6	18	144	522	-	0	0	-	-	-	0	1	1	1						
Idaho	-	1	6	22	43	-	0	24	-	-	-	0	3	2	1						
Mont.	-	1	8	30	69	-	0	2	4	7	-	0	2	1	2						
Nev.	-	0	9	3	44	-	0	2	1	1	-	0	0	-	-						
N. Mex.	-	2	8	25	54	-	0	2	4	6	-	0	1	3	3						
Utah	5	8	47	196	494	1	0	1	6	3	-	0	0	-	-						
Wyo.	-	1	8	14	42	-	0	2	5	2	-	0	2	8	3						
PACIFIC	7	20	547	251	810	2	4	13	106	101	-	0	1	2	2						
Alaska	-	1	8	19	36	-	0	6	34	14	N	0	0	N	N						
Calif.	-	15	225	99	633	2	3	12	71	85	-	0	0	-	-						
Hawaii	-	0	5	10	65	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	11	58	76	-	0	4	1	2	-	0	1	2	2						
Wash.	7	0	377	65	-	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	1	7	-	18	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	-	5	1	4	26	55	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

