
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending July 12, 2003 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	15,081	17,966	9,756	8,400	3,203	2,948	1,329	1,631	245	190											
NEW ENGLAND	839	980	137	137	189	227	16	72	5	1											
Maine	55	71	6	3	19	16	-	-	-	-											
N.H.	60	62	4	5	19	26	-	-	N	N											
Vt.	31	36	5	-	16	9	6	3	2	1											
Mass.	474	569	84	99	130	79	N	N	N	N											
R.I.	39	55	4	6	5	13	10	6	3	-											
Conn.	180	187	34	24	-	84	-	63	U	U											
MID. ATLANTIC	1,759	2,555	1,091	692	564	502	84	77	62	52											
Upstate N.Y.	440	682	163	94	261	206	43	68	49	42											
N.Y. City	469	639	174	226	78	122	U	U	U	U											
N.J.	196	549	157	253	41	102	N	N	N	N											
Pa.	654	685	597	119	184	72	41	9	13	10											
E.N. CENTRAL	2,130	2,787	929	883	765	638	301	138	96	66											
Ohio	677	670	194	355	226	143	199	18	70	-											
Ind.	261	210	73	39	76	36	102	118	21	27											
Ill.	592	1,014	452	331	178	194	-	2	-	-											
Mich.	348	453	145	79	268	191	N	N	N	N											
Wis.	252	440	65	79	17	74	N	N	5	39											
W.N. CENTRAL	1,130	1,139	404	634	222	171	118	320	40	37											
Minn.	278	261	46	124	111	87	-	220	34	33											
Iowa	175	188	24	65	N	N	N	N	N	N											
Mo.	411	391	200	86	44	37	8	5	2	1											
N. Dak.	23	24	3	16	9	-	3	1	4	3											
S. Dak.	38	45	9	150	17	9	-	1	-	-											
Nebr.	71	71	85	137	20	14	-	25	N	N											
Kans.	134	159	37	56	21	24	107	68	N	N											
S. ATLANTIC	4,028	4,040	3,957	2,716	598	478	667	754	8	16											
Del.	35	35	136	11	6	1	1	3	N	N											
Md.	395	377	299	477	185	74	-	-	-	13											
D.C.	16	40	30	36	10	5	2	-	4	1											
Va.	428	396	219	488	79	51	N	N	N	N											
W. Va.	49	47	-	4	27	11	41	34	4	2											
N.C.	533	528	470	154	66	93	N	N	U	U											
S.C.	203	243	234	58	24	29	74	130	N	N											
Ga.	782	727	1,138	664	78	93	183	192	N	N											
Fla.	1,587	1,647	1,431	824	123	121	366	395	N	N											
E.S. CENTRAL	1,010	1,140	488	696	130	70	91	95	-	-											
Ky.	188	161	60	76	31	12	11	12	N	N											
Tenn.	323	287	164	33	99	58	80	83	N	N											
Ala.	261	303	162	345	-	-	-	-	N	N											
Miss.	238	389	102	242	-	-	-	-	-	-											
W.S. CENTRAL	944	1,786	1,230	1,316	109	190	30	143	30	15											
Ark.	259	313	52	106	4	5	7	5	-	-											
La.	137	375	113	278	1	1	23	138	10	4											
Okla.	181	182	476	237	55	33	N	N	20	1											
Tex.	367	916	589	695	49	151	N	N	-	10											
MOUNTAIN	1,032	1,036	495	292	319	357	19	32	4	3											
Mont.	49	48	2	2	2	-	-	-	-	-											
Idaho	93	60	11	2	12	5	N	N	N	N											
Wyo.	49	30	1	3	1	7	4	10	-	-											
Colo.	247	280	78	61	87	76	-	-	-	-											
N. Mex.	88	141	94	55	79	70	15	22	-	-											
Ariz.	322	276	255	135	129	175	-	-	N	N											
Utah	104	83	27	18	8	24	-	-	4	3											
Nev.	80	118	27	16	1	-	-	-	-	-											
PACIFIC	2,209	2,503	1,025	1,034	307	315	3	-	-	-											
Wash.	261	234	82	70	26	18	-	-	N	N											
Oreg.	201	196	53	45	N	N	N	N	N	N											
Calif.	1,632	1,904	878	884	240	263	N	N	N	N											
Alaska	48	35	4	2	-	-	-	-	N	N											
Hawaii	67	134	8	33	41	34	3	-	-	-											
Guam	-	27	-	18	-	-	-	3	-	-											
P.R.	124	211	1	18	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


