
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending March 4, 2000 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Malaria cummulative for 2000
Malaria cummulative for 1999
Rabies, Animal cummulative for 2000
Rabies, Animal cummulative for 1999
Salmonellosis, NETSS cummulative for 2000
Salmonellosis, NETSS cummulative for 1999
Salmonellosis, PHLIS cummulative for 2000
Salmonellosis, PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	111	201	581	794	3,255	4,188	1,814	3,848													
NEW ENGLAND	-	3	68	114	210	226	202	240													
Maine	-	-	16	19	25	23	9	13													
N.H.	-	-	2	5	14	3	8	11													
Vt.	-	-	4	18	5	10	3	10													
Mass.	-	3	25	33	125	133	132	129													
R.I.	-	-	-	10	4	10	12	21													
Conn.	-	-	21	29	37	47	38	56													
MID. ATLANTIC	12	62	126	170	291	647	193	478													
Upstate N.Y.	7	12	100	108	77	115	24	144													
N.Y. City	2	30	U	U	114	208	169	195													
N.J.	-	15	14	37	-	161	-	135													
Pa.	3	5	12	25	100	163	-	4													
E.N. CENTRAL	7	23	2	1	430	654	235	563													
Ohio	2	2	2	-	140	148	70	114													
Ind.	-	4	-	-	45	34	44	40													
Ill.	2	9	-	-	134	198	-	205													
Mich.	3	5	-	1	71	162	88	143													
Wis.	-	3	-	-	40	112	33	61													
W.N. CENTRAL	4	7	53	114	197	228	142	257													
Minn.	2	-	18	15	42	53	42	92													
Iowa	-	2	7	16	17	30	11	28													
Mo.	-	5	2	5	65	57	44	73													
N. Dak.	-	-	8	15	2	1	10	11													
S. Dak.	-	-	7	29	7	7	11	13													
Nebr.	1	-	-	1	26	18	7	17													
Kans.	1	-	11	33	38	62	17	23													
S. ATLANTIC	34	47	251	277	564	741	367	695													
Del.	-	-	10	3	8	15	7	13													
Md.	18	18	47	73	103	91	73	84													
D.C.	-	5	-	-	-	16	U	U													
Va.	11	7	67	61	66	84	50	90													
W. Va.	-	1	18	15	20	13	12	19													
N.C.	4	3	52	62	132	170	67	141													
S.C.	-	-	14	11	55	38	41	53													
Ga.	-	5	28	28	67	147	117	205													
Fla.	1	8	15	24	113	167	-	90													
E.S. CENTRAL	4	5	23	39	163	264	89	166													
Ky.	1	1	4	12	19	57	16	36													
Tenn.	-	2	16	18	40	75	47	75													
Ala.	3	2	3	9	70	77	23	47													
Miss.	-	-	-	-	34	55	3	8													
W.S. CENTRAL	1	9	8	14	192	297	238	396													
Ark.	-	1	-	-	31	41	22	35													
La.	1	6	-	-	24	46	68	59													
Okla.	-	1	8	14	23	32	18	14													
Tex.	-	1	-	-	114	178	130	288													
MOUNTAIN	8	10	27	20	296	294	210	285													
Mont.	-	1	9	8	11	3	-	1													
Idaho	-	1	-	-	21	10	-	15													
Wyo.	-	-	14	5	6	2	-	5													
Colo.	4	3	-	1	59	84	58	84													
N. Mex.	-	1	1	-	30	31	21	39													
Ariz.	2	3	3	6	90	100	93	82													
Utah	2	1	-	-	49	34	38	38													
Nev.	-	-	-	-	30	30	-	21													
PACIFIC	41	35	23	45	912	837	138	768													
Wash.	2	2	-	-	32	34	59	109													
Oreg.	4	6	-	-	42	65	49	86													
Calif.	35	24	17	42	787	678	-	514													
Alaska	-	-	6	3	12	6	2	4													
Hawaii	-	3	-	-	39	54	28	55													
Guam	-	-	-	-	-	13	U	U													
P.R.	-	-	6	7	10	57	U	U													
V.I.	-	U	-	U	-	U	U	U													
Amer. Samoa	-	U	-	U	-	U	U	U													
C.N.M.I.	-	U	-	U	-	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


