
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending December 29, 2007 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	92	169	1,479	8,739	15,632	12	102	186	5,316	5,534	14	35	211	2,106	2,288						
NEW ENGLAND	2	25	77	1,246	1,975	3	11	22	552	488	-	0	10	6	23						
Conn.	-	1	5	59	126	1	4	10	213	208	-	0	0	-	-						
Maine	-	1	13	77	174	-	1	5	82	127	-	0	1	1	N						
Mass.	-	20	37	956	1,238	-	0	0	-	N	-	0	1	4	12						
N.H.	-	1	5	61	226	-	1	4	53	50	-	0	1	1	1						
R.I.	-	0	31	32	101	-	0	4	40	30	-	0	9	-	10						
Vt.	2	0	9	61	110	2	3	13	164	73	-	0	0	-	-						
MID. ATLANTIC	10	23	155	1,190	2,083	7	25	56	1,355	549	-	1	7	86	90						
N.J.	-	2	10	139	301	N	0	0	N	N	-	0	3	23	41						
N.Y. (Upstate)	5	9	146	541	1,083	7	9	20	514	N	-	0	1	3	-						
N.Y. City	-	2	6	122	112	-	1	5	44	44	-	0	3	29	23						
Pa.	5	7	21	388	587	-	15	44	797	505	-	0	3	31	26						
E.N. CENTRAL	6	27	79	1,309	2,365	-	4	48	394	164	-	1	4	51	65						
Ill.	-	3	13	166	588	-	1	15	113	46	-	0	3	33	26						
Ind.	-	0	45	55	280	-	0	1	12	11	-	0	2	4	6						
