
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending April 4, 2009 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	118	99	214	1,590	1,790	41	35	90	481	561											
NEW ENGLAND	-	5	31	93	112	-	1	12	13	31											
Conn.	-	0	26	23	9	-	0	11	-	-											
Maine	-	0	3	6	10	-	0	1	-	1											
Mass.	-	3	7	39	74	-	1	3	9	26											
N.H.	-	1	4	15	10	-	0	1	2	4											
R.I.	-	0	8	4	3	-	0	2	-	-											
Vt.	-	0	3	6	6	-	0	1	2	-											
MID. ATLANTIC	17	18	34	290	372	4	3	25	58	64											
N.J.	-	1	9	2	76	-	1	4	10	20											
N.Y. (Upstate)	13	6	23	104	98	4	2	19	37	25											
N.Y. City	-	4	12	60	77	-	0	23	11	19											
Pa.	4	7	16	124	121	N	0	2	N	N											
E.N. CENTRAL	10	16	40	291	355	2	6	11	70	104											
Ill.	-	4	11	69	111	-	1	5	9	31											
Ind.	-	3	19	41	42	-	0	5	4	12											
Mich.	-	3	9	49	66	1	1	5	21	28											
Ohio	7	4	14	99	90	-	1	5	28	16											
Wis.	3	1	10	33	46	1	0	2	8	17											
W.N. CENTRAL	22	5	37	136	142	10	2	11	43	35											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	0	8	18	20	N	0	1	N	N											
Minn.	18	0	34	52	55	6	0	9	15	13											
Mo.	2	1	8	39	36	4	1	3	19	16											
Nebr.	1	1	3	17	15	-	0	1	2	2											
N. Dak.	-	0	2	2	7	-	0	3	3	1											
S. Dak.	-	0	2	8	9	-	0	2	4	3											
S. ATLANTIC	44	21	33	370	362	8	6	14	100	115											
Del.	-	0	1	6	5	-	0	0	-	-											
D.C.	-	0	4	-	8	N	0	0	N	N											
Fla.	7	6	12	92	79	2	1	3	20	16											
Ga.	6	5	14	89	75	1	1	6	33	31											
Md.	6	3	10	53	71	2	1	3	21	26											
N.C.	13	2	8	42	43	N	0	0	N	N											
S.C.	3	1	5	24	24	3	1	6	21	19											
Va.	8	3	10	53	42	-	0	3	1	20											
W. Va.	1	0	3	11	15	-	0	2	4	3											
E.S. CENTRAL	6	4	9	74	54	1	2	6	17	29											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	14	13	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	-	7											
Tenn.	6	3	7	60	41	1	1	6	17	22											
W.S. CENTRAL	14	10	58	156	142	14	6	36	91	71											
Ark.	2	0	2	6	2	1	0	3	9	3											
La.	-	0	2	5	8	-	0	3	12	2											
Okla.	4	2	13	60	41	2	1	7	16	25											
Tex.	8	6	45	85	91	11	4	27	54	41											
MOUNTAIN	5	9	23	138	210	1	4	15	78	96											
Ariz.	4	3	8	39	68	-	2	9	45	49											
Colo.	1	3	8	56	59	1	1	4	18	19											
Idaho	-	0	2	3	8	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	5	-	0	1	-	1											
N. Mex.	-	1	6	21	50	-	0	2	5	11											
Utah	-	1	6	16	17	-	0	4	8	15											
Wyo.	-	0	1	1	3	-	0	1	-	-											
PACIFIC	-	3	8	42	41	1	1	5	11	16											
Alaska	-	0	4	5	10	1	0	4	8	10											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	37	31	-	0	2	3	6											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


