
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 4, 2005 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	461	493	62	82	67	49	5,957	6,577	121,096	132,578											
NEW ENGLAND	34	30	16	20	8	5	489	567	2,367	2,964											
Maine	4	1	2	-	-	-	49	57	56	109											
N.H.	2	5	1	3	-	-	22	18	67	55											
Vt.	2	-	-	-	-	-	64	42	18	38											
Mass.	13	16	5	6	8	5	210	288	1,144	1,289											
R.I.	1	3	-	-	-	-	30	47	204	388											
Conn.	12	5	8	11	-	-	114	115	878	1,085											
MID. ATLANTIC	50	52	3	11	7	10	1,130	1,470	12,513	15,402											
Upstate N.Y.	18	13	3	3	3	3	375	435	2,632	3,042											
N.Y. City	2	9	-	-	-	-	304	462	3,696	4,853											
N.J.	12	13	-	3	-	4	154	193	1,730	2,873											
Pa.	18	17	-	5	4	3	297	380	4,455	4,634											
E.N. CENTRAL	88	106	9	16	3	6	882	1,016	22,393	27,834											
Ohio	35	18	1	4	2	6	247	300	6,812	8,883											
Ind.	8	12	-	-	-	-	N	N	3,245	2,625											
Ill.	14	28	1	-	-	-	171	333	6,767	8,297											
Mich.	14	18	-	2	1	-	257	224	3,644	6,138											
Wis.	17	30	7	10	-	-	207	159	1,925	1,891											
W.N. CENTRAL	67	68	13	13	8	10	760	680	6,850	6,923											
Minn.	8	25	4	6	2	2	382	250	957	1,212											
Iowa	13	16	-	-	-	-	80	100	627	520											
Mo.	25	12	6	7	2	2	156	212	3,794	3,529											
N. Dak.	1	2	-	-	-	3	1	11	19	59											
S. Dak.	2	3	-	-	-	-	35	28	164	110											
Nebr.	5	-	3	-	2	-	42	-	369	457											
Kans.	13	10	-	-	2	3	64	79	920	1,036											
S. ATLANTIC	64	48	10	11	33	8	872	1,036	29,713	31,742											
Del.	-	-	N	N	N	N	11	20	340	405											
Md.	7	8	2	2	1	2	63	37	2,781	3,326											
D.C.	-	1	-	-	-	-	20	30	850	1,037											
Va.	3	2	4	6	6	-	204	149	2,988	3,707											
W. Va.	-	1	-	-	-	-	12	12	292	351											
N.C.	-	-	-	-	17	4	N	N	6,965	6,273											
S.C.	1	4	-	-	-	-	31	37	3,515	3,417											
Ga.	8	14	2	1	-	-	214	325	4,217	5,973											
Fla.	45	18	2	2	9	2	317	426	7,765	7,253											
E.S. CENTRAL	27	32	-	2	5	7	155	150	9,606	10,344											
Ky.	6	9	-	1	4	4	N	N	1,451	980											
Tenn.	11	5	-	-	1	3	79	75	3,289	3,352											
Ala.	10	10	-	-	-	-	76	75	2,161	3,317											
Miss.	-	8	-	1	-	-	-	-	2,705	2,695											
W.S. CENTRAL	11	33	1	1	2	3	93	113	17,962	18,228											
Ark.	2	8	-	-	-	-	33	49	1,796	1,681											
La.	2	1	1	-	2	-	14	20	4,314	5,008											
Okla.	3	4	-	-	-	-	46	44	1,870	1,939											
Tex.	4	20	-	1	-	3	N	N	9,982	9,600											
MOUNTAIN	48	50	10	7	1	-	451	481	4,558	4,697											
Mont.	3	3	-	-	-	-	15	15	46	47											
Idaho	4	14	5	3	-	-	32	69	32	35											
Wyo.	-	-	1	-	-	-	10	7	27	23											
Colo.	15	12	1	1	-	-	160	157	1,173	1,331											
N. Mex.	1	5	3	2	-	-	15	29	260	429											
Ariz.	10	6	N	N	N	N	60	79	1,752	1,646											
Utah	7	6	-	-	-	-	130	101	277	200											
Nev.	8	4	-	1	1	-	29	24	991	986											
PACIFIC	72	74	-	1	-	-	1,125	1,064	15,134	14,444											
Wash.	18	25	-	-	-	-	93	106	1,472	1,146											
Oreg.	16	9	-	1	-	-	96	157	631	422											
Calif.	31	36	-	-	-	-	882	739	12,444	12,016											
Alaska	4	1	-	-	-	-	30	26	211	278											
Hawaii	3	3	-	-	-	-	24	36	376	582											
Guam	N	N	-	-	-	-	-	2	-	102											
P.R.	-	-	-	-	-	-	10	70	172	110											
V.I.	-	-	-	-	-	-	-	-	2	53											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


