
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 14, 2001 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	819	801	4	38	137	20	1,322	1,441	-	3	22										
NEW ENGLAND	52	47	-	-	2	-	215	390	-	-	5										
Maine	-	3	-	-	-	-	-	9	-	-	-										
N.H.	5	3	-	-	-	-	16	49	-	-	1										
Vt.	4	2	-	-	-	-	22	71	-	-	-										
Mass.	30	29	-	-	-	-	171	244	-	-	3										
R.I.	1	3	-	-	1	-	-	5	-	-	-										
Conn.	12	7	-	-	1	-	6	12	-	-	1										
MID. ATLANTIC	67	76	-	1	10	2	85	135	-	1	5										
Upstate N.Y.	29	15	-	-	5	2	69	67	-	1	2										
N.Y. City	16	23	-	1	3	-	6	26	-	-	3										
N.J.	21	17	-	-	-	-	2	-	-	-	-										
Pa.	1	21	-	-	2	-	8	42	-	-	-										
E.N. CENTRAL	102	140	-	4	17	8	162	210	-	1	-										
Ohio	38	24	-	1	6	7	113	131	-	-	-										
Ind.	17	17	-	-	-	-	5	9	-	-	-										
Ill.	18	38	-	3	4	1	12	18	-	1	-										
Mich.	20	45	-	-	6	-	15	12	-	-	-										
Wis.	9	16	-	-	1	-	17	40	-	-	-										
W.N. CENTRAL	56	49	2	4	6	-	40	39	-	-	1										
Minn.	6	3	-	-	-	-	-	15	-	-	-										
Iowa	15	12	-	-	3	-	4	7	-	-	-										
Mo.	21	24	-	-	1	-	23	7	-	-	-										
N. Dak.	2	1	-	-	-	-	-	1	-	-	-										
S. Dak.	2	4	-	-	-	-	2	1	-	-	-										
Nebr.	2	3	-	-	1	-	1	2	-	-	1										
Kans.	8	2	2	4	1	-	10	6	-	-	-										
S. ATLANTIC	164	117	1	5	16	1	60	104	-	1	3										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	22	12	-	2	5	-	10	32	-	-	-										
D.C.	-	-	-	-	-	1	1	-	-	-	-										
Va.	18	19	1	2	3	-	8	10	-	-	-										
W. Va.	4	3	-	-	-	-	1	-	-	-	-										
N.C.	39	22	-	-	2	-	23	28	-	-	-										
S.C.	14	7	-	1	5	-	8	14	-	-	2										
Ga.	22	22	-	-	-	-	2	9	-	1	-										
Fla.	45	32	-	-	1	-	7	10	-	-	1										
E.S. CENTRAL	60	54	-	-	2	-	29	35	-	-	1										
Ky.	10	11	-	-	-	-	6	23	-	-	1										
Tenn.	22	23	-	-	-	-	16	3	-	-	-										
Ala.	24	15	-	-	1	-	4	8	-	-	-										
Miss.	4	5	-	-	1	-	3	1	-	-	-										
W.S. CENTRAL	123	91	-	5	14	-	21	29	-	-	3										
Ark.	9	5	-	1	1	-	2	5	-	-	-										
La.	41	26	-	2	3	-	1	3	-	-	-										
Okla.	14	16	-	-	-	-	1	-	-	-	-										
Tex.	59	44	-	2	10	-	17	21	-	-	3										
MOUNTAIN	47	49	1	5	7	7	625	243	-	-	-										
Mont.	-	1	-	-	1	2	5	1	-	-	-										
Idaho	3	6	-	-	-	2	157	35	-	-	-										
Wyo.	-	-	-	1	-	-	-	-	-	-	-										
Colo.	18	12	1	2	1	2	134	151	-	-	-										
N. Mex.	8	7	-	2	1	-	40	37	-	-	-										
Ariz.	9	16	-	-	-	1	279	11	-	-	-										
Utah	5	5	-	-	2	-	9	5	-	-	-										
Nev.	4	2	-	-	2	-	1	3	-	-	-										
PACIFIC	148	178	-	14	63	2	85	256	-	-	4										
Wash.	30	16	-	-	2	2	29	60	-	-	3										
Oreg.	3	22	N	N	N	-	-	25	-	-	-										
Calif.	114	135	U	13	55	U	56	158	U	-	1										
Alaska	1	1	-	1	1	-	-	4	-	-	-										
Hawaii	-	4	-	-	5	-	-	9	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	1	4	U	-	-	U	-	-	U	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


