
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending October 27, 2007 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	109	170	1,479	7,147	11,669	75	95	156	4,220	4,778	11	31	211	1,709	1,868						
NEW ENGLAND	3	28	77	1,079	1,468	3	12	22	493	405	-	0	10	2	11						
Conn.	-	2	5	59	99	-	4	10	194	174	-	0	0	-	-						
Maine	-	1	13	67	118	1	2	7	74	105	-	0	0	-	-						
Mass.	-	22	46	845	920	-	0	0	-	-	-	0	1	2	10						
N.H.	-	1	7	50	187	-	1	4	42	40	-	0	0	-	1						
R.I.	-	0	31	17	49	1	0	4	36	29	-	0	9	-	-						
Vt.	3	0	9	41	95	1	3	13	147	57	-	0	0	-	-						
MID. ATLANTIC	6	22	155	951	1,529	1	14	44	733	463	-	1	6	54	81						
N.J.	-	2	11	117	255	-	0	0	-	-	-	0	2	6	38						
N.Y. (Upstate)	4	12	146	492	688	-	-	-	-	-	-	0	1	3	-						
N.Y. City	-	2	6	97	81	1	1	5	40	30	-	0	3	23	22						
Pa.	2	6	15	245	505	-	13	44	693	433	-	0	3	22	21						
E.N. CENTRAL	3	29	79	1,196	1,843	2	4	48	366	152	-	1	4	40	60						
Ill.	-	3	23	112	458	-	1	15	109	46	-	0	3	23	25						
Ind.	-	1	45	51	184	-	0	1	11	11	-	0	2	4	6						
Mich.	2	7	20	247	512	1	1	27	175	44	-	0	1	3	4						
Ohio	1	15	54	587	504	1	0	11	71	51	-	0	2	10	24						
Wis.	-	3	24	199	185	-	0	0	-	-	-	0	0	-	1						
W.N. CENTRAL	46	13	151	547	1,080	1	5	13	226	275	-	4	31	351	187						
Iowa	-	3	16	116	263	1	0	3	30	56	-	0	4	13	5						
Kans.	-	3	12	104	255	-	2	8	95	67	-	0	1	1	1						
Minn.	46	0	119	157	161	-	0	5	28	37	-	0	1	1	3						
Mo.	-	2	9	63	273	-	0	3	39	63	-	3	25	320	153						
Nebr.	-	1	12	51	83	-	0	0	-	-	-	0	2	12	25						
N. Dak.	-	0	18	4	25	-	0	6	16	16	-	0	0	-	-						
S. Dak.	-	1	6	52	20	-	0	2	18	36	-	0	1	4	-						
S. ATLANTIC	3	18	163	785	924	60	40	76	1,803	1,984	3	14	111	827	1,035						
Del.	-	0	2	10	3	-	0	0	-	-	-	0	2	14	21						
D.C.	-	0	1	2	6	-	0	0	-	-	-	0	1	1	1						
Fla.	1	4	18	190	184	-	0	29	103	176	1	0	4	21	13						
Ga.	-	1	4	25	82	34	4	34	234	231	-	0	5	33	49						
Md.	1	2	8	93	123	-	7	18	304	366	-	1	7	55	71						
N.C.	-	4	112	273	155	15	9	19	434	446	-	4	96	521	754						
S.C.	-	2	9	65	153	-	0	11	46	150	-	1	7	60	35						
Va.	-	2	17	99	175	11	13	31	618	524	2	2	11	117	88						
W. Va.	1	0	19	28	43	-	0	10	64	91	-	0	3	5	3						
E.S. CENTRAL	1	6	32	337	302	-	3	9	140	222	6	4	16	230	340						
Ala.	-	2	18	78	73	-	0	5	-	76	3	1	9	74	81						
Ky.	-	0	1	7	56	-	0	3	18	27	-	0	2	5	3						
Miss.	-	1	29	180	33	-	0	1	1	4	-	0	2	13	7						
Tenn.	1	2	7	72	140	-	3	7	121	115	3	2	10	138	249						
W.S. CENTRAL	10	20	226	819	718	-	2	27	72	856	1	1	168	166	107						
Ark.	7	1	17	129	81	-	0	5	27	26	1	0	53	90	46						
La.	-	0	1	14	24	-	0	1	-	6	-	0	1	2	4						
Okla.	-	0	36	6	18	-	0	22	45	58	-	0	108	45	28						
Tex.	3	17	174	670	595	-	0	26	-	766	-	0	7	29	29						
MOUNTAIN	20	22	61	903	2,193	-	3	14	199	198	1	0	4	31	45						
Ariz.	1	4	13	178	451	-	2	12	139	130	-	0	1	7	11						
Colo.	-	6	17	230	652	-	0	0	-	-	-	0	2	4	4						
Idaho	-	1	5	34	81	-	0	0	-	24	-	0	1	4	14						
Mont.	-	0	7	36	104	-	0	3	17	14	-	0	1	1	2						
Nev.	-	0	5	12	65	-	0	1	2	5	-	0	0	-	-						
N. Mex.	-	1	7	56	114	-	0	2	8	8	-	0	1	4	7						
Utah	19	7	47	338	654	-	0	2	16	11	1	0	0	1	-						
Wyo.	-	0	4	19	72	-	0	4	17	6	-	0	2	10	7						
PACIFIC	17	13	547	530	1,612	8	4	10	188	223	-	0	3	8	2						
Alaska	1	0	8	42	87	1	0	6	38	16	N	0	0	N	N						
Calif.	-	3	167	144	1,346	7	2	8	139	184	-	0	3	6	-						
Hawaii	-	0	2	17	84	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	2	14	98	95	-	0	3	11	23	-	0	1	2	2						
Wash.	16	2	377	229	-	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	0	1	-	61	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	2	-	0	5	37	71	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


