
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 19, 2000 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	2,750	4,590	49,968	87,873	112	147	150	138	62	103											
NEW ENGLAND	289	284	2,734	2,747	4	6	15	27	12	26											
Maine	3	3	153	72	2	1	1	1	-	-											
N.H.	3	13	98	142	-	-	3	1	3	1											
Vt.	1	-	64	51	2	1	1	1	1	-											
Mass.	234	239	1,336	1,145	-	3	4	16	2	13											
R.I.	6	10	-	299	-	-	-	-	-	-											
Conn.	42	19	1,083	1,038	-	1	6	8	6	12											
MID. ATLANTIC	795	1,084	576	10,008	9	26	20	8	-	2											
Upstate N.Y.	21	71	N	N	4	8	20	5	-	-											
N.Y. City	495	650	-	4,910	4	14	-	1	-	1											
N.J.	194	289	202	1,643	-	1	-	2	-	1											
Pa.	85	74	374	3,455	1	3	N	N	-	-											
E.N. CENTRAL	143	272	10,214	14,623	11	33	17	29	4	18											
Ohio	25	70	2,227	4,853	6	4	5	18	1	6											
Ind.	26	25	1,324	1,442	3	2	1	4	1	4											
Ill.	64	77	2,964	3,639	-	5	8	2	-	3											
Mich.	19	80	2,732	2,978	2	4	3	5	1	2											
Wis.	9	20	967	1,711	-	18	N	N	1	3											
W.N. CENTRAL	49	127	2,147	5,433	2	11	30	25	20	15											
Minn.	11	22	658	1,087	-	4	7	8	9	10											
Iowa	7	4	101	293	-	-	3	5	1	2											
Mo.	15	73	686	2,381	2	4	18	2	7	1											
N. Dak.	-	3	-	121	-	-	-	2	-	1											
S. Dak.	1	-	223	298	-	1	-	-	-	-											
Nebr.	4	5	285	499	-	1	2	2	2	1											
Kans.	11	20	194	754	-	1	-	6	1	-											
S. ATLANTIC	588	1,372	10,159	19,293	13	12	17	13	9	7											
Del.	15	13	401	406	-	-	-	-	-	-											
Md.	92	250	757	1,929	1	2	6	1	1	-											
D.C.	22	13	302	N	-	3	-	-	U	U											
Va.	41	76	1,529	1,932	-	-	3	5	2	2											
W. Va.	4	10	-	322	-	-	1	-	1	1											
N.C.	27	69	2,279	2,985	3	1	4	2	-	2											
S.C.	35	111	669	3,890	-	-	-	1	-	1											
Ga.	97	112	1,570	3,686	4	5	1	1	3	U											
Fla.	255	718	2,652	4,143	5	1	2	3	2	1											
E.S. CENTRAL	140	244	5,168	4,989	5	2	8	12	1	4											
Ky.	20	16	1,124	1,024	-	1	2	3	U	U											
Tenn.	35	95	1,614	1,815	-	1	5	5	1	2											
Ala.	50	69	1,102	1,782	5	-	1	2	-	1											
Miss.	35	64	1,328	368	-	-	-	2	-	1											
W.S. CENTRAL	276	565	6,019	10,971	4	2	4	2	7	6											
Ark.	8	19	486	701	1	-	2	1	1	2											
La.	45	47	-	784	-	-	-	-	5	1											
Okla.	10	19	908	1,233	-	-	-	-	-	-											
Tex.	213	480	4,625	8,253	3	2	2	1	1	3											
MOUNTAIN	102	68	2,798	4,402	6	18	18	6	3	5											
Mont.	1	3	-	163	-	1	5	-	-	-											
Idaho	3	5	64	245	1	2	2	-	-	-											
Wyo.	1	-	82	99	-	-	2	1	-	1											
Colo.	34	26	473	803	-	1	5	2	1	1											
N. Mex.	8	4	233	667	-	9	-	1	-	-											
Ariz.	22	5	1,213	1,766	2	5	2	1	2	-											
Utah	12	4	343	237	3	N	1	1	-	3											
Nev.	21	21	390	422	-	-	1	-	-	-											
PACIFIC	368	574	10,153	15,407	58	37	21	16	6	20											
Wash.	48	28	1,767	1,777	N	N	1	1	3	6											
Oreg.	11	15	374	730	1	3	3	8	1	8											
Calif.	299	510	7,769	12,240	57	34	15	7	-	6											
Alaska	-	5	243	254	-	-	-	-	-	-											
Hawaii	10	16	-	406	-	-	2	-	2	-											
Guam	-	1	-	60	-	-	N	N	U	U											
P.R.	77	94	113	U	-	-	-	1	U	U											
V.I.	-	-	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


