
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending March 22, 2008 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	97	87	187	1,273	1,386	22	32	146	360	440											
NEW ENGLAND	12	4	28	30	83	-	1	4	5	40											
Conn.	10	0	22	10	2	-	0	1	-	7											
Maine	1	0	3	9	7	-	0	1	1	-											
Mass.	-	1	12	-	58	-	0	4	-	30											
N.H.	-	0	4	6	7	-	0	1	4	-											
R.I.	-	0	1	-	-	-	0	1	-	2											
Vt.	1	0	2	5	9	-	0	1	-	1											
MID. ATLANTIC	12	16	40	235	296	1	5	38	48	59											
N.J.	-	2	11	12	59	-	1	6	9	14											
N.Y. (Upstate)	4	6	20	95	72	1	2	14	25	29											
N.Y. City	-	4	13	38	78	-	2	35	14	16											
Pa.	8	4	15	90	87	N	0	0	N	N											
E.N. CENTRAL	7	15	55	282	263	2	5	19	80	64											
Ill.	-	4	10	57	96	-	1	6	17	11											
Ind.	-	2	10	34	24	-	0	11	8	3											
Mich.	-	4	10	51	60	-	1	5	20	27											
Ohio	7	4	14	83	71	2	1	5	17	18											
Wis.	-	0	38	57	12	-	0	9	18	5											
W.N. CENTRAL	5	5	33	86	99	4	3	22	32	25											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	8	13	-	0	1	2	1											
Minn.	-	0	20	20	45	3	1	21	11	11											
Mo.	2	2	10	33	28	1	0	2	14	10											
Nebr.	1	0	3	13	4	-	0	3	2	2											
N. Dak.	-	0	3	4	7	-	0	0	-	1											
S. Dak.	2	0	2	8	2	-	0	1	3	-											
S. ATLANTIC	20	23	49	296	299	2	5	10	52	95											
Del.	-	0	3	6	1	-	0	0	-	-											
D.C.	-	0	3	6	4	-	0	1	1	-											
Fla.	2	6	16	71	60	1	1	4	15	16											
Ga.	5	4	12	61	66	-	0	4	-	29											
Md.	5	4	9	63	58	1	1	5	19	24											
N.C.	7	2	22	35	32	N	0	0	N	N											
S.C.	-	1	7	15	28	-	1	4	13	9											
Va.	1	3	12	29	45	-	0	3	3	16											
W. Va.	-	0	3	10	5	-	0	1	1	1											
E.S. CENTRAL	4	4	13	42	58	2	2	11	24	27											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	2	9	16	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	5	2											
Tenn.	4	3	13	33	42	2	2	9	19	25											
W.S. CENTRAL	26	7	68	118	80	4	5	61	54	63											
Ark.	-	0	1	1	9	-	0	2	3	5											
La.	-	0	2	1	8	-	0	3	-	17											
Okla.	6	1	9	41	29	2	1	5	24	15											
Tex.	20	5	59	75	34	2	3	56	27	26											
MOUNTAIN	8	9	21	149	178	7	4	11	65	63											
Ariz.	5	4	9	61	59	6	2	8	46	32											
Colo.	2	2	9	36	44	1	1	4	10	13											
Idaho	1	0	2	7	5	-	0	1	1	-											
Mont.	N	0	0	N	N	-	0	1	-	-											
Nev.	-	0	1	2	2	N	0	0	N	N											
N. Mex.	-	2	5	31	32	-	0	3	7	15											
Utah	-	1	6	12	34	-	0	2	1	3											
Wyo.	-	0	1	-	2	-	0	0	-	-											
PACIFIC	3	3	7	35	30	-	0	1	-	4											
Alaska	1	0	3	10	4	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	2	2	5	25	26	-	0	1	-	4											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	4	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


