
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending December 18, 1999 (WEEK 50)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	1,105	1,029	16,017	21,471	6,130	9,235	-	60	-	25	85	90									
NEW ENGLAND	98	69	293	287	134	214	-	6	-	5	11	3									
Maine	8	4	14	20	1	5	U	-	U	-	-	-									
N.H.	21	10	18	15	16	19	-	-	-	1	1	-									
Vt.	5	9	19	17	3	10	-	-	-	-	-	1									
Mass.	37	39	113	122	41	78	-	5	-	3	8	2									
R.I.	6	6	26	17	34	68	-	-	-	-	-	-									
Conn.	21	1	103	96	39	34	-	1	-	1	2	-									
MID. ATLANTIC	173	168	932	1,656	575	1,188	-	-	-	2	2	14									
Upstate N.Y.	80	63	265	350	176	234	-	-	-	2	2	2									
N.Y. City	41	43	310	584	202	412	-	-	-	-	-	-									
N.J.	49	51	112	334	41	201	U	-	U	-	-	8									
Pa.	3	11	245	388	156	341	-	-	-	-	-	4									
E.N. CENTRAL	163	174	2,727	3,557	638	1,379	-	1	-	2	3	16									
Ohio	58	47	644	359	90	75	-	-	-	-	-	1									
Ind.	24	43	109	163	43	109	-	1	-	1	2	3									
Ill.	66	64	707	779	1	226	-	-	-	-	-	1									
Mich.	14	13	1,200	2,073	480	472	-	-	-	1	1	10									
Wis.	1	7	67	183	24	497	U	-	U	-	-	1									
W.N. CENTRAL	86	88	884	1,295	348	399	-	1	-	-	1	-									
Minn.	47	66	95	130	54	49	-	1	-	-	1	-									
Iowa	8	3	144	399	39	54	-	-	-	-	-	-									
Mo.	22	11	534	593	207	241	-	-	-	-	-	-									
N. Dak.	1	-	3	3	2	4	U	-	U	-	-	-									
S. Dak.	1	1	9	39	1	2	-	-	-	-	-	-									
Nebr.	3	1	59	26	18	22	-	-	-	-	-	-									
Kans.	4	6	40	105	27	27	U	-	U	-	-	-									
S. ATLANTIC	258	184	1,996	1,980	1,207	1,042	-	14	-	6	20	8									
Del.	-	1	2	6	1	4	-	-	-	-	-	1									
Md.	68	53	350	399	166	135	-	-	-	-	-	1									
D.C.	5	-	59	64	24	18	-	-	-	-	-	-									
Va.	22	19	175	213	96	99	-	14	-	4	18	2									
W. Va.	7	6	39	7	23	10	-	-	-	-	-	-									
N.C.	35	24	156	123	212	243	U	-	U	-	-	-									
S.C.	6	3	47	46	65	52	-	-	-	-	-	-									
Ga.	68	50	449	650	177	145	-	-	-	-	-	2									
Fla.	47	28	719	472	443	336	-	-	-	2	2	2									
E.S. CENTRAL	62	61	403	401	462	483	-	2	-	-	2	2									
Ky.	7	7	63	32	43	48	U	2	U	-	2	-									
Tenn.	35	36	174	221	211	268	-	-	-	-	-	1									
Ala.	17	15	55	79	78	73	-	-	-	-	-	1									
Miss.	3	3	111	69	130	94	-	-	-	-	-	-									
W.S. CENTRAL	46	54	3,612	3,908	803	2,027	-	10	-	4	14	-									
Ark.	2	-	68	79	69	104	U	5	U	-	5	-									
La.	7	21	73	114	77	163	U	-	U	-	-	-									
Okla.	33	30	435	605	129	121	-	-	-	-	-	-									
Tex.	4	3	3,036	3,110	528	1,639	U	5	U	4	9	-									
MOUNTAIN	106	117	1,251	3,017	545	790	-	4	-	-	4	5									
Mont.	3	-	17	94	17	5	U	-	U	-	-	-									
Idaho	1	2	45	233	29	48	-	-	-	-	-	-									
Wyo.	1	1	8	37	13	10	-	-	-	-	-	-									
Colo.	11	21	208	333	92	102	-	-	-	-	-	-									
N. Mex.	19	8	51	148	169	309	-	-	-	-	-	-									
Ariz.	56	60	725	1,765	140	170	-	1	-	-	1	5									
Utah	11	6	66	190	37	65	-	2	-	-	2	-									
Nev.	4	19	131	217	48	81	U	1	U	-	1	-									
PACIFIC	113	114	3,919	5,370	1,418	1,713	-	22	-	6	28	42									
Wash.	7	9	377	928	74	108	-	-	-	-	-	1									
Oreg.	40	41	238	427	100	196	-	9	-	-	9	-									
Calif.	48	50	3,271	3,944	1,213	1,378	U	13	U	4	17	8									
Alaska	9	4	12	17	17	13	-	-	-	-	-	33									
Hawaii	9	10	21	54	14	18	-	-	-	2	2	-									
Guam	-	-	2	1	2	2	U	1	U	-	1	-									
P.R.	1	2	215	82	160	242	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


