
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending August 21, 2004 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	22,265	24,160	6,663	14,566	3,220	4,205	1,440	1,410	450	485											
NEW ENGLAND	1,213	1,299	161	199	141	375	22	73	51	6											
Maine	60	84	2	6	6	23	2	-	3	-											
N.H.	51	91	5	5	15	23	-	-	N	N											
Vt.	36	43	2	6	8	16	7	6	1	3											
Mass.	720	787	98	141	95	168	N	N	40	N											
R.I.	75	60	13	6	17	9	13	10	7	3											
Conn.	271	234	41	35	-	136	-	57	U	U											
MID. ATLANTIC	3,349	2,876	753	1,569	541	727	104	93	79	72											
Upstate N.Y.	731	609	329	222	182	275	48	50	54	52											
N.Y. City	741	790	217	256	73	101	U	U	U	U											
N.J.	485	508	136	263	124	141	-	-	5	2											
Pa.	1,392	969	71	828	162	210	56	43	20	18											
E.N. CENTRAL	2,580	3,503	475	1,258	644	1,024	345	320	114	210											
Ohio	835	873	104	237	171	243	239	209	59	76											
Ind.	369	338	133	97	78	101	106	111	25	20											
Ill.	321	1,259	87	665	136	257	-	-	-	78											
Mich.	544	487	74	174	222	295	N	N	N	N											
Wis.	511	546	77	85	37	128	N	N	30	36											
W.N. CENTRAL	1,513	1,431	267	476	217	252	12	11	60	54											
Minn.	361	318	33	60	112	120	-	-	43	38											
Iowa	318	223	54	36	N	N	N	N	N	N											
Mo.	397	529	111	252	44	57	8	7	8	2											
N. Dak.	29	24	2	6	10	12	-	3	2	4											
S. Dak.	69	61	8	9	9	19	4	1	-	-											
Nebr.	100	95	16	67	11	22	-	-	5	5											
Kans.	239	181	43	46	31	22	N	N	2	5											
S. ATLANTIC	5,886	5,592	1,701	4,498	628	706	735	745	34	14											
Del.	51	61	6	152	3	6	4	1	N	N											
Md.	527	473	82	410	131	172	-	10	23	-											
D.C.	28	19	24	43	4	6	4	-	3	5											
Va.	714	572	96	257	56	87	N	N	N	N											
W. Va.	133	79	4	-	17	30	82	53	8	9											
N.C.	737	673	179	596	85	80	N	N	U	U											
S.C.	450	314	204	286	35	35	65	110	N	N											
Ga.	981	1,067	393	869	133	140	166	161	N	N											
Fla.	2,265	2,334	713	1,885	164	150	414	410	N	N											
E.S. CENTRAL	1,306	1,639	384	620	147	143	87	103	1	-											
Ky.	212	252	45	67	51	37	21	13	N	N											
Tenn.	246	465	145	217	96	106	65	90	N	N											
Ala.	375	392	159	200	-	-	-	-	N	N											
Miss.	473	530	35	136	-	-	1	-	1	-											
W.S. CENTRAL	1,816	3,433	1,554	3,822	197	194	36	57	77	75											
Ark.	320	400	48	70	15	6	6	19	7	5											
La.	274	513	170	294	2	1	30	38	12	15											
Okla.	242	256	310	543	46	65	N	N	31	36											
Tex.	980	2,264	1,026	2,915	134	122	N	N	27	19											
MOUNTAIN	1,454	1,280	478	612	360	353	24	4	34	54											
Mont.	100	61	4	2	-	1	-	-	-	-											
Idaho	108	108	9	18	8	15	N	N	N	N											
Wyo.	34	62	3	3	6	2	6	3	-	-											
Colo.	360	313	96	120	91	98	-	-	31	42											
N. Mex.	138	129	69	122	62	86	5	-	-	8											
Ariz.	465	381	246	286	159	127	N	N	N	N											
Utah	144	118	28	30	32	23	11	1	3	4											
Nev.	105	108	23	31	2	1	2	-	-	-											
PACIFIC	3,148	3,107	890	1,512	345	431	75	4	-	-											
Wash.	331	355	73	115	38	41	-	-	N	N											
Oreg.	259	263	41	172	N	N	N	N	N	N											
Calif.	2,299	2,309	741	1,194	245	315	N	N	N	N											
Alaska	41	52	5	5	-	-	-	-	N	N											
Hawaii	218	128	30	26	62	75	75	4	-	-											
Guam	-	28	-	28	-	-	-	-	-	-											
P.R.	126	416	3	16	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


