
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 5, 2000 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2000
Gonorrhea cummulative for 1999
Hepatitis C/NA,NB cummulative for 2000
Hepatitis C/NA,NB cummulative for 1999
Legionellosis cummulative for 2000
Legionellosis cummulative for 1999
Lyme Disease cummulative for 2000
Lyme Disease cummulative for 1999

tab delimited data:
test
UNITED STATES	16,227	35,099	125	301	36	65	70	362													
NEW ENGLAND	680	659	-	1	2	4	24	40													
Maine	6	6	-	-	2	-	-	-													
N.H.	8	5	-	-	-	1	10	-													
Vt.	1	5	-	-	-	1	-	-													
Mass.	284	263	-	1	-	1	14	40													
R.I.	-	62	-	-	-	1	-	-													
Conn.	381	318	-	-	-	-	-	-													
MID. ATLANTIC	525	3,935	-	7	1	14	19	219													
Upstate N.Y.	211	246	-	3	1	1	11	13													
N.Y. City	-	1,814	-	-	-	4	1	12													
N.J.	52	780	-	-	-	3	-	76													
Pa.	262	1,095	-	4	-	6	7	118													
E.N. CENTRAL	3,607	6,387	27	196	10	24	1	14													
Ohio	603	1,664	-	-	8	7	1	5													
Ind.	168	628	-	-	-	1	-	-													
Ill.	920	1,984	1	3	-	3	-	1													
Mich.	1,406	1,495	26	63	2	8	-	1													
Wis.	510	616	-	130	-	5	U	7													
W.N. CENTRAL	690	1,946	18	23	2	3	2	4													
Minn.	160	305	-	-	-	-	1	-													
Iowa	31	32	-	-	1	2	-	1													
Mo.	324	1,196	18	21	1	1	1	1													
N. Dak.	-	7	-	-	-	-	-	1													
S. Dak.	8	23	-	-	-	-	-	-													
Nebr.	79	184	-	1	-	-	-	-													
Kans.	88	199	-	1	-	-	-	1													
S. ATLANTIC	4,962	11,049	3	19	11	8	19	53													
Del.	159	160	-	-	1	1	-	3													
Md.	211	1,916	-	15	7	-	16	42													
D.C.	206	347	-	-	-	-	-	1													
Va.	971	1,274	-	1	-	2	-	-													
W. Va.	-	81	-	1	N	N	-	-													
N.C.	1,558	1,959	3	1	1	2	3	7													
S.C.	574	1,429	-	1	2	1	-	-													
Ga.	556	1,632	-	-	-	-	-	-													
Fla.	727	2,251	-	-	-	2	-	-													
E.S. CENTRAL	2,239	3,038	32	13	1	4	-	8													
Ky.	274	332	3	-	-	2	-	-													
Tenn.	1,001	1,121	8	9	-	2	-	2													
Ala.	562	1,276	3	1	1	-	-	3													
Miss.	402	309	18	3	-	-	-	3													
W.S. CENTRAL	1,631	4,732	12	2	-	-	-	-													
Ark.	187	280	-	-	-	-	-	-													
La.	-	859	-	-	-	-	-	-													
Okla.	356	516	-	1	-	-	-	-													
Tex.	1,088	3,077	12	1	-	-	-	-													
MOUNTAIN	740	985	19	24	4	4	1	-													
Mont.	-	1	-	-	-	-	-	-													
Idaho	4	10	-	3	1	-	-	-													
Wyo.	4	2	9	11	-	-	-	-													
Colo.	342	175	4	1	2	1	-	-													
N. Mex.	8	116	3	6	-	1	-	-													
Ariz.	285	537	3	2	-	-	1	-													
Utah	45	16	-	1	1	2	-	-													
Nev.	52	128	-	-	-	-	-	-													
PACIFIC	1,153	2,368	14	16	5	4	4	24													
Wash.	238	210	2	1	1	-	-	-													
Oreg.	47	86	4	1	N	N	1	-													
Calif.	846	1,973	8	14	4	4	3	24													
Alaska	22	40	-	-	-	-	-	-													
Hawaii	-	59	-	-	-	-	N	N													
Guam	-	11	-	-	-	-	-	-													
P.R.	28	29	-	-	-	-	N	N													
V.I.	-	U	-	U	-	U	-	U													
Amer. Samoa	-	U	-	U	-	U	-	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


