
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 25, 2006 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	39	105	160	369	792	54	34	98	220	89	239	858	1,449	3,305	3,463						
NEW ENGLAND	5	13	33	50	87	-	0	1	-	-	1	41	76	160	152						
Conn.	2	3	13	13	14	-	0	0	-	-	-	9	41	41	29						
Maine	-	1	4	6	5	N	0	0	N	N	-	3	8	2	12						
Mass.	3	5	22	25	59	-	0	1	-	-	-	21	40	102	93						
N.H.	-	0	3	1	2	-	0	1	-	-	-	2	12	8	9						
R.I.	-	0	4	1	-	-	0	1	-	-	1	0	15	5	-						
Vt.	-	1	7	4	7	-	0	0	-	-	-	1	10	2	9						
MID. ATLANTIC	7	18	40	73	80	-	2	8	1	5	30	94	195	317	410						
N.J.	N	0	0	N	N	-	0	6	-	1	-	16	45	2	83						
N.Y. (Upstate)	7	12	24	52	32	-	0	2	-	-	23	21	159	77	72						
N.Y. City	-	0	3	-	4	-	0	2	1	1	2	24	43	94	127						
Pa.	-	7	22	21	44	-	1	6	-	3	5	31	61	144	128						
E.N. CENTRAL	-	3	19	2	6	-	0	6	1	2	49	93	243	370	414						
Ill.	-	1	4	-	1	-	0	3	-	1	-	29	160	28	119						
Ind.	-	0	3	-	1	-	0	1	-	-	23	10	71	53	18						
Mich.	-	0	4	1	2	-	0	1	-	-	5	17	35	77	88						
Ohio	-	0	13	1	2	-	0	3	1	1	21	23	52	152	98						
Wis.	N	0	3	N	N	-	0	1	-	-	-	15	45	60	91						
W.N. CENTRAL	-	7	23	15	34	-	2	16	4	3	18	43	91	229	215						
Iowa	-	1	10	3	7	-	0	2	-	-	-	7	18	34	48						
Kans.	-	1	5	3	6	-	0	2	-	-	4	7	17	35	21						
Minn.	-	1	5	1	11	-	0	1	-	-	3	10	31	49	42						
Mo.	-	1	7	1	4	-	1	14	4	3	10	14	40	83	61						
Nebr.	-	0	0	-	-	-	0	2	-	-	1	2	8	14	20						
N. Dak.	-	0	4	2	1	-	0	0	-	-	-	0	5	-	3						
S. Dak.	-	1	6	5	5	-	0	2	-	-	-	2	11	14	20						
S. ATLANTIC	26	31	54	177	433	54	16	94	211	64	69	255	511	1,022	959						
Del.	-	0	0	-	-	-	0	2	1	-	-	2	9	11	7						
D.C.	-	0	0	-	-	-	0	1	-	-	2	1	7	9	2						
Fla.	3	0	14	24	201	3	0	1	5	2	40	99	230	462	382						
Ga.	-	5	15	16	40	-	1	9	14	1	4	32	76	173	123						
Md.	5	6	16	30	43	1	2	7	6	1	6	14	39	73	74						
N.C.	3	8	19	26	61	50	5	87	183	57	14	30	114	236	212						
S.C.	-	0	1	-	4	-	1	6	2	3	1	21	146	32	78						
Va.	14	10	26	71	82	-	1	10	-	-	-	19	66	19	72						
W. Va.	1	0	13	10	2	-	0	2	-	-	2	2	13	7	9						
E.S. CENTRAL	1	3	9	26	16	-	5	24	1	2	9	55	134	198	206						
Ala.	1	1	5	9	14	-	0	9	-	-	-	13	39	87	65						
Ky.	-	0	3	-	-	-	0	1	-	-	-	7	26	30	24						
Miss.	-	0	1	-	-	-	0	3	-	-	-	13	66	23	27						
Tenn.	-	1	5	17	2	-	3	18	1	2	9	15	40	58	90						
W.S. CENTRAL	-	13	42	8	100	-	2	32	2	1	25	80	159	308	265						
Ark.	-	0	3	1	7	-	0	32	2	-	17	12	67	67	33						
La.	-	0	0	-	-	-	0	2	-	1	-	15	42	24	65						
Okla.	-	1	7	7	10	-	0	23	-	-	4	7	26	35	31						
Tex.	-	12	39	-	83	-	0	7	-	-	4	43	121	182	136						
MOUNTAIN	-	4	19	12	29	-	0	4	-	10	12	50	112	215	221						
Ariz.	-	2	11	12	25	-	0	4	-	8	1	13	28	46	76						
Colo.	-	0	2	-	-	-	0	1	-	-	8	10	45	75	58						
Idaho	-	0	12	-	-	-	0	2	-	-	-	2	17	11	14						
Mont.	-	0	3	-	-	-	0	1	-	-	-	2	16	13	12						
Nev.	-	0	2	-	-	-	0	0	-	-	-	3	8	16	22						
N. Mex.	-	0	1	-	1	-	0	1	-	-	-	5	14	12	16						
Utah	-	0	5	-	-	-	0	1	-	2	3	6	31	33	17						
Wyo.	-	0	2	-	3	-	0	1	-	-	-	1	12	9	6						
PACIFIC	-	4	15	6	7	-	0	2	-	2	26	101	397	486	621						
Alaska	-	0	3	2	1	-	0	0	-	-	2	1	5	14	9						
Calif.	-	3	15	4	6	-	0	1	-	2	24	77	282	399	483						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	5	15	31	61						
Oreg.	-	0	1	-	-	-	0	1	-	-	-	7	23	28	33						
Wash.	U	0	0	U	U	N	0	0	N	N	-	8	107	14	35						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	2	U	1						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	1	4	11	12	N	0	0	N	N	-	8	23	5	49						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


