
TABLE IV.  Provisional cases of selected notifiable diseases, United States,  quarter ending December 29, 2007 (52 WEEK)

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS * current quarter
AIDS * previous 4 quarters median 
AIDS * previous 4 quarters maximum 
AIDS * cummulative for 2008
AIDS * cummulative for 2007
HIV/AIDS * current quarter
HIV/AIDS * previous 4 quarters median 
HIV/AIDS * previous 4 quarters maximum 
HIV/AIDS * cummulative for 2008
HIV/AIDS * cummulative for 2007
Tuberculosis current quarter
Tuberculosis previous 4 quarters median 
Tuberculosis previous 4 quarters maximum 
Tuberculosis cummulative for 2008
Tuberculosis cummulative for 2007

tab delimited data:
test
UNITED STATES	-	-	-	-	-	-	-	-	-	-	2,060	2,060	2,940	10,363	13,303						
NEW ENGLAND	-	-	-	-	-	-	-	-	-	-	12	12	54	128	261						
Conn.	-	-	-	-	-	-	-	-	-	-	7	7	28	75	89						
Maine	-	-	-	-	-	-	-	-	-	-	4	3	7	18	16						
Mass.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	104						
N.H.	-	-	-	-	-	-	-	-	-	-	-	-	3	4	17						
R.I.	-	-	-	-	-	-	-	-	-	-	-	-	19	28	26						
Vt.	-	-	-	-	-	-	-	-	-	-	1	-	1	3	9						
MID. ATLANTIC	-	-	-	-	-	-	-	-	-	-	452	387	536	1,876	2,114						
N.J.	-	-	-	-	-	-	-	-	-	-	98	80	124	415	508						
N.Y. (Upstate)	-	-	-	-	-	-	-	-	-	-	62	47	68	225	316						
N.Y. City	-	-	-	-	-	-	-	-	-	-	214	213	269	958	953						
Pa.	-	-	-	-	-	-	-	-	-	-	78	46	82	278	337						
E.N. CENTRAL	-	-	-	-	-	-	-	-	-	-	234	232	295	1,017	1,224						
Ill.	-	-	-	-	-	-	-	-	-	-	116	116	137	503	569						
Ind.	-	-	-	-	-	-	-	-	-	-	-	-	7	7	125						
Mich.	-	-	-	-	-	-	-	-	-	-	26	26	74	173	221						
Ohio	-	-	-	-	-	-	-	-	-	-	65	52	66	246	239						
Wis.	-	-	-	-	-	-	-	-	-	-	27	14	29	88	70						
W.N. CENTRAL	-	-	-	-	-	-	-	-	-	-	103	99	131	456	502						
Iowa	-	-	-	-	-	-	-	-	-	-	1	1	12	29	40						
Kans.	-	-	-	-	-	-	-	-	-	-	4	4	19	53	91						
Minn.	-	-	-	-	-	-	-	-	-	-	58	45	67	223	217						
Mo.	-	-	-	-	-	-	-	-	-	-	32	26	32	114	106						
Nebr.	-	-	-	-	-	-	-	-	-	-	5	-	12	24	25						
N. Dak.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9						
S. Dak.	-	-	-	-	-	-	-	-	-	-	3	2	6	13	14						
S. ATLANTIC	-	-	-	-	-	-	-	-	-	-	479	479	654	2,323	2,755						
Del.	-	-	-	-	-	-	-	-	-	-	-	-	6	10	30						
D.C.	-	-	-	-	-	-	-	-	-	-	-	-	11	12	67						
Fla.	-	-	-	-	-	-	-	-	-	-	159	159	275	837	1,038						
Ga.	-	-	-	-	-	-	-	-	-	-	42	42	251	542	503						
Md.	-	-	-	-	-	-	-	-	-	-	67	56	77	262	168						
N.C.	-	-	-	-	-	-	-	-	-	-	117	61	117	338	374						
S.C.	-	-	-	-	-	-	-	-	-	-	-	-	16	28	222						
Va.	-	-	-	-	-	-	-	-	-	-	88	37	88	272	332						
W. Va.	-	-	-	-	-	-	-	-	-	-	6	4	6	22	21						
E.S. CENTRAL	-	-	-	-	-	-	-	-	-	-	165	112	175	603	672						
Ala.	-	-	-	-	-	-	-	-	-	-	42	35	48	166	196						
Ky.	-	-	-	-	-	-	-	-	-	-	25	17	36	103	84						
Miss.	-	-	-	-	-	-	-	-	-	-	29	22	42	119	113						
Tenn.	-	-	-	-	-	-	-	-	-	-	69	32	69	215	279						
W.S. CENTRAL	-	-	-	-	-	-	-	-	-	-	212	212	459	1,495	1,831						
Ark.	-	-	-	-	-	-	-	-	-	-	19	19	33	94	102						
La.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Okla.	-	-	-	-	-	-	-	-	-	-	22	22	44	145	144						
Tex.	-	-	-	-	-	-	-	-	-	-	171	171	387	1,256	1,585						
MOUNTAIN	-	-	-	-	-	-	-	-	-	-	110	71	110	369	636						
Ariz.	-	-	-	-	-	-	-	-	-	-	80	23	80	238	314						
Colo.	-	-	-	-	-	-	-	-	-	-	9	-	17	31	124						
Idaho	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Mont.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12						
Nev.	-	-	-	-	-	-	-	-	-	-	-	-	16	16	101						
N. Mex.	-	-	-	-	-	-	-	-	-	-	14	4	16	48	48						
Utah	-	-	-	-	-	-	-	-	-	-	7	6	14	36	34						
Wyo.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3						
PACIFIC	-	-	-	-	-	-	-	-	-	-	293	293	696	2,096	3,308						
Alaska	-	-	-	-	-	-	-	-	-	-	11	9	15	46	70						
Calif.	-	-	-	-	-	-	-	-	-	-	269	269	623	1,840	2,779						
Hawaii	-	-	-	-	-	-	-	-	-	-	13	-	13	13	115						
Oreg.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	81						
Wash.	-	-	-	-	-	-	-	-	-	-	-	-	70	197	263						
Amer. Samoa	-	-	-	-	-	-	-	-	-	-	-	-	3	3	2						
C.N.M.I.	-	-	-	-	U	-	-	-	-	-	-	-	-	-	U						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54						
P.R.	-	-	-	-	-	-	-	-	-	-	6	6	29	69	112						
V.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Min: Minimum.
Max: Maximum.

* AIDS and HIV/AIDS data are not updated for this quarter because of upgrading of 
the national HIV/AIDS surveillance data management system.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


