
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 16, 1999 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 1999
Legionellosis cummulative for 1998
Lyme Disease cummulative for 1999
Lyme Disease cummulative for 1998
Malaria cummulative for 1999
Malaria cummulative for 1998
Syphilis (Primary and Secondary) cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 1998
Tuberculosis cummulative for 1999
Tuberculosis cummulative for 1998
Rabies, Animal cummulative for 1999
Rabies, Animal cummulative for 1998

tab delimited data:
test
UNITED STATES	14	40	23	102	20	39	126	293	134	233	75										
NEW ENGLAND	-	-	-	4	-	-	-	3	7	2	16										
Maine	-	-	-	-	-	-	-	-	-	-	1										
N.H.	-	-	-	-	-	-	-	1	-	-	-										
Vt.	-	-	-	-	-	-	-	-	-	-	4										
Mass.	-	-	-	4	-	-	-	2	-	-	-										
R.I.	-	-	-	-	-	-	-	-	3	-	4										
Conn.	-	-	-	-	-	-	-	-	4	2	7										
MID. ATLANTIC	2	3	2	68	1	9	3	7	3	3	19										
Upstate N.Y.	-	-	-	5	1	1	-	-	-	-	7										
N.Y. City	-	1	-	1	-	6	3	-	3	3	U										
N.J.	-	-	-	15	-	-	-	5	-	-	9										
Pa.	2	2	2	47	-	2	-	2	-	-	3										
E.N. CENTRAL	6	22	3	3	-	9	21	45	15	29	-										
Ohio	3	9	3	2	-	1	4	11	-	5	-										
Ind.	-	5	-	-	-	1	9	9	4	11	-										
Ill.	-	5	-	-	-	4	8	U	11	12	-										
Mich.	3	3	-	1	-	2	-	-	-	-	-										
Wis.	-	-	U	U	-	1	-	7	-	1	-										
W.N. CENTRAL	-	2	-	1	-	3	-	4	2	1	5										
Minn.	-	-	-	-	-	-	-	-	2	1	3										
Iowa	-	-	-	1	-	-	-	-	-	-	1										
Mo.	-	-	-	-	-	3	-	2	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	2	-	-	-	-	-	-	-	-	-										
Kans.	-	-	-	-	-	-	-	2	-	-	1										
S. ATLANTIC	2	5	15	17	7	5	53	122	7	35	35										
Del.	1	1	-	-	-	-	-	-	-	-	-										
Md.	-	3	12	16	2	5	3	30	-	-	9										
D.C.	-	1	-	1	4	-	-	1	-	5	-										
Va.	-	-	-	-	-	-	4	10	-	-	5										
W. Va.	N	N	-	-	-	-	-	-	-	3	-										
N.C.	1	-	3	-	-	-	30	27	-	8	11										
S.C.	-	-	-	-	-	-	9	18	7	19	-										
Ga.	-	-	-	-	-	-	-	22	-	-	-										
Fla.	-	-	-	-	1	-	7	14	-	-	10										
E.S. CENTRAL	-	2	2	3	-	1	34	38	-	19	-										
Ky.	-	2	-	-	-	-	-	7	-	4	-										
Tenn.	-	-	-	3	-	-	11	18	-	6	-										
Ala.	-	-	2	-	-	-	23	7	-	6	-										
Miss.	-	-	-	-	-	1	-	6	-	3	-										
W.S. CENTRAL	-	-	-	-	-	-	14	45	3	51	-										
Ark.	-	-	-	-	-	-	1	8	-	-	-										
La.	-	-	-	-	-	-	9	18	-	-	-										
Okla.	-	-	-	-	-	-	4	1	3	2	-										
Tex.	-	-	-	-	-	-	-	18	-	49	-										
MOUNTAIN	-	2	-	-	1	2	-	3	2	16	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	-	-	-	-	-	-	-	-	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	1	-	-	-	1	-	-	-	2	-										
N. Mex.	-	-	-	-	-	1	-	-	-	-	-										
Ariz.	-	-	-	-	1	-	-	-	-	3	-										
Utah	-	1	-	-	-	-	-	2	2	-	-										
Nev.	-	-	-	-	-	-	-	1	-	11	-										
PACIFIC	4	4	1	6	11	10	1	26	95	77	-										
Wash.	-	-	-	-	-	-	-	-	2	2	-										
Oreg.	-	-	-	-	-	2	-	1	-	-	-										
Calif.	4	4	1	6	11	8	1	25	84	74	-										
Alaska	-	-	-	-	-	-	-	-	-	1	-										
Hawaii	-	-	-	-	-	-	-	-	9	-	-										
Guam	-	-	-	-	-	-	-	-	-	4	-										
P.R.	-	-	-	-	-	-	4	9	-	-	1										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	-	-	-	-	-	1	-	2	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


