
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending October 6, 2007 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	38	96	261	3,929	4,263	12	31	108	1,154	998											
NEW ENGLAND	2	6	28	310	281	-	2	11	77	88											
Conn.	-	0	23	96	76	-	0	6	-	26											
Maine	-	0	3	22	15	-	0	1	2	-											
Mass.	-	3	12	141	140	-	2	6	58	51											
N.H.	-	0	4	31	33	-	0	2	7	7											
R.I.	1	0	12	4	5	-	0	2	8	4											
Vt.	1	0	2	16	12	-	0	1	2	-											
MID. ATLANTIC	-	17	41	732	768	-	5	27	186	138											
N.J.	-	3	10	107	124	-	1	4	25	51											
N.Y. (Upstate)	-	5	27	242	247	-	2	15	78	69											
N.Y. City	-	4	13	172	138	-	1	25	83	18											
Pa.	-	5	11	211	259	N	0	0	N	N											
E.N. CENTRAL	1	17	32	672	819	-	5	14	180	264											
Ill.	-	4	13	179	250	-	1	6	47	66											
Ind.	1	2	17	109	98	-	0	10	16	46											
Mich.	-	4	10	164	171	-	1	4	59	62											
Ohio	-	4	14	192	206	-	1	7	49	51											
Wis.	-	0	6	28	94	-	0	2	9	39											
W.N. CENTRAL	8	5	32	274	289	2	2	8	86	81											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	28	47	-	0	1	1	11											
Minn.	6	0	29	137	136	2	1	6	58	49											
Mo.	-	2	6	67	61	-	0	2	16	11											
Nebr.	2	0	3	23	25	-	0	2	10	7											
N. Dak.	-	0	2	12	10	-	0	2	1	3											
S. Dak.	-	0	2	7	10	-	0	0	-	-											
S. ATLANTIC	14	22	52	1,004	960	2	4	14	221	62											
Del.	-	0	1	9	10	-	0	0	-	-											
D.C.	-	0	3	8	13	-	0	1	-	1											
Fla.	7	6	16	248	233	1	1	5	53	-											
Ga.	3	5	13	195	199	-	0	5	44	-											
Md.	3	4	10	174	179	-	1	6	49	51											
N.C.	1	1	22	141	138	-	0	0	-	-											
S.C.	-	1	7	82	54	1	0	4	37	-											
Va.	-	2	11	124	109	-	0	4	31	-											
W. Va.	-	0	3	23	25	-	0	4	7	10											
E.S. CENTRAL	1	4	13	170	170	-	1	6	73	16											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	3	33	39	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	16											
Tenn.	-	3	13	137	131	-	1	6	70	-											
W.S. CENTRAL	2	6	90	252	323	3	4	43	170	170											
Ark.	-	0	2	17	23	-	0	2	10	18											
La.	-	0	4	16	16	-	0	4	27	19											
Okla.	-	1	23	60	81	2	1	13	40	38											
Tex.	2	3	64	159	203	1	1	27	93	95											
MOUNTAIN	8	9	21	402	562	3	3	9	135	159											
Ariz.	4	3	11	132	291	1	2	7	73	89											
Colo.	1	3	9	127	98	2	1	4	36	41											
Idaho	-	0	2	15	8	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	2	1	5	48	108	-	0	4	19	26											
Utah	1	2	7	73	54	-	0	2	4	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	2	3	9	113	91	2	0	4	26	20											
Alaska	2	0	3	32	N	2	0	2	24	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	81	91	-	0	2	2	20											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


