
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 27, 2007 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	70	257	488	327	957	46	112	231	127	367	1	31	118	11	143						
NEW ENGLAND	2	21	53	5	130	7	12	26	28	28	-	0	1	-	-						
Conn.	-	1	9	-	9	4	4	14	19	5	-	0	0	-	-						
Maine	2	1	12	5	9	-	2	8	2	4	N	0	0	N	N						
Mass.	-	11	28	-	103	-	3	17	-	13	-	0	1	-	-						
N.H.	-	2	27	-	-	1	1	5	4	1	-	0	1	-	-						
R.I.	-	0	11	-	-	-	0	3	1	1	-	0	1	-	-						
Vt.	-	1	14	-	9	2	1	5	2	4	-	0	0	-	-						
MID. ATLANTIC	35	36	126	109	96	3	17	57	8	34	-	1	6	2	2						
N.J.	-	4	13	1	34	-	0	0	-	-	-	0	1	-	-						
N.Y. (Upstate)	30	18	121	80	8	-	0	0	-	-	-	0	2	-	-						
N.Y. City	-	1	8	-	5	3	1	5	8	-	-	0	3	-	-						
Pa.	5	12	26	28	49	-	16	56	-	34	-	1	4	2	2						
E.N. CENTRAL	4	41	77	69	182	-	2	18	-	1	-	1	6	1	1						
Ill.	-	8	17	-	62	-	0	7	-	-	-	0	2	-	1						
Ind.	-	4	23	-	-	-	0	2	-	-	-	0	1	-	-						
Mich.	4	12	39	12	19	-	0	5	-	1	-	0	1	1	-						
Ohio	-	12	25	57	70	-	0	9	-	-	-	0	4	-	-						
Wis.	-	3	9	-	31	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	2	21	71	30	161	6	6	20	8	9	-	2	14	3	-						
Iowa	-	5	15	6	51	1	1	7	1	2	-	0	1	-	-						
Kans.	2	5	16	18	50	3	1	5	4	2	-	0	1	1	-						
Minn.	-	0	56	-	-	2	0	6	2	-	-	0	2	-	-						
Mo.	-	5	14	5	45	-	1	6	1	-	-	2	12	2	-						
Nebr.	-	1	9	1	15	-	0	0	-	-	-	0	5	-	-						
N. Dak.	-	0	9	-	-	-	0	7	-	-	-	0	0	-	-						
