
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 25, 2007 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	51	93	261	3,538	3,873	8	30	110	1,055	879											
NEW ENGLAND	-	6	27	287	254	-	3	11	76	72											
Conn.	-	0	23	91	68	-	0	6	-	23											
Maine	-	0	3	21	15	-	0	1	1	-											
Mass.	-	3	12	131	128	-	2	6	58	42											
N.H.	-	0	4	29	29	-	0	2	7	6											
R.I.	-	0	12	-	5	-	0	3	8	1											
Vt.	-	0	2	15	9	-	0	1	2	-											
MID. ATLANTIC	5	16	41	669	719	-	5	27	171	125											
N.J.	-	2	9	89	121	-	1	4	21	46											
N.Y. (Upstate)	3	5	27	225	233	-	2	15	76	65											
N.Y. City	-	4	13	157	131	-	1	25	74	14											
Pa.	2	5	11	198	234	N	0	0	N	N											
E.N. CENTRAL	5	16	32	617	760	-	5	14	161	235											
Ill.	-	4	13	158	230	-	1	6	38	62											
Ind.	1	2	17	100	90	-	0	10	15	42											
Mich.	-	4	10	152	160	-	1	4	55	54											
Ohio	4	3	14	179	194	-	1	7	44	46											
Wis.	-	1	6	28	86	-	0	2	9	31											
W.N. CENTRAL	9	5	32	241	250	1	2	8	74	72											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	0	3	28	45	1	0	1	2	11											
Minn.	8	0	29	124	116	-	1	6	51	42											
Mo.	-	2	6	53	51	-	0	2	13	11											
Nebr.	-	0	3	18	22	-	0	2	7	5											
N. Dak.	-	0	2	11	8	-	0	2	1	3											
S. Dak.	-	0	2	7	8	-	0	0	-	-											
S. ATLANTIC	17	21	52	889	855	3	3	14	194	59											
Del.	-	0	2	7	9	-	0	0	-	-											
D.C.	-	0	3	8	9	-	0	1	-	1											
Fla.	6	6	16	213	203	1	0	5	42	-											
Ga.	4	5	13	169	179	-	0	5	44	-											
Md.	3	4	10	160	159	-	1	6	46	48											
N.C.	2	0	22	128	126	-	0	0	-	-											
S.C.	-	1	7	74	53	2	0	3	27	-											
Va.	1	2	11	109	96	-	0	4	28	-											
W. Va.	1	0	3	21	21	-	0	4	7	10											
E.S. CENTRAL	2	4	13	161	158	-	1	6	62	15											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	32	38	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	15											
Tenn.	2	3	13	129	120	-	0	6	59	-											
W.S. CENTRAL	7	6	90	231	292	2	4	45	152	147											
Ark.	-	0	2	17	23	-	0	2	7	18											
La.	-	0	4	16	13	-	0	4	24	17											
Okla.	3	1	23	56	74	-	1	15	37	31											
Tex.	4	3	64	142	182	2	1	27	84	81											
MOUNTAIN	5	9	20	349	511	2	4	12	141	139											
Ariz.	2	3	11	107	266	2	2	7	84	78											
Colo.	-	3	9	115	89	-	1	4	32	36											
Idaho	1	0	2	11	7	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	1	1	5	37	96	-	0	4	18	22											
Utah	1	2	7	72	50	-	0	2	4	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	1	3	9	94	74	-	1	4	24	15											
Alaska	1	0	3	26	N	-	0	2	22	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	68	74	-	0	2	2	15											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


