
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending February 5, 2005 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	154	225	-	3	5	7	13	27													
NEW ENGLAND	11	25	-	-	1	2	2	1													
Maine	-	1	-	-	-	-	-	-													
N.H.	-	6	-	-	-	1	-	-													
Vt.	4	1	-	-	-	-	2	-													
Mass.	3	10	-	-	-	-	-	1													
R.I.	-	1	-	-	-	-	-	-													
Conn.	4	6	-	-	1	1	-	-													
MID. ATLANTIC	36	46	-	-	-	-	2	7													
Upstate N.Y.	10	11	-	-	-	-	-	1													
N.Y. City	5	9	-	-	-	-	-	3													
N.J.	6	9	-	-	-	-	-	1													
Pa.	15	17	-	-	-	-	2	2													
E.N. CENTRAL	25	47	-	-	-	1	2	11													
Ohio	19	16	-	-	-	-	2	3													
Ind.	3	1	-	-	-	-	-	1													
Ill.	-	15	-	-	-	-	-	4													
Mich.	3	5	-	-	-	1	-	2													
Wis.	-	10	-	-	-	-	-	1													
W.N. CENTRAL	5	7	-	-	-	-	1	1													
Minn.	-	-	-	-	-	-	-	-													
Iowa	-	-	-	-	-	-	-	-													
Mo.	5	3	-	-	-	-	1	1													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	-	4	-	-	-	-	-	-													
Kans.	-	-	-	-	-	-	-	-													
S. ATLANTIC	50	48	-	-	1	-	3	2													
Del.	-	-	-	-	-	-	-	-													
Md.	9	16	-	-	1	-	1	-													
D.C.	-	-	-	-	-	-	-	-													
Va.	-	6	-	-	-	-	-	-													
W. Va.	-	1	-	-	-	-	-	-													
N.C.	13	1	-	-	-	-	-	-													
S.C.	1	-	-	-	-	-	-	-													
Ga.	13	14	-	-	-	-	2	2													
Fla.	14	10	-	-	-	-	-	-													
E.S. CENTRAL	4	10	-	-	-	-	-	1													
Ky.	-	-	-	-	-	-	-	-													
Tenn.	3	4	-	-	-	-	-	-													
Ala.	1	6	-	-	-	-	-	1													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	5	6	-	-	-	1	1	-													
Ark.	-	-	-	-	-	-	-	-													
La.	2	3	-	-	-	-	1	-													
Okla.	3	3	-	-	-	1	-	-													
Tex.	-	-	-	-	-	-	-	-													
MOUNTAIN	13	28	-	1	3	3	1	2													
Mont.	-	-	-	-	-	-	-	-													
Idaho	1	1	-	-	-	-	-	-													
Wyo.	1	-	-	-	-	-	-	-													
Colo.	2	10	-	-	-	-	-	1													
N. Mex.	1	8	-	-	-	1	-	1													
Ariz.	4	5	-	-	1	1	1	-													
Utah	1	1	-	1	-	-	-	-													
Nev.	3	3	-	-	2	1	-	-													
PACIFIC	5	8	-	2	-	-	1	2													
Wash.	-	3	-	2	-	-	-	1													
Oreg.	3	3	-	-	-	-	1	-													
Calif.	-	2	-	-	-	-	-	1													
Alaska	1	-	-	-	-	-	-	-													
Hawaii	1	-	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


