
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 20, 2002 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	90	25	1	5	1	-	6,926	7,759													
NEW ENGLAND	-	-	-	-	-	-	414	543													
Maine	-	-	-	-	-	-	49	47													
N.H.	-	-	-	-	-	-	20	37													
Vt.	-	-	-	-	-	-	17	20													
Mass.	-	-	-	-	-	-	220	327													
R.I.	-	-	-	-	-	-	16	23													
Conn.	-	-	-	-	-	-	92	89													
MID. ATLANTIC	7	1	-	3	-	-	834	1,205													
Upstate N.Y.	2	-	-	1	-	-	274	205													
N.Y. City	-	-	-	2	-	-	311	256													
N.J.	-	-	-	-	-	-	80	445													
Pa.	5	1	-	-	-	-	169	299													
E.N. CENTRAL	3	2	-	1	-	-	1,144	1,056													
Ohio	3	-	-	-	-	-	357	344													
Ind.	-	1	-	-	-	-	78	78													
Ill.	-	1	-	1	-	-	342	272													
Mich.	-	-	-	-	-	-	239	181													
Wis.	-	-	-	-	-	-	128	181													
W.N. CENTRAL	10	5	-	-	-	-	529	442													
Minn.	-	-	-	-	-	-	123	144													
Iowa	-	-	-	-	-	-	82	67													
Mo.	10	5	-	-	-	-	225	110													
N. Dak.	-	-	-	-	-	-	9	1													
S. Dak.	-	-	-	-	-	-	24	25													
Nebr.	-	-	-	-	-	-	-	36													
Kans.	-	-	-	-	-	-	66	59													
S. ATLANTIC	62	13	1	-	-	-	1,874	1,799													
Del.	-	-	-	-	-	-	11	21													
Md.	7	2	1	-	-	-	160	163													
D.C.	-	-	-	-	-	-	25	22													
Va.	1	-	-	-	-	-	187	259													
W. Va.	-	-	-	-	-	-	18	13													
N.C.	38	7	-	-	-	-	252	294													
S.C.	6	1	-	-	-	-	102	200													
Ga.	9	-	-	-	-	-	510	417													
Fla.	1	3	-	-	-	-	609	410													
E.S. CENTRAL	7	3	-	-	1	-	398	392													
Ky.	-	-	-	-	-	-	70	69													
Tenn.	5	2	-	-	1	-	120	98													
Ala.	2	1	-	-	-	-	130	145													
Miss.	-	-	-	-	-	-	78	80													
W.S. CENTRAL	-	-	-	-	-	-	147	808													
Ark.	-	-	-	-	-	-	49	62													
La.	-	-	-	-	-	-	28	175													
Okla.	-	-	-	-	-	-	68	40													
Tex.	-	-	-	-	-	-	2	531													
MOUNTAIN	1	1	-	-	-	-	467	463													
Mont.	-	-	-	-	-	-	19	16													
Idaho	-	1	-	-	-	-	30	20													
Wyo.	-	-	-	-	-	-	11	22													
Colo.	-	-	-	-	-	-	129	131													
N. Mex.	-	-	-	-	-	-	67	57													
Ariz.	-	-	-	-	-	-	120	138													
Utah	-	-	-	-	-	-	41	50													
Nev.	1	-	-	-	-	-	50	29													
PACIFIC	-	-	-	1	-	-	1,119	1,051													
Wash.	-	-	-	-	-	-	67	102													
Oreg.	-	-	-	-	-	-	84	35													
Calif.	-	-	-	-	-	-	887	810													
Alaska	-	-	-	-	-	-	17	14													
Hawaii	-	-	-	1	-	-	64	90													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	42	221													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	7	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


