
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending September 10, 2005 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,484	1,412	3	9	81	80	145	135													
NEW ENGLAND	120	126	-	1	10	8	5	1													
Maine	6	10	-	-	-	-	1	-													
N.H.	6	14	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	56	62	-	1	3	3	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	39	32	-	-	5	3	1	-													
MID. ATLANTIC	293	287	-	1	-	4	37	32													
Upstate N.Y.	85	98	-	1	-	4	8	5													
N.Y. City	53	65	-	-	-	-	10	12													
N.J.	55	53	-	-	-	-	9	2													
Pa.	100	71	-	-	-	-	10	13													
E.N. CENTRAL	214	268	1	-	3	8	15	41													
Ohio	91	78	-	-	-	2	9	14													
Ind.	52	38	-	-	3	4	-	1													
Ill.	35	94	-	-	-	-	3	20													
Mich.	15	17	1	-	-	2	2	4													
Wis.	21	41	-	-	-	-	1	2													
W.N. CENTRAL	81	77	-	2	3	3	9	8													
Minn.	36	34	-	1	3	3	2	-													
Iowa	1	1	-	1	-	-	-	-													
Mo.	28	29	-	-	-	-	5	6													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	7	4	-	-	-	-	1	1													
Kans.	8	6	-	-	-	-	-	1													
S. ATLANTIC	356	323	1	-	22	21	20	22													
Del.	-	-	-	-	-	-	-	-													
Md.	52	50	-	-	5	5	-	-													
D.C.	-	2	-	-	-	-	-	1													
Va.	34	30	-	-	-	-	1	3													
W. Va.	22	15	-	-	1	4	4	-													
N.C.	63	44	1	-	7	5	-	1													
S.C.	20	10	-	-	-	-	1	1													
Ga.	71	89	-	-	-	-	10	16													
Fla.	94	83	-	-	9	7	4	-													
E.S. CENTRAL	85	57	-	1	1	-	14	7													
Ky.	8	5	-	-	1	-	2	-													
Tenn.	59	38	-	-	-	-	8	5													
Ala.	18	12	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	84	55	1	1	7	6	6	1													
Ark.	4	1	-	-	1	-	-	-													
La.	28	10	1	-	2	-	6	1													
Okla.	51	43	-	-	4	6	-	-													
Tex.	1	1	-	1	-	-	-	-													
MOUNTAIN	167	148	-	3	13	20	29	17													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	4	-	-	-	-	-	1	-													
Colo.	34	36	-	-	-	-	9	4													
N. Mex.	16	31	-	-	4	6	2	6													
Ariz.	84	53	-	-	7	9	8	2													
Utah	13	12	-	2	-	2	6	2													
Nev.	13	11	-	1	2	3	2	1													
PACIFIC	84	71	-	-	22	10	10	6													
Wash.	3	1	-	-	-	-	2	1													
Oreg.	29	32	-	-	-	-	5	2													
Calif.	39	25	-	-	22	10	2	1													
Alaska	5	5	-	-	-	-	1	1													
Hawaii	8	8	-	-	-	-	-	1													
Guam	-	-	-	-	-	-	-	-													
P.R.	3	2	-	-	-	-	1	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


