
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending May 19, 2007 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	64	254	1,373	2,416	5,321	50	94	199	1,312	1,991	5	29	114	226	424						
NEW ENGLAND	-	38	77	81	855	11	11	25	185	187	-	0	8	-	4						
Conn.	-	2	10	17	26	4	4	14	61	49	-	0	0	-	-						
Maine	-	2	15	32	23	-	2	8	29	31	N	0	0	N	N						
Mass.	-	28	45	-	642	-	0	7	-	79	-	0	1	-	4						
N.H.	-	2	21	16	78	1	1	5	14	-	-	0	1	-	-						
R.I.	-	0	30	-	21	-	0	3	15	6	-	0	8	-	-						
Vt.	-	1	9	16	65	6	2	10	66	22	-	0	0	-	-						
MID. ATLANTIC	11	34	160	424	664	-	14	57	121	300	-	1	6	15	24						
N.J.	-	3	12	46	136	-	0	0	-	-	-	0	2	-	7						
N.Y. (Upstate)	9	19	150	258	226	-	0	0	-	-	-	0	2	-	-						
N.Y. City	-	1	6	-	29	-	1	5	24	3	-	0	3	4	4						
Pa.	2	9	22	120	273	-	13	56	97	297	-	1	4	11	13						
E.N. CENTRAL	19	41	79	554	755	7	1	18	29	22	-	1	6	6	6						
Ill.	-	9	23	62	192	-	0	7	3	5	-	0	4	1	2						
Ind.	-	2	39	11	61	1	0	2	3	2	-	0	1	1	1						
Mich.	-	10	39	107	144	2	0	5	6	15	-	0	1	1	-						
Ohio	19	12	56	307	258	4	0	12	17	-	-	0	4	3	2						
Wis.	-	3	16	67	100	-	0	0	-	-	-	0	1	-	1						
W.N. CENTRAL	1	17	140	164	586	3	6	20	75	81	1	3	13	41	25						
Iowa	-	4	16	50	151	-	1	7	9	10	-	0	1	-	1						
Kans.	1	3	14	60	125	2	2	6	45	30	-	0	1	-	-						
Minn.	-	0	120	-	75	-	0	6	4	11	-	0	2	-	1						
Mo.	-	3	10	29	160	1	1	6	6	8	-	3	12	40	21						
Nebr.	-	1	4	7	60	-	0	0	-	-	1	0	5	1	2						
N. Dak.	-	0	9	4	4	-	0	7	6	2	-	0	0	-	-						
S. Dak.	-	0	4	14	11	-	0	3	5	20	-	0	0	-	-						
S. ATLANTIC	24	17	163	358	371	19	39	62	704	877	1	12	67	106	302						
Del.	-	0	1	2	2	-	0	0	-	-	-	0	3	4	6						
D.C.	-	0	2	2	3	-	0	0	-	-	-	0	1	1	-						
Fla.	3	4	18	99	83	-	0	24	49	176	-	0	4	6	7						
Ga.	-	0	3	-	9	-	4	16	36	95	-	0	5	2	8						
Md.	1	2	7	48	70	-	5	10	93	149	-	1	6	16	12						
