
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending October 27, 2007 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	26	98	261	4,126	4,463	13	29	108	1,258	1,077											
NEW ENGLAND	-	6	28	339	303	-	2	11	95	100											
Conn.	-	0	23	109	78	-	0	6	12	30											
Maine	-	0	3	23	17	-	0	1	2	-											
Mass.	-	3	12	153	154	-	1	6	63	58											
N.H.	-	0	4	32	35	-	0	2	8	8											
R.I.	-	0	12	6	7	-	0	2	8	4											
Vt.	-	0	2	16	12	-	0	1	2	-											
MID. ATLANTIC	5	17	41	764	804	3	4	37	210	152											
N.J.	-	3	10	107	129	-	1	4	25	55											
N.Y. (Upstate)	4	5	27	252	260	3	2	15	90	74											
N.Y. City	-	4	13	179	145	-	1	35	95	23											
Pa.	1	5	11	226	270	N	0	0	N	N											
E.N. CENTRAL	-	16	33	687	847	2	5	14	192	279											
Ill.	-	5	13	190	256	-	1	6	48	72											
Ind.	-	2	12	102	102	1	0	10	17	47											
Mich.	-	4	10	169	176	-	1	4	60	64											
Ohio	-	4	14	197	214	1	1	7	55	56											
Wis.	-	0	6	29	99	-	0	2	12	40											
W.N. CENTRAL	-	5	32	276	296	1	2	8	94	97											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	28	48	-	0	1	1	11											
Minn.	-	0	29	137	136	-	1	6	64	61											
Mo.	-	2	6	68	65	-	0	2	17	12											
Nebr.	-	0	3	23	26	1	0	1	11	10											
N. Dak.	-	0	2	13	11	-	0	2	1	3											
S. Dak.	-	0	2	7	10	-	0	0	-	-											
S. ATLANTIC	11	22	52	1,047	1,009	3	4	14	232	65											
Del.	-	0	1	10	10	-	0	0	-	-											
D.C.	-	0	3	8	14	-	0	1	-	1											
Fla.	5	6	16	261	250	2	1	5	57	-											
Ga.	2	5	13	210	213	-	0	5	44	-											
Md.	1	4	10	176	185	1	1	6	52	53											
N.C.	2	1	22	144	145	-	0	0	-	-											
S.C.	-	1	7	83	55	-	1	4	41	-											
Va.	-	2	11	131	112	-	0	4	31	-											
W. Va.	1	0	3	24	25	-	0	4	7	11											
E.S. CENTRAL	2	4	13	178	179	2	1	6	76	17											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	35	40	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	17											
Tenn.	2	3	13	143	139	2	1	6	73	-											
W.S. CENTRAL	3	6	90	261	342	-	4	43	179	180											
Ark.	-	0	2	17	24	-	0	2	10	19											
La.	-	0	4	16	16	-	0	4	27	20											
Okla.	1	1	23	61	90	-	1	13	43	44											
Tex.	2	3	64	167	212	-	2	27	99	97											
MOUNTAIN	4	10	23	458	578	-	4	12	152	167											
Ariz.	1	4	11	179	299	-	2	7	90	92											
Colo.	-	3	9	128	102	-	1	4	36	45											
Idaho	-	0	2	16	8	-	0	1	2	2											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	4	49	111	-	0	4	19	26											
Utah	3	2	7	79	54	-	0	2	4	-											
Wyo.	-	0	1	5	4	-	0	0	-	-											
PACIFIC	1	3	9	116	105	2	0	4	28	20											
Alaska	1	0	3	31	N	2	0	2	26	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	85	105	-	0	2	2	20											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


