
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending November 23, 2002 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, Enterohemorrhagic, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	39	17	15,419	293,607	321,969	1,355	1,307	22	22												
NEW ENGLAND	1	1	1,532	6,864	6,223	118	98	-	1												
Maine	-	-	194	121	125	1	2	-	-												
N.H.	-	-	41	117	164	9	6	-	-												
Vt.	1	1	130	86	62	7	3	-	-												
Mass.	-	-	779	2,986	2,846	50	41	-	1												
R.I.	-	-	145	858	764	10	5	-	-												
Conn.	-	-	243	2,696	2,262	41	41	-	-												
MID. ATLANTIC	-	3	3,315	35,579	38,749	238	200	4	3												
Upstate N.Y.	-	-	1,139	7,897	7,929	108	69	2	-												
N.Y. City	-	-	1,174	10,444	11,431	56	51	-	-												
N.J.	-	-	342	6,130	7,455	49	45	-	-												
Pa.	-	3	660	11,108	11,934	25	35	2	3												
E.N. CENTRAL	11	6	2,948	58,991	67,878	191	250	3	2												
Ohio	10	6	862	16,373	19,043	74	65	-	1												
Ind.	-	-	-	6,709	6,260	38	46	1	-												
Ill.	-	-	682	17,429	21,495	57	94	-	-												
Mich.	1	-	857	13,186	15,592	14	13	2	-												
Wis.	-	-	547	5,294	5,488	8	32	-	1												
W.N. CENTRAL	2	3	1,831	14,963	15,104	63	67	1	1												
Minn.	-	-	714	2,564	2,369	42	37	1	-												
Iowa	-	-	289	1,143	1,207	1	-	-	-												
Mo.	N	N	431	7,873	7,801	11	18	-	-												
N. Dak.	2	3	27	47	42	-	7	-	-												
S. Dak.	-	-	70	240	252	-	-	-	-												
Nebr.	-	-	133	713	1,060	1	3	-	1												
Kans.	-	-	167	2,383	2,373	8	2	-	-												
S. ATLANTIC	1	-	2,671	75,830	82,887	333	322	4	1												
Del.	-	-	49	1,446	1,545	-	-	-	-												
Md.	-	-	106	7,987	8,249	78	82	2	-												
D.C.	-	-	42	2,442	2,592	-	-	-	-												
Va.	-	-	283	8,557	9,609	31	27	-	-												
W. Va.	1	-	54	812	642	15	14	-	1												
N.C.	-	-	-	14,441	15,373	30	44	-	-												
S.C.	-	-	118	6,587	9,724	12	6	-	-												
Ga.	-	-	846	14,992	16,031	84	86	-	-												
Fla.	-	-	1,173	18,566	19,122	83	63	2	-												
E.S. CENTRAL	8	3	346	25,059	28,905	62	68	1	-												
Ky.	8	3	-	3,402	3,237	5	2	-	-												
Tenn.	-	-	165	8,533	8,704	32	38	-	-												
Ala.	-	-	181	7,729	9,932	16	26	1	-												
Miss.	-	-	-	5,395	7,032	9	2	-	-												
W.S. CENTRAL	4	-	225	42,955	47,227	60	51	2	2												
Ark.	-	-	155	4,131	4,201	2	1	-	-												
La.	-	-	4	10,675	11,228	9	9	-	-												
Okla.	-	-	66	4,088	4,333	44	39	-	-												
Tex.	4	-	-	24,061	27,465	5	2	2	2												
MOUNTAIN	12	1	1,512	9,029	9,351	172	132	4	8												
Mont.	-	-	78	99	98	-	-	-	-												
Idaho	-	-	121	83	69	2	2	-	-												
Wyo.	-	-	29	55	76	1	1	-	-												
Colo.	12	1	516	3,082	2,873	31	37	-	-												
N. Mex.	-	-	132	1,204	910	25	22	-	1												
Ariz.	-	-	190	3,307	3,547	84	52	2	4												
Utah	-	-	303	239	175	17	7	1	1												
Nev.	-	-	143	960	1,603	12	11	1	2												
PACIFIC	-	-	1,039	24,337	25,645	118	119	3	4												
Wash.	-	-	376	2,637	2,717	3	5	2	-												
Oreg.	-	-	411	789	1,006	59	34	-	-												
Calif.	-	-	73	19,765	20,979	22	52	1	4												
Alaska	-	-	99	516	386	1	6	-	-												
Hawaii	-	-	80	630	557	33	22	-	-												
Guam	-	-	-	-	46	-	-	-	-												
P.R.	-	-	38	292	540	1	1	-	-												
V.I.	-	-	-	31	31	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	1	13	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


