
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending August 21, 2004 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	1,313	1,217	125	142	95	83	9,843	10,507	190,083	204,185											
NEW ENGLAND	87	80	31	26	19	8	842	796	4,446	4,321											
Maine	5	6	-	-	-	-	73	93	151	129											
N.H.	10	12	5	2	-	-	18	25	64	73											
Vt.	7	8	-	-	1	-	91	59	52	52											
Mass.	39	32	6	7	18	8	408	391	2,038	1,703											
R.I.	6	1	1	-	-	-	68	74	540	549											
Conn.	20	21	19	17	-	-	184	154	1,601	1,815											
MID. ATLANTIC	146	145	21	14	16	18	2,182	2,167	21,926	25,646											
Upstate N.Y.	67	48	11	6	6	7	760	555	4,620	4,612											
N.Y. City	26	5	-	-	-	-	605	721	6,684	8,521											
N.J.	21	21	3	2	4	-	215	314	3,963	5,327											
Pa.	32	71	7	6	6	11	602	577	6,659	7,186											
E.N. CENTRAL	255	281	22	23	12	10	1,213	1,871	37,820	42,923											
Ohio	59	51	8	11	11	10	499	510	10,668	13,876											
Ind.	34	49	-	-	-	-	-	-	4,018	4,050											
Ill.	43	51	-	2	-	-	84	578	10,789	13,225											
Mich.	50	45	4	-	1	-	412	426	9,546	8,147											
Wis.	69	85	10	10	-	-	218	357	2,799	3,625											
W.N. CENTRAL	301	207	19	25	15	13	1,165	1,057	10,109	10,712											
Minn.	68	65	9	13	2	1	415	392	1,961	1,803											
Iowa	83	46	-	-	-	-	178	146	649	814											
Mo.	55	48	10	5	6	1	288	299	5,043	5,380											
N. Dak.	10	6	-	3	5	4	18	25	72	49											
S. Dak.	22	13	-	3	-	-	40	24	169	126											
Nebr.	44	14	-	1	-	-	88	73	639	910											
Kans.	19	15	-	-	2	7	138	98	1,576	1,630											
S. ATLANTIC	99	88	18	31	24	20	1,600	1,568	47,399	50,185											
Del.	2	2	N	N	N	N	30	23	572	751											
Md.	20	5	1	2	3	1	71	66	5,191	4,871											
D.C.	1	1	-	-	-	-	37	25	1,427	1,566											
Va.	22	25	7	5	-	-	273	207	5,599	5,536											
W. Va.	2	3	-	-	-	-	19	25	579	538											
N.C.	-	-	-	-	14	17	N	N	9,689	9,397											
S.C.	4	-	-	-	-	-	28	69	4,779	4,988											
Ga.	17	20	6	5	-	-	452	508	8,406	10,986											
Fla.	31	32	4	19	7	2	690	645	11,157	11,552											
E.S. CENTRAL	49	48	1	1	8	5	177	205	15,524	17,145											
Ky.	18	15	1	1	5	5	N	N	1,564	2,260											
Tenn.	15	21	-	-	3	-	82	93	5,221	5,097											
Ala.	9	9	-	-	-	-	95	112	4,672	5,739											
Miss.	7	3	-	-	-	-	-	-	4,067	4,049											
W.S. CENTRAL	50	51	2	4	1	4	173	177	25,748	27,760											
Ark.	10	6	1	-	-	-	73	97	2,433	2,618											
La.	2	3	-	-	-	-	19	8	6,056	7,582											
Okla.	13	14	-	-	-	-	81	72	3,059	2,809											
Tex.	25	28	1	4	1	4	-	-	14,200	14,751											
MOUNTAIN	130	154	10	16	-	5	898	860	6,526	6,586											
Mont.	12	5	-	-	-	-	35	52	39	70											
Idaho	28	31	4	11	-	-	104	99	52	46											
Wyo.	2	2	1	-	-	-	15	14	36	28											
Colo.	37	45	2	3	-	5	320	252	1,638	1,813											
N. Mex.	6	5	1	2	-	-	48	30	435	761											
Ariz.	12	21	N	N	N	N	120	146	2,474	2,453											
Utah	24	29	1	-	-	-	185	187	343	217											
Nev.	9	16	1	-	-	-	71	80	1,509	1,198											
PACIFIC	196	163	1	2	-	-	1,593	1,806	20,585	18,907											
Wash.	73	45	-	1	-	-	205	176	1,649	1,726											
Oreg.	34	31	1	1	-	-	269	245	664	625											
Calif.	80	83	-	-	-	-	1,025	1,279	17,502	15,493											
Alaska	1	1	-	-	-	-	43	52	369	339											
Hawaii	8	3	-	-	-	-	51	54	401	724											
Guam	N	N	-	-	-	-	-	2	-	44											
P.R.	-	1	-	-	-	-	30	154	135	178											
V.I.	-	-	-	-	-	-	-	-	49	57											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


