
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 30, 1999 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 1999
Legionellosis cummulative for 1998
Lyme Disease cummulative for 1999
Lyme Disease cummulative for 1998
Malaria cummulative for 1999
Malaria cummulative for 1998
Syphilis (Primary and Secondary) cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 1998
Tuberculosis cummulative for 1999
Tuberculosis cummulative for 1998
Rabies, Animal cummulative for 1999
Rabies, Animal cummulative for 1998

tab delimited data:
test
UNITED STATES	29	69	107	208	49	91	305	540	440	666	204										
NEW ENGLAND	1	-	7	21	1	4	6	6	16	12	48										
Maine	-	-	-	1	-	-	-	-	-	-	4										
N.H.	1	-	-	-	-	-	-	1	-	-	-										
Vt.	-	-	-	-	-	-	1	-	-	-	9										
Mass.	-	-	7	7	1	4	5	5	4	2	18										
R.I.	-	-	-	-	-	-	-	-	8	2	5										
Conn.	-	-	-	13	-	-	-	-	4	8	12										
MID. ATLANTIC	4	6	50	134	5	31	14	22	12	36	48										
Upstate N.Y.	-	-	6	37	4	5	1	2	-	4	30										
N.Y. City	-	2	-	4	-	19	10	3	12	20	U										
N.J.	2	-	41	25	1	3	-	9	-	12	14										
Pa.	2	4	3	68	-	4	3	8	-	-	4										
E.N. CENTRAL	11	34	4	8	1	12	36	74	55	54	-										
Ohio	5	12	4	5	1	1	6	22	15	11	-										
Ind.	3	5	-	2	-	1	12	13	4	18	-										
Ill.	-	7	-	-	-	7	18	29	36	24	-										
Mich.	3	4	-	1	-	2	-	-	-	-	-										
Wis.	-	6	U	U	-	1	-	10	-	1	-										
W.N. CENTRAL	-	6	2	3	1	3	1	9	11	11	21										
Minn.	-	-	-	-	-	-	-	-	9	3	6										
Iowa	-	-	-	3	1	-	-	-	-	-	5										
Mo.	-	2	-	-	-	3	-	6	1	8	-										
N. Dak.	-	-	1	-	-	-	-	-	-	-	6										
S. Dak.	-	-	-	-	-	-	-	-	1	-	-										
Nebr.	-	4	-	-	-	-	1	1	-	-	-										
Kans.	-	-	1	-	-	-	-	2	-	-	4										
S. ATLANTIC	5	8	34	29	18	18	138	189	43	78	79										
Del.	1	1	-	-	-	1	1	-	-	-	-										
Md.	-	3	26	28	6	10	17	51	7	2	21										
D.C.	-	1	1	1	5	1	1	1	4	5	-										
Va.	1	2	-	-	-	-	15	24	-	5	20										
W. Va.	N	N	-	-	-	-	1	-	-	7	-										
N.C.	2	-	7	-	1	1	56	45	12	33	24										
S.C.	-	-	-	-	-	-	20	27	20	22	-										
Ga.	-	-	-	-	-	3	-	21	-	4	-										
Fla.	1	1	-	-	6	2	27	20	-	-	14										
E.S. CENTRAL	1	4	5	4	-	1	74	102	9	65	2										
Ky.	-	3	-	-	-	-	-	9	-	6	-										
Tenn.	1	-	2	4	-	-	41	49	-	26	2										
Ala.	-	-	3	-	-	-	33	23	9	25	-										
Miss.	-	1	-	-	-	1	-	21	-	8	-										
W.S. CENTRAL	-	-	-	-	1	-	35	78	3	115	-										
Ark.	-	-	-	-	-	-	2	13	-	-	-										
La.	-	-	-	-	1	-	17	31	-	-	-										
Okla.	-	-	-	-	-	-	16	6	3	8	-										
Tex.	-	-	-	-	-	-	-	28	-	107	-										
MOUNTAIN	2	5	-	-	3	5	-	24	3	26	5										
Mont.	-	-	-	-	1	-	-	-	-	-	1										
Idaho	-	-	-	-	-	-	-	-	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	1	2	-	-	-	3	-	1	-	3	1										
N. Mex.	-	1	-	-	1	2	-	2	1	2	-										
Ariz.	-	-	-	-	1	-	-	17	-	10	3										
Utah	1	2	-	-	-	-	-	2	2	-	-										
Nev.	-	-	-	-	-	-	-	2	-	11	-										
PACIFIC	5	6	5	9	19	17	1	36	288	269	1										
Wash.	-	-	-	-	1	-	-	1	19	12	-										
Oreg.	-	-	-	-	-	2	-	1	5	9	-										
Calif.	5	6	5	9	18	15	1	34	252	242	1										
Alaska	-	-	-	-	-	-	-	-	1	2	-										
Hawaii	-	-	-	-	-	-	-	-	11	4	-										
Guam	-	-	-	-	-	-	-	-	-	4	-										
P.R.	-	-	-	-	-	-	20	17	-	3	4										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	-	-	-	-	-	1	-	4	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


