
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 8, 2005 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	6	22	1	-	4	1	64	239	2,739	5,793											
NEW ENGLAND	-	-	-	-	-	-	3	25	140	121											
Maine	-	-	-	-	-	-	1	4	1	5											
N.H.	-	-	-	-	-	-	-	1	2	1											
Vt.	-	-	-	-	-	-	-	1	1	-											
Mass.	-	-	-	-	-	-	2	19	50	64											
R.I.	-	-	-	-	-	-	-	-	10	19											
Conn.	-	-	-	-	-	-	-	-	76	32											
MID. ATLANTIC	-	3	-	-	-	-	11	56	291	560											
Upstate N.Y.	-	-	-	-	-	-	3	6	48	43											
N.Y. City	-	1	-	-	-	-	-	19	58	228											
N.J.	-	-	-	-	-	-	6	11	62	132											
Pa.	-	2	-	-	-	-	2	20	123	157											
E.N. CENTRAL	3	6	-	-	1	1	11	44	268	1,056											
Ohio	3	2	-	-	1	1	11	21	-	394											
Ind.	-	-	-	-	-	-	-	-	168	109											
Ill.	-	2	-	-	-	-	-	10	55	337											
Mich.	-	2	-	-	-	-	-	11	-	138											
Wis.	-	-	-	-	-	-	-	2	45	78											
W.N. CENTRAL	-	3	-	-	-	-	2	20	16	388											
Minn.	-	-	-	-	-	-	-	3	-	118											
Iowa	-	-	-	-	-	-	-	4	-	36											
Mo.	-	2	-	-	-	-	-	9	-	170											
N. Dak.	-	-	-	-	-	-	-	-	1	2											
S. Dak.	-	-	-	-	-	-	-	-	4	5											
Nebr.	-	-	-	-	-	-	2	-	-	36											
Kans.	-	1	-	-	-	-	-	4	11	21											
S. ATLANTIC	2	2	-	-	3	-	14	42	1,071	1,343											
Del.	-	-	N	N	N	N	-	-	11	19											
Md.	2	-	-	-	-	-	4	1	139	145											
D.C.	-	-	-	-	-	-	-	-	29	60											
Va.	-	-	-	-	-	-	-	-	152	217											
W. Va.	-	-	-	-	-	-	-	-	12	16											
N.C.	-	-	-	-	3	-	N	N	264	284											
S.C.	-	-	-	-	-	-	-	-	138	-											
Ga.	-	1	-	-	-	-	1	24	85	374											
Fla.	-	1	-	-	-	-	9	17	241	228											
E.S. CENTRAL	-	-	-	-	-	-	4	2	153	562											
Ky.	-	-	-	-	-	-	N	N	86	72											
Tenn.	-	-	-	-	-	-	1	2	-	208											
Ala.	-	-	-	-	-	-	3	-	3	172											
Miss.	-	-	-	-	-	-	-	-	64	110											
W.S. CENTRAL	-	1	-	-	-	-	-	1	457	1,015											
Ark.	-	-	-	-	-	-	-	-	78	46											
La.	-	-	-	-	-	-	-	1	-	475											
Okla.	-	-	-	-	-	-	-	-	-	104											
Tex.	-	1	-	-	-	-	N	N	379	390											
MOUNTAIN	-	-	1	-	-	-	10	17	160	195											
Mont.	-	-	-	-	-	-	-	-	1	-											
Idaho	-	-	-	-	-	-	-	1	-	1											
Wyo.	-	-	-	-	-	-	-	-	1	-											
Colo.	-	-	1	-	-	-	9	12	44	67											
N. Mex.	-	-	-	-	-	-	-	1	2	11											
Ariz.	-	-	N	N	N	N	1	-	111	58											
Utah	-	-	-	-	-	-	-	1	1	6											
Nev.	-	-	-	-	-	-	-	2	-	52											
PACIFIC	1	7	-	-	-	-	9	32	183	553											
Wash.	-	-	-	-	-	-	-	-	35	38											
Oreg.	-	1	-	-	-	-	3	7	19	6											
Calif.	-	4	-	-	-	-	3	25	128	474											
Alaska	-	-	-	-	-	-	2	-	1	3											
Hawaii	1	2	-	-	-	-	1	-	-	32											
Guam	N	N	-	-	-	-	-	-	-	6											
P.R.	-	-	-	-	-	-	-	-	8	-											
V.I.	-	-	-	-	-	-	-	-	-	2											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


