
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 2, 1996 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	11	59	9	96	131	46	276	470	4	24	11										
NEW ENGLAND	3	3	-	-	2	12	48	77	-	2	2										
Maine	-	-	-	-	2	-	2	6	-	-	-										
N.H.	-	-	-	-	-	-	6	5	-	-	1										
Vt.	-	-	-	-	-	-	5	2	-	-	-										
Mass.	3	1	-	-	-	12	35	61	-	-	1										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	-	-	-	-	-	-	-	3	-	2	-										
MID. ATLANTIC	1	1	-	12	19	2	38	37	2	3	-										
Upstate N.Y.	-	-	-	5	4	1	28	21	2	2	-										
N.Y. City	1	-	-	2	2	1	8	9	-	1	-										
N.J.	-	1	-	-	3	-	-	3	-	-	-										
Pa.	-	-	-	5	10	-	2	4	-	-	-										
E.N. CENTRAL	-	-	3	26	18	6	47	54	-	-	-										
Ohio	-	-	-	13	7	4	35	24	-	-	-										
Ind.	-	-	3	4	4	-	3	6	-	-	-										
Ill.	-	-	-	-	-	-	-	-	-	-	-										
Mich.	-	-	-	9	7	2	7	22	-	-	-										
Wis.	-	-	-	-	-	-	2	2	-	-	-										
W.N. CENTRAL	-	1	-	2	10	1	2	18	-	-	-										
Minn.	-	-	-	-	-	-	1	-	-	-	-										
Iowa	-	-	-	-	1	1	1	1	-	-	-										
Mo.	-	1	-	-	8	-	-	7	-	-	-										
N. Dak.	-	-	-	2	-	-	-	1	-	-	-										
S. Dak.	-	-	-	-	-	-	-	2	-	-	-										
Nebr.	-	-	-	-	1	-	-	1	-	-	-										
Kans.	-	-	-	-	-	-	-	6	-	-	-										
S. ATLANTIC	1	-	2	10	23	-	19	42	-	-	1										
Del.	-	-	-	-	-	-	-	2	-	-	-										
Md.	1	-	2	4	5	-	14	-	-	-	-										
D.C.	-	-	-	-	-	-	-	1	-	-	-										
Va.	-	-	-	2	4	-	-	-	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	-	-	-	-	10	-	-	30	-	-	-										
S.C.	-	-	-	3	1	-	2	7	-	-	-										
Ga.	-	-	-	1	-	-	1	-	-	-	-										
Fla.	-	-	-	-	3	-	2	2	-	-	1										
E.S. CENTRAL	-	-	-	3	4	-	6	9	-	-	-										
Ky.	-	-	-	-	-	-	4	-	-	-	-										
Tenn.	-	-	-	-	-	-	-	-	-	-	-										
Ala.	-	-	-	3	2	-	1	9	-	-	-										
Miss.	-	-	-	-	2	-	1	-	N	N	N										
W.S. CENTRAL	-	-	-	3	7	-	3	9	-	-	-										
Ark.	-	-	-	-	2	-	2	-	-	-	-										
La.	-	-	-	3	1	-	1	-	-	-	-										
Okla.	-	-	-	-	-	-	-	-	-	-	-										
Tex.	-	-	-	-	4	-	-	9	-	-	-										
MOUNTAIN	-	47	-	8	4	12	36	153	-	-	2										
Mont.	-	-	-	-	-	-	2	2	-	-	-										
Idaho	-	-	-	-	-	9	11	47	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	17	-	-	-	-	-	30	-	-	-										
N. Mex.	-	23	N	N	N	3	12	4	-	-	-										
Ariz.	-	7	-	-	-	-	2	68	-	-	2										
Utah	-	-	-	-	1	-	1	1	-	-	-										
Nev.	-	-	-	8	3	-	8	1	-	-	-										
PACIFIC	6	7	4	32	44	13	77	71	2	19	6										
Wash.	4	-	-	2	1	4	10	9	1	1	-										
Oreg.	-	-	N	N	N	2	15	1	-	-	-										
Calif.	-	7	4	22	37	6	48	59	-	17	6										
Alaska	1	-	-	1	5	-	-	-	-	-	-										
Hawaii	1	-	-	7	1	1	4	2	1	1	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	2	-	-	-										
V.I.	-	-	U	-	1	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


