
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 19, 2003 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	7,165	8,357	5,584	3,989	1,813	1,616	857	811	115	84											
NEW ENGLAND	342	437	87	74	118	84	3	3	1	1											
Maine	23	48	4	2	13	15	-	-	-	-											
N.H.	22	22	1	3	11	19	-	-	N	N											
Vt.	6	17	2	-	11	4	3	3	1	1											
Mass.	194	244	53	53	82	46	N	N	N	N											
R.I.	19	15	3	2	1	-	-	-	-	-											
Conn.	78	91	24	14	-	-	-	-	-	-											
MID. ATLANTIC	660	1,282	334	301	242	304	37	43	30	24											
Upstate N.Y.	169	272	83	40	141	125	22	40	24	24											
N.Y. City	251	446	112	141	33	78	U	U	U	U											
N.J.	65	267	72	65	15	64	N	N	N	N											
Pa.	175	297	67	55	53	37	15	3	6	-											
E.N. CENTRAL	973	1,416	360	524	406	396	167	65	56	36											
Ohio	326	347	83	262	123	83	116	-	43	-											
Ind.	79	78	32	19	30	16	51	63	8	10											
Ill.	301	548	146	157	84	130	-	2	-	-											
Mich.	157	244	71	48	152	114	N	N	N	N											
Wis.	110	199	28	38	17	53	N	N	5	26											
W.N. CENTRAL	450	568	222	384	142	105	92	233	13	18											
Minn.	126	130	27	42	65	53	-	154	13	17											
Iowa	85	80	10	35	N	N	N	N	N	N											
Mo.	131	215	72	40	28	24	5	4	-	1											
N. Dak.	11	9	-	7	5	-	3	-	-	-											
S. Dak.	19	24	8	124	13	4	-	1	-	-											
Nebr.	33	34	78	90	16	8	4	20	N	N											
Kans.	45	76	27	46	15	16	80	54	N	N											
S. ATLANTIC	2,019	1,840	2,209	1,351	355	261	472	358	4	2											
Del.	16	13	86	5	4	-	-	3	N	N											
Md.	186	158	175	184	126	41	-	-	-	-											
D.C.	11	25	16	18	6	3	2	26	-	1											
Va.	178	184	87	307	22	33	N	N	N	N											
W. Va.	17	19	-	2	16	7	24	22	4	1											
N.C.	303	251	221	100	36	56	N	N	U	U											
S.C.	77	102	57	18	10	21	45	80	N	N											
Ga.	494	276	798	339	44	69	154	140	N	N											
Fla.	737	812	769	378	91	31	247	87	N	N											
E.S. CENTRAL	409	420	263	316	58	44	47	64	-	-											
Ky.	79	65	36	48	10	5	3	8	N	N											
Tenn.	135	127	84	17	48	39	44	56	N	N											
Ala.	133	127	101	128	-	-	-	-	N	N											
Miss.	62	101	42	123	-	-	-	-	-	-											
W.S. CENTRAL	481	691	1,125	324	100	78	25	24	11	1											
Ark.	75	81	17	50	2	1	6	4	-	-											
La.	57	128	61	59	1	1	19	20	7	1											
Okla.	63	67	183	69	31	14	N	N	4	-											
Tex.	286	415	864	146	66	62	N	N	-	-											
MOUNTAIN	488	473	271	146	208	150	13	21	-	2											
Mont.	30	19	1	1	-	-	-	-	-	-											
Idaho	59	30	6	2	10	4	N	N	N	N											
Wyo.	8	17	1	1	-	6	3	8	-	-											
Colo.	127	128	42	33	71	45	-	-	-	-											
N. Mex.	37	71	41	40	51	43	10	13	-	-											
Ariz.	149	120	151	49	69	43	-	-	N	N											
Utah	48	33	15	12	7	9	-	-	-	2											
Nev.	30	55	14	8	-	-	-	-	-	-											
PACIFIC	1,343	1,230	713	569	184	194	1	-	-	-											
Wash.	98	67	44	19	-	-	-	-	N	N											
Oreg.	120	88	24	31	N	N	N	N	N	N											
Calif.	1,046	994	629	500	150	177	N	N	N	N											
Alaska	31	17	4	2	-	-	-	-	N	N											
Hawaii	48	64	12	17	34	17	1	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	34	65	1	1	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


