
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 13, 2007 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	38	86	214	91	177	21	22	41	33	23											
NEW ENGLAND	2	3	15	3	9	1	1	4	2	1											
Conn.	U	0	0	U	-	U	0	0	U	U											
Maine	-	0	2	1	1	-	0	2	-	-											
Mass.	-	2	6	-	8	-	0	4	-	1											
N.H.	1	0	9	1	-	1	0	4	1	-											
R.I.	-	0	2	-	-	-	0	3	-	-											
Vt.	1	0	2	1	-	-	0	1	1	-											
MID. ATLANTIC	3	17	40	5	37	6	3	8	6	1											
N.J.	-	2	8	-	10	-	1	4	-	1											
N.Y. (Upstate)	3	5	19	5	4	6	2	7	6	-											
N.Y. City	-	3	8	-	9	-	0	2	-	-											
Pa.	-	6	13	-	14	N	0	0	N	N											
E.N. CENTRAL	9	13	45	24	47	4	6	14	8	7											
Ill.	-	2	12	2	20	-	1	6	-	3											
Ind.	-	2	11	-	-	-	0	10	-	-											
Mich.	1	3	12	4	10	1	1	5	3	1											
Ohio	8	4	19	18	14	3	2	7	5	1											
Wis.	-	1	4	-	3	-	0	2	-	2											
W.N. CENTRAL	2	4	57	6	8	1	2	10	2	2											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	1	5	2	5	-	0	3	-	1											
Minn.	-	0	52	-	-	-	0	7	-	-											
Mo.	1	1	5	4	1	1	0	2	2	1											
Nebr.	-	0	4	-	2	-	0	2	-	-											
N. Dak.	-	0	2	-	-	-	0	1	-	-											
S. Dak.	-	0	2	-	-	-	0	0	-	-											
S. ATLANTIC	12	23	45	25	43	6	1	6	11	4											
Del.	-	0	2	-	1	-	0	0	-	-											
D.C.	-	0	2	-	1	-	0	1	-	-											
Fla.	6	5	16	6	12	1	0	0	1	-											
Ga.	3	5	12	7	13	2	0	2	4	-											
Md.	3	4	12	7	6	3	1	5	5	4											
N.C.	-	0	26	-	5	-	0	0	-	-											
S.C.	-	1	6	5	5	-	0	1	1	-											
Va.	-	2	9	-	-	-	0	0	-	-											
W. Va.	-	0	6	-	-	-	0	2	-	-											
E.S. CENTRAL	1	3	11	6	10	-	0	2	-	3											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	0	5	3	2	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	-	3											
Tenn.	-	3	9	3	8	-	0	0	-	-											
W.S. CENTRAL	3	7	18	5	3	1	3	13	2	1											
Ark.	1	0	5	1	-	-	0	2	-	-											
La.	-	0	2	-	-	-	0	1	-	-											
Okla.	1	2	8	3	-	1	1	5	2	1											
Tex.	1	4	14	1	3	-	2	11	-	-											
MOUNTAIN	5	11	41	15	16	2	3	12	2	4											
Ariz.	2	5	34	4	1	2	2	9	2	-											
Colo.	2	2	7	9	7	-	1	4	-	4											
Idaho	-	0	1	-	-	-	0	1	-	-											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	0	-	-	-	0	0	-	-											
N. Mex.	-	1	5	-	-	-	0	3	-	-											
Utah	1	1	7	2	7	-	0	0	-	-											
Wyo.	-	0	1	-	1	-	0	0	-	-											
PACIFIC	1	2	9	2	4	-	0	1	-	-											
Alaska	-	0	0	-	N	-	0	0	-	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	2	9	2	4	-	0	1	-	-											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


