
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 12, 2000 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2000
Gonorrhea cummulative for 1999
Hepatitis C/NA,NB cummulative for 2000
Hepatitis C/NA,NB cummulative for 1999
Legionellosis cummulative for 2000
Legionellosis cummulative for 1999
Lyme Disease cummulative for 2000
Lyme Disease cummulative for 1999

tab delimited data:
test
UNITED STATES	21,363	41,501	176	367	55	81	238	459													
NEW ENGLAND	794	804	-	2	3	5	32	53													
Maine	8	7	-	-	2	-	-	-													
N.H.	9	9	-	-	-	1	11	-													
Vt.	1	5	-	1	-	2	-	-													
Mass.	344	317	-	1	1	1	21	52													
R.I.	-	77	-	-	-	1	-	-													
Conn.	432	389	-	-	-	-	-	1													
MID. ATLANTIC	589	4,628	-	8	3	17	160	286													
Upstate N.Y.	275	332	-	3	2	2	56	38													
N.Y. City	-	2,048	-	-	-	4	1	12													
N.J.	52	922	-	-	-	3	-	79													
Pa.	262	1,326	-	5	1	8	103	157													
E.N. CENTRAL	4,892	7,349	32	234	15	36	1	18													
Ohio	999	1,963	-	-	11	12	1	7													
Ind.	596	743	-	-	2	1	-	-													
Ill.	1,077	2,362	2	4	-	6	-	1													
Mich.	1,628	1,578	30	75	2	10	-	1													
Wis.	592	703	-	155	-	7	U	9													
W.N. CENTRAL	747	2,368	24	26	4	3	2	6													
Minn.	205	351	-	-	1	-	1	-													
Iowa	31	88	-	-	1	2	-	1													
Mo.	324	1,413	24	24	2	1	1	2													
N. Dak.	-	7	-	-	-	-	-	1													
S. Dak.	8	24	-	-	-	-	-	-													
Nebr.	91	221	-	1	-	-	-	-													
Kans.	88	264	-	1	-	-	-	2													
S. ATLANTIC	6,963	13,526	6	25	18	8	30	62													
Del.	184	187	-	-	1	1	-	3													
Md.	318	2,161	1	16	6	-	24	50													
D.C.	312	975	-	-	-	-	-	1													
Va.	971	1,504	-	2	2	2	-	-													
W. Va.	-	90	-	1	N	N	1	-													
N.C.	1,963	2,337	3	5	1	2	3	8													
S.C.	574	1,744	-	1	2	1	-	-													
Ga.	556	1,903	-	-	-	-	-	-													
Fla.	2,085	2,625	2	-	6	2	2	-													
E.S. CENTRAL	3,040	3,454	32	20	1	4	-	8													
Ky.	426	460	3	2	-	2	-	-													
Tenn.	1,001	1,344	8	14	-	2	-	2													
Ala.	935	1,342	3	1	1	-	-	3													
Miss.	678	308	18	3	-	-	-	3													
W.S. CENTRAL	1,786	5,429	35	5	-	-	-	-													
Ark.	242	294	-	-	-	-	-	-													
La.	-	859	-	2	-	-	-	-													
Okla.	456	597	-	1	-	-	-	-													
Tex.	1,088	3,679	35	2	-	-	-	-													
MOUNTAIN	899	1,180	23	30	4	4	1	1													
Mont.	-	1	-	-	-	-	-	-													
Idaho	4	10	-	3	1	-	-	-													
Wyo.	5	3	13	15	-	-	-	-													
Colo.	410	213	4	3	2	1	-	-													
N. Mex.	18	134	3	6	-	1	-	1													
Ariz.	285	634	3	2	-	-	1	-													
Utah	48	23	-	1	1	2	-	-													
Nev.	129	162	-	-	-	-	-	-													
PACIFIC	1,653	2,763	24	17	7	4	12	25													
Wash.	289	247	2	2	1	-	-	-													
Oreg.	47	99	5	1	N	N	1	-													
Calif.	1,288	2,303	17	14	6	4	11	25													
Alaska	29	44	-	-	-	-	-	-													
Hawaii	-	70	-	-	-	-	N	N													
Guam	-	12	-	-	-	-	-	-													
P.R.	28	35	-	-	-	-	N	N													
V.I.	-	U	-	U	-	U	-	U													
Amer. Samoa	-	U	-	U	-	U	-	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


