
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 2, 2005 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	230	221	30	43	39	30	3,312	3,920	66,332	79,607											
NEW ENGLAND	16	10	7	12	6	2	253	343	1,188	1,740											
Maine	-	-	1	-	-	-	32	28	40	73											
N.H.	-	2	1	-	-	-	11	11	33	28											
Vt.	1	-	-	-	-	-	33	19	8	18											
Mass.	5	2	1	4	6	2	139	181	739	744											
R.I.	1	1	-	-	-	-	17	23	137	234											
Conn.	9	5	4	8	-	-	21	81	231	643											
MID. ATLANTIC	28	20	2	3	2	9	609	863	6,882	9,117											
Upstate N.Y.	13	6	2	1	-	3	204	219	1,557	1,762											
N.Y. City	1	5	-	-	-	-	152	302	1,763	2,883											
N.J.	7	1	-	1	1	4	74	109	896	1,701											
Pa.	7	8	-	1	1	2	179	233	2,666	2,771											
E.N. CENTRAL	54	52	3	9	3	4	432	605	9,895	16,786											
Ohio	23	12	1	-	2	4	133	187	1,717	5,259											
Ind.	8	13	-	-	-	-	N	N	1,807	1,646											
Ill.	6	10	1	-	-	-	76	202	3,550	4,950											
Mich.	8	8	-	1	1	-	139	136	1,739	3,802											
Wis.	9	9	1	8	-	-	84	80	1,082	1,129											
W.N. CENTRAL	29	38	4	7	5	6	422	408	3,901	4,540											
Minn.	3	19	1	3	2	-	194	131	626	1,090											
Iowa	6	4	-	-	-	-	56	51	446	307											
Mo.	11	3	2	4	1	1	89	129	2,184	2,134											
N. Dak.	-	2	-	-	-	3	1	6	15	44											
S. Dak.	2	-	-	-	-	-	19	14	82	63											
Nebr.	4	4	1	-	1	-	28	39	106	274											
Kans.	3	6	-	-	1	2	35	38	442	628											
S. ATLANTIC	41	18	6	5	17	6	605	612	17,482	19,322											
Del.	-	-	N	N	N	N	8	13	191	262											
Md.	4	3	2	-	-	2	40	25	1,732	2,141											
D.C.	-	-	-	-	-	-	12	21	523	595											
Va.	1	-	2	4	2	-	119	81	2,187	2,345											
W. Va.	-	1	-	-	-	-	7	9	189	203											
N.C.	-	-	-	-	9	3	N	N	4,444	3,951											
S.C.	-	1	-	-	-	-	25	17	2,387	2,115											
Ga.	6	5	1	-	-	-	193	175	1,249	3,510											
Fla.	30	8	1	1	6	1	201	271	4,580	4,200											
E.S. CENTRAL	9	10	-	-	4	2	86	75	5,083	6,003											
Ky.	-	4	-	-	3	2	N	N	906	639											
Tenn.	6	2	-	-	1	-	37	31	1,852	2,075											
Ala.	3	1	-	-	-	-	49	44	631	1,854											
Miss.	-	3	-	-	-	-	-	-	1,694	1,435											
W.S. CENTRAL	5	17	1	2	1	1	58	69	10,805	10,809											
Ark.	1	1	-	1	-	-	19	33	1,100	920											
La.	-	1	1	-	1	-	8	11	2,376	2,998											
Okla.	1	3	-	-	-	-	31	25	1,091	1,086											
Tex.	3	12	-	1	-	1	N	N	6,238	5,805											
MOUNTAIN	22	24	7	4	1	-	274	303	2,835	2,816											
Mont.	1	2	-	-	-	-	9	6	30	10											
Idaho	3	5	4	1	-	-	25	46	19	16											
Wyo.	-	-	1	-	-	-	3	1	15	13											
Colo.	3	4	1	1	-	-	93	92	687	737											
N. Mex.	-	5	1	1	-	-	9	18	141	181											
Ariz.	5	2	N	N	N	N	50	62	1,156	1,257											
Utah	3	3	-	-	-	-	68	57	172	72											
Nev.	7	3	-	1	1	-	17	21	615	530											
PACIFIC	26	32	-	1	-	-	573	642	8,261	8,474											
Wash.	5	4	-	-	-	-	37	47	869	691											
Oreg.	1	6	-	1	-	-	50	115	404	245											
Calif.	14	18	-	-	-	-	453	451	6,658	6,990											
Alaska	2	1	-	-	-	-	13	11	119	170											
Hawaii	4	3	-	-	-	-	20	18	211	378											
Guam	N	N	-	-	-	-	-	-	-	50											
P.R.	-	-	-	-	-	-	8	6	108	49											
V.I.	-	-	-	-	-	-	-	-	2	37											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


