
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending July 14, 2012 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	147	264	426	5,980	5,910	-	3	19	78	96	20	49	350	1,308	686						
NEW ENGLAND	-	3	22	38	122	-	0	1	-	1	-	0	1	5	5						
Conn.	-	0	4	14	24	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	2	17	-	0	0	-	-	-	0	1	2	-						
Mass.	-	2	20	21	72	-	0	0	-	-	-	0	1	-	3						
N.H.	-	0	1	1	1	-	0	1	-	1	-	0	0	-	1						
R.I.	-	0	2	-	5	-	0	0	-	-	-	0	1	3	1						
Vt.	-	0	1	-	3	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	29	43	89	1,253	348	-	0	2	15	1	1	2	11	35	60						
N.J.	-	18	48	587	68	-	0	1	-	1	-	0	8	-	52						
N.Y. (Upstate)	26	9	41	278	97	-	0	1	4	-	1	0	3	6	2						
N.Y. City	-	13	28	322	130	-	0	0	-	-	-	0	2	9	1						
Pa.	3	2	11	66	53	-	0	2	11	-	-	1	3	20	5						
E.N. CENTRAL	9	18	42	506	448	-	0	2	5	6	1	2	12	96	54						
Ill.	-	4	16	69	104	-	0	1	2	-	-	1	9	61	30						
Ind.	-	1	6	24	41	-	0	1	3	3	1	0	4	25	15						
Mich.	-	4	11	85	82	-	0	0	-	-	-	0	1	1	-						
Ohio	9	8	25	328	179	-	0	2	-	1	-	0	2	9	7						
Wis.	-	0	4	-	42	-	0	0	-	2	-	0	2	-	2						
W.N. CENTRAL	3	6	15	122	224	-	0	5	12	8	-	4	25	140	137						
Iowa	-	0	3	12	9	-	0	0	-	-	-	0	1	5	4						
Kans.	-	2	8	28	34	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	6	-	40	-	0	0	-	-	-	0	3	-	5						
Mo.	2	1	7	48	132	-	0	5	12	4	-	4	20	133	126						
Nebr.	1	0	7	33	5	-	0	1	-	4	-	0	1	2	2						
N. Dak.	-	0	2	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	1	1	4	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	40	71	135	1,570	1,985	-	1	12	31	60	8	11	75	319	162						
Del.	-	0	2	4	1	-	0	0	-	-	-	0	2	15	13						
D.C.	-	0	6	14	12	-	0	0	-	1	-	0	1	1	-						
Fla.	38	48	66	1,066	1,415	-	0	1	1	2	1	0	4	16	3						
Ga.	-	14	24	247	297	-	1	9	20	45	-	0	0	-	-						
Md.	1	3	15	126	46	-	0	1	-	2	1	0	3	15	9						
N.C.	-	2	9	58	136	-	0	3	-	4	-	0	49	79	65						
S.C.	-	1	54	17	28	-	0	2	6	5	-	0	2	6	12						
Va.	1	1	7	37	46	-	0	1	4	1	6	5	27	187	58						
W. Va.	-	0	1	1	4	-	0	0	-	-	-	0	1	-	2						
E.S. CENTRAL	3	21	52	573	430	-	0	2	1	4	7	7	46	371	142						
Ala.	2	6	22	167	107	-	0	1	1	-	2	2	8	58	28						
Ky.	-	4	21	180	146	-	0	1	-	-	-	0	3	10	-						
Miss.	1	5	24	138	80	-	0	0	-	1	-	0	2	3	9						
Tenn.	-	4	11	88	97	-	0	2	-	3	5	5	41	300	105						
W.S. CENTRAL	41	58	189	1,241	1,452	-	0	6	2	3	3	11	292	304	95						
Ark.	2	1	7	33	48	-	0	3	1	2	3	9	63	222	82						
La.	-	7	22	90	236	-	0	0	-	-	-	0	2	3	2						
Okla.	8	6	55	247	45	-	0	5	1	1	-	0	260	49	4						
Tex.	31	41	122	871	1,123	-	0	1	-	-	-	1	13	30	7						
MOUNTAIN	6	11	41	230	393	-	0	3	7	13	-	1	6	33	28						
Ariz.	3	7	28	159	127	-	0	3	7	12	-	0	5	22	20						
Colo.	-	1	8	25	40	-	0	0	-	-	-	0	1	2	1						
Idaho	2	0	1	5	12	-	0	0	-	-	-	0	2	3	1						
Mont.	1	0	5	6	107	-	0	0	-	-	-	0	1	-	1						
Nev.	-	0	5	9	11	-	0	0	-	-	-	0	1	-	-						
N. Mex.	-	1	7	17	65	-	0	0	-	-	-	0	1	1	-						
Utah	-	0	3	9	30	-	0	0	-	1	-	0	1	3	2						
Wyo.	-	0	1	-	1	-	0	0	-	-	-	0	2	2	3						
