
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending April 21, 2007 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2007
Lyme disease cummulative for 2006
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2007
Malaria cummulative for 2006
Meningococcal diseases, invasive †, all serogroups current week
Meningococcal diseases, invasive †, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive †, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive †, all serogroups cummulative for 2007
Meningococcal diseases, invasive †, all serogroups cummulative for 2006

tab delimited data:
test
UNITED STATES	36	253	1,029	1,589	1,747	10	25	50	197	321	18	19	37	335	459						
NEW ENGLAND	5	22	255	75	94	1	0	6	4	9	-	1	3	7	15						
Conn.	1	9	227	21	47	-	0	3	-	1	-	0	2	2	4						
Maine	-	2	39	12	18	-	0	1	3	2	-	0	3	2	2						
Mass.	-	0	3	-	21	-	0	3	-	5	-	0	1	-	9						
N.H.	3	5	97	34	2	1	0	3	1	-	-	0	2	-	-						
R.I.	-	0	93	-	1	-	0	1	-	-	-	0	1	1	-						
Vt.	1	1	15	8	5	-	0	0	-	1	-	0	1	2	-						
MID. ATLANTIC	11	147	571	787	1,222	2	5	18	47	91	3	2	8	36	76						
N.J.	-	27	190	102	297	-	1	7	-	25	-	0	2	1	8						
N.Y. (Upstate)	9	52	392	223	505	2	1	7	13	7	1	1	4	9	13						
N.Y. City	-	2	24	5	17	-	3	9	28	48	-	1	4	6	27						
Pa.	2	45	237	457	403	-	1	4	6	11	2	0	5	20	28						
E.N. CENTRAL	-	10	158	19	98	-	3	10	30	41	3	2	7	40	62						
Ill.	-	0	1	1	-	-	1	6	10	15	-	0	2	10	17						
Ind.	-	0	3	1	2	-	0	2	1	5	1	0	4	9	8						
Mich.	-	1	5	6	3	-	0	2	7	5	-	0	3	9	10						
Ohio	-	0	5	2	11	-	0	2	7	11	2	1	4	12	18						
Wis.	-	9	154	9	82	-	0	3	5	5	-	0	2	-	9						
W.N. CENTRAL	3	5	190	36	37	-	1	13	13	6	-	1	5	28	20						
