
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending November 3, 2007 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
Giardiasis current week
Giardiasis previous 52 weeks median 
Giardiasis previous 52 weeks maximum 
Giardiasis cummulative for 2007
Giardiasis cummulative for 2006
Gonorrhea current week
Gonorrhea previous 52 weeks median 
Gonorrhea previous 52 weeks maximum 
Gonorrhea cummulative for 2007
Gonorrhea cummulative for 2006
Haemophilus influenzae, invasive, All ages, all serotypes† current week
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks median 
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks maximum 
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2007
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2006

tab delimited data:
test
UNITED STATES	212	305	1,513	14,060	15,200	3,730	6,716	8,941	281,491	302,746	26	44	184	1,899	1,929						
NEW ENGLAND	11	26	54	1,228	1,258	14	109	259	4,585	4,794	2	3	19	155	151						
Conn.	-	6	18	301	264	-	42	204	1,751	1,994	1	0	7	45	42						
Maine	2	3	10	165	159	2	2	8	104	111	-	0	3	12	18						
Mass.	6	10	29	521	548	-	51	96	2,202	2,039	1	2	6	74	68						
N.H.	-	0	3	23	21	4	2	8	129	166	-	0	2	15	11						
R.I.	-	0	15	71	100	7	8	18	351	426	-	0	10	7	4						
Vt.	3	3	9	147	166	1	1	5	48	58	-	0	1	2	8						
MID. ATLANTIC	34	55	127	2,374	2,992	341	715	1,537	30,863	28,364	4	10	27	379	398						
N.J.	-	4	11	142	414	-	114	159	4,911	4,654	-	1	5	51	68						
N.Y. (Upstate)	26	23	108	977	1,041	171	111	1,035	5,770	5,308	3	2	15	109	128						
N.Y. City	3	15	25	663	826	-	201	363	8,561	8,773	-	2	6	83	73						
Pa.	5	14	29	592	711	170	241	586	11,621	9,629	1	3	10	136	129						
E.N. CENTRAL	24	46	80	2,036	2,455	152	1,258	2,593	56,456	60,032	3	6	15	245	323						
Ill.	-	12	24	522	614	-	350	498	14,786	17,121	-	2	6	73	97						
Ind.	N	0	0	N	N	-	164	307	7,393	7,462	1	1	7	50	71						
Mich.	-	11	20	469	619	39	263	747	11,842	12,777	-	0	5	22	23						
Ohio	20	15	37	698	706	39	331	1,572	16,940	16,771	2	2	5	86	72						
Wis.	4	8	20	347	516	74	126	206	5,495	5,901	-	0	2	14	60						
W.N. CENTRAL	18	21	553	997	1,589	164	380	514	16,139	16,529	8	2	24	116	136						
Iowa	1	5	23	261	253	18	39	60	1,618	1,611	-	0	1	1	2						
Kans.	7	2	8	122	173	28	43	86	1,924	1,895	-	0	2	9	16						
Minn.	-	0	514	12	479	-	66	86	2,657	2,754	7	0	17	56	72						
Mo.	5	8	22	380	484	114	196	266	8,504	8,630	-	1	5	34	32						
Nebr.	5	2	8	125	102	-	26	57	1,140	1,192	1	0	2	14	8						
N. Dak.	-	0	16	18	19	-	2	7	78	127	-	0	2	2	6						
S. Dak.	-	1	6	79	79	4	6	11	218	320	-	0	0	-	-						
