
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending September 24, 2005 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,555	1,474	4	9	85	83	158	139													
NEW ENGLAND	124	135	-	1	10	8	5	1													
Maine	6	12	-	-	-	-	1	-													
N.H.	6	15	-	-	-	2	-	-													
Vt.	7	6	-	-	-	-	2	1													
Mass.	59	63	-	1	3	3	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	39	36	-	-	5	3	1	-													
MID. ATLANTIC	314	299	-	1	-	4	37	32													
Upstate N.Y.	94	102	-	1	-	4	8	5													
N.Y. City	56	66	-	-	-	-	10	12													
N.J.	61	56	-	-	-	-	9	2													
Pa.	103	75	-	-	-	-	10	13													
E.N. CENTRAL	221	281	1	-	4	8	16	42													
Ohio	94	80	-	-	-	2	10	14													
Ind.	54	39	-	-	4	4	-	1													
Ill.	35	99	-	-	-	-	3	20													
Mich.	17	18	1	-	-	2	2	4													
Wis.	21	45	-	-	-	-	1	3													
W.N. CENTRAL	83	83	-	2	3	3	9	8													
Minn.	37	37	-	1	3	3	2	-													
Iowa	1	1	-	1	-	-	-	-													
Mo.	29	32	-	-	-	-	5	6													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	7	4	-	-	-	-	1	1													
Kans.	8	6	-	-	-	-	-	1													
S. ATLANTIC	370	333	1	-	22	22	22	24													
Del.	-	-	-	-	-	-	-	-													
Md.	54	52	-	-	5	5	-	-													
D.C.	-	2	-	-	-	-	-	1													
Va.	37	31	-	-	-	-	2	4													
W. Va.	23	15	-	-	1	4	4	-													
N.C.	65	44	1	-	7	5	-	1													
S.C.	21	10	-	-	-	-	2	1													
Ga.	71	91	-	-	-	-	10	16													
Fla.	99	88	-	-	9	8	4	1													
E.S. CENTRAL	90	58	-	1	1	-	17	7													
Ky.	8	5	-	-	1	-	2	-													
Tenn.	64	39	-	-	-	-	11	5													
Ala.	18	12	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	85	59	1	1	7	6	6	1													
Ark.	4	1	-	-	1	-	-	-													
La.	28	12	1	-	2	-	6	1													
Okla.	51	45	-	-	4	6	-	-													
Tex.	2	1	-	1	-	-	-	-													
MOUNTAIN	178	153	-	3	13	22	36	18													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	4	1	-	-	-	1	1	-													
Colo.	34	39	-	-	-	-	9	5													
N. Mex.	16	32	-	-	4	7	2	6													
Ariz.	95	53	-	-	7	9	15	2													
Utah	13	12	-	2	-	2	6	2													
Nev.	13	11	-	1	2	3	2	1													
PACIFIC	90	73	1	-	25	10	10	6													
Wash.	3	1	-	-	-	-	2	1													
Oreg.	29	34	-	-	-	-	5	2													
Calif.	45	25	1	-	25	10	2	1													
Alaska	5	5	-	-	-	-	1	1													
Hawaii	8	8	-	-	-	-	-	1													
Guam	-	-	-	-	-	-	-	-													
P.R.	3	2	-	-	-	-	1	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


