
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 16, 2010 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2010
Hepatitis (Viral Acute), Type A cummulative for 2009
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2010
Hepatitis (Viral Acute), Type B cummulative for 2009
Hepatitis (Viral Acute), Type C current week
Hepatitis (Viral Acute), Type C previous 52 weeks median 
Hepatitis (Viral Acute), Type C previous 52 weeks maximum 
Hepatitis (Viral Acute), Type C cummulative for 2010
Hepatitis (Viral Acute), Type C cummulative for 2009

tab delimited data:
test
UNITED STATES	10	35	57	23	59	22	63	89	44	149	6	17	36	8	35						
NEW ENGLAND	2	2	5	2	3	-	1	3	2	3	2	1	5	3	3						
Conn.	2	0	2	2	-	-	0	3	2	2	2	1	4	3	3						
Maine	-	0	1	-	-	-	0	2	-	-	-	0	2	-	-						
Mass.	-	1	4	-	3	-	0	2	-	1	-	0	2	-	-						
N.H.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
R.I.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
MID. ATLANTIC	1	5	10	4	7	-	5	16	2	11	-	2	7	-	3						
N.J.	-	1	5	-	2	-	1	6	-	3	-	0	1	-	1						
N.Y. (Upstate)	-	1	3	-	1	-	1	4	-	2	-	1	4	-	-						
N.Y. City	1	2	5	2	2	-	1	5	1	2	-	0	0	-	-						
Pa.	-	1	6	2	2	-	2	8	1	4	-	0	4	-	2						
E.N. CENTRAL	2	4	18	4	15	2	6	19	2	40	2	3	14	2	11						
Ill.	-	2	12	-	4	-	1	7	-	3	-	0	1	-	-						
Ind.	-	0	4	-	1	-	1	5	-	5	-	0	4	-	-						
Mich.	1	1	4	1	5	1	2	8	1	10	2	3	12	2	8						
Ohio	1	0	3	2	5	1	1	8	1	21	-	0	5	-	3						
Wis.	-	0	4	1	-	-	0	4	-	1	-	0	2	-	-						
W.N. CENTRAL	-	2	7	1	2	1	3	8	1	10	-	0	4	-	-						
Iowa	-	0	3	-	-	-	0	3	-	3	-	0	4	-	-						
Kans.	-	0	2	-	-	-	0	2	-	-	-	0	1	-	-						
Minn.	-	0	4	-	-	-	0	4	-	-	-	0	2	-	-						
Mo.	-	0	3	1	2	1	1	5	1	5	-	0	1	-	-						
Nebr.	-	0	3	-	-	-	0	2	-	2	-	0	1	-	-						
N. Dak.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	2	8	14	6	14	11	16	32	19	36	-	3	12	1	3						
Del.	-	0	1	-	-	U	0	0	U	U	U	0	0	U	U						
D.C.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Fla.	2	3	9	3	6	8	5	13	13	12	-	1	4	-	1						
Ga.	-	1	3	-	3	3	3	7	6	15	-	0	3	-	1						
Md.	-	1	4	-	5	-	1	5	-	1	-	1	3	1	1						
N.C.	-	0	7	-	-	-	0	19	-	7	-	0	10	-	-						
S.C.	-	1	4	3	-	-	1	4	-	-	-	0	1	-	-						
Va.	-	1	3	-	-	-	1	6	-	1	-	0	2	-	-						
W. Va.	-	0	2	-	-	-	0	19	-	-	-	0	2	-	-						
E.S. CENTRAL	1	1	3	1	4	5	7	11	9	20	-	2	6	-	10						
Ala.	1	0	2	1	1	2	1	7	4	4	-	0	2	-	-						
Ky.	-	0	2	-	-	2	2	6	4	6	-	1	5	-	5						
Miss.	-	0	1	-	2	-	0	2	-	1	-	0	0	-	-						
Tenn.	-	0	2	-	1	1	3	5	1	9	-	0	3	-	5						
