
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending October 29, 2011 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2011
Shigellosis cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010

tab delimited data:
test
UNITED STATES	203	238	742	9,209	11,757	-	3	15	174	132	9	25	245	1,652	1,416						
NEW ENGLAND	-	4	19	205	302	-	0	1	1	-	-	0	1	6	4						
Conn.	-	0	3	36	69	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	4	20	6	-	0	0	-	-	-	0	0	-	2						
Mass.	-	2	18	136	201	-	0	0	-	-	-	0	1	4	-						
N.H.	-	0	1	3	14	-	0	1	1	-	-	0	1	1	1						
R.I.	-	0	4	6	11	-	0	0	-	-	-	0	1	1	1						
Vt.	-	0	1	4	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	7	15	74	721	1,448	-	0	2	13	2	-	1	4	43	93						
N.J.	-	3	9	125	338	-	0	0	-	1	-	0	2	-	56						
N.Y. (Upstate)	7	3	18	236	204	-	0	1	3	1	-	0	1	7	14						
N.Y. City	-	5	20	254	268	-	0	0	-	-	-	0	3	20	11						
Pa.	-	3	56	106	638	-	0	2	10	-	-	0	3	16	12						
E.N. CENTRAL	6	16	40	643	1,378	-	0	2	8	3	1	1	8	97	75						
Ill.	-	5	16	192	773	-	0	1	2	2	-	0	4	38	34						
Ind.	-	1	4	43	53	-	0	1	2	1	1	0	4	42	20						
Mich.	1	3	10	141	222	-	0	1	1	-	-	0	1	1	1						
