
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 10, 2004 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	234	298	33	66	31	27	3,704	4,850	70,014	85,756											
NEW ENGLAND	15	12	1	7	4	3	344	290	1,857	1,873											
Maine	-	1	-	-	-	-	32	28	69	40											
N.H.	2	3	-	1	-	-	11	16	28	33											
Vt.	-	-	-	-	-	-	21	20	21	28											
Mass.	2	3	-	2	4	3	176	153	940	701											
R.I.	1	1	-	-	-	-	23	29	257	266											
Conn.	10	4	1	4	-	-	81	44	542	805											
MID. ATLANTIC	18	30	1	1	9	4	795	849	9,080	10,636											
Upstate N.Y.	6	7	1	-	3	2	237	186	1,885	1,778											
N.Y. City	4	3	-	-	-	-	263	345	2,754	3,555											
N.J.	-	4	-	-	2	-	60	114	1,307	2,383											
Pa.	8	16	-	1	4	2	235	204	3,134	2,920											
E.N. CENTRAL	45	63	7	11	4	2	442	684	12,699	18,646											
Ohio	14	14	-	8	4	2	201	199	2,919	5,904											
Ind.	9	7	-	-	-	-	-	-	1,448	1,771											
Ill.	6	13	-	-	-	-	59	200	3,451	5,926											
Mich.	8	12	1	-	-	-	138	170	4,021	3,422											
Wis.	8	17	6	3	-	-	44	115	860	1,623											
W.N. CENTRAL	42	33	7	5	6	6	420	400	4,019	4,437											
Minn.	20	13	3	4	-	-	149	117	825	724											
Iowa	4	3	-	-	-	-	54	58	-	261											
Mo.	5	9	4	1	1	-	117	131	2,102	2,293											
N. Dak.	2	1	-	-	3	1	7	12	37	13											
S. Dak.	-	2	-	-	-	-	18	11	71	36											
Nebr.	5	4	-	-	-	-	35	41	297	402											
Kans.	6	1	-	-	2	5	40	30	687	708											
S. ATLANTIC	20	57	12	34	3	10	621	1,476	15,477	20,476											
Del.	-	-	N	N	N	N	14	15	278	351											
Md.	2	-	-	-	-	-	26	28	2,285	2,104											
D.C.	-	1	-	-	-	-	14	6	604	675											
Va.	-	3	5	-	-	-	92	58	472	2,124											
W. Va.	1	1	-	-	-	-	9	7	228	225											
N.C.	-	-	4	7	-	-	N	N	4,083	3,616											
S.C.	-	-	-	-	-	-	15	30	2,443	2,242											
Ga.	6	5	2	2	-	-	155	196	780	4,202											
Fla.	11	47	1	25	3	10	296	1,136	4,304	4,937											
E.S. CENTRAL	8	12	1	-	4	-	80	76	5,871	7,465											
Ky.	4	2	1	-	4	-	N	N	616	930											
Tenn.	2	6	-	-	-	-	28	34	2,138	2,301											
Ala.	1	3	-	-	-	-	52	42	1,783	2,436											
Miss.	1	1	-	-	-	-	-	-	1,334	1,798											
W.S. CENTRAL	15	15	-	2	-	2	65	51	10,282	11,437											
Ark.	1	2	-	-	-	-	33	31	974	1,018											
La.	-	-	-	-	-	-	7	3	3,221	2,925											
Okla.	3	-	-	-	-	-	25	17	1,092	977											
Tex.	11	13	-	2	-	2	-	-	4,995	6,517											
MOUNTAIN	41	32	3	5	1	-	329	323	2,857	2,970											
Mont.	2	-	-	-	-	-	7	11	11	37											
Idaho	5	8	1	3	-	-	47	41	19	25											
Wyo.	-	-	-	-	-	-	3	4	14	12											
Colo.	21	14	1	1	1	-	99	88	676	820											
N. Mex.	3	-	-	1	-	-	15	15	152	342											
Ariz.	3	8	N	N	N	N	66	60	1,365	1,161											
Utah	3	2	-	-	-	-	61	70	73	68											
Nev.	4	-	1	-	-	-	31	34	547	505											
PACIFIC	30	44	1	1	-	-	608	701	7,872	7,816											
Wash.	6	15	-	-	-	-	60	51	691	761											
Oreg.	2	6	1	1	-	-	93	77	198	259											
Calif.	16	23	-	-	-	-	422	528	6,817	6,371											
Alaska	1	-	-	-	-	-	13	20	165	152											
Hawaii	5	-	-	-	-	-	20	25	1	273											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	21	4	20	46	68											
V.I.	-	-	-	-	-	-	-	-	4	27											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


