
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 31, 1999 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	1,520	1,718	3	205	437	72	2,938	3,055	2	156	314										
NEW ENGLAND	81	76	-	4	3	6	313	565	-	7	38										
Maine	5	5	-	-	-	-	-	5	-	-	-										
N.H.	12	9	-	1	-	1	54	43	-	-	-										
Vt.	4	1	-	1	-	-	9	50	-	-	-										
Mass.	47	33	-	2	2	3	222	436	-	7	8										
R.I.	3	3	-	-	-	-	17	5	-	-	1										
Conn.	10	25	-	-	1	2	11	26	-	-	29										
MID. ATLANTIC	137	179	-	25	169	13	606	326	-	21	142										
Upstate N.Y.	37	45	-	6	2	13	520	165	-	17	113										
N.Y. City	31	22	-	3	153	-	10	17	-	-	15										
N.J.	36	42	-	-	6	-	12	9	-	1	13										
Pa.	33	70	-	16	8	-	64	135	-	3	1										
E.N. CENTRAL	236	271	-	24	54	15	247	337	-	2	-										
Ohio	105	95	-	8	20	7	129	85	-	-	-										
Ind.	37	48	-	3	5	6	20	68	-	1	-										
Ill.	61	74	-	6	9	2	44	35	-	1	-										
Mich.	32	32	-	7	19	-	27	40	-	-	-										
Wis.	1	22	-	-	1	-	27	109	-	-	-										
W.N. CENTRAL	165	147	1	10	21	8	121	226	-	78	31										
Minn.	34	25	-	1	10	3	38	132	-	-	-										
Iowa	31	22	-	4	7	-	27	47	-	28	-										
Mo.	61	57	1	2	3	5	31	16	-	2	2										
N. Dak.	3	2	-	-	1	-	-	3	-	-	-										
S. Dak.	9	6	-	-	-	-	5	6	-	-	-										
Nebr.	9	10	-	-	-	-	1	8	-	48	-										
Kans.	18	25	-	3	-	-	19	14	-	-	29										
S. ATLANTIC	263	286	-	36	27	16	195	161	1	22	9										
Del.	3	1	-	-	-	-	-	2	-	-	-										
Md.	39	24	-	3	-	-	51	28	-	1	-										
D.C.	1	-	-	2	-	-	-	1	-	-	-										
Va.	32	24	-	8	5	-	13	7	-	-	-										
W. Va.	4	12	-	-	-	-	1	1	-	-	-										
N.C.	30	41	-	8	9	4	53	65	1	21	6										
S.C.	31	42	-	3	4	-	8	20	-	-	-										
Ga.	46	65	-	2	1	2	20	10	-	-	-										
Fla.	77	77	-	10	8	10	49	27	-	-	3										
E.S. CENTRAL	119	121	1	8	10	1	48	70	-	1	-										
Ky.	30	19	U	-	-	U	5	28	U	-	-										
Tenn.	43	45	-	-	1	-	27	21	-	-	-										
Ala.	27	35	-	7	5	1	12	18	-	1	-										
Miss.	19	22	1	1	4	-	4	3	-	-	-										
W.S. CENTRAL	133	193	-	25	37	8	89	203	1	6	80										
Ark.	27	25	-	-	-	-	10	25	-	-	-										
La.	34	36	-	3	5	-	3	2	-	-	-										
Okla.	24	28	-	1	-	5	12	20	-	-	-										
Tex.	48	104	-	21	32	3	64	156	1	6	80										
MOUNTAIN	98	96	-	12	27	4	292	578	-	15	5										
Mont.	2	3	-	-	-	-	2	3	-	-	-										
Idaho	8	6	-	1	3	-	93	165	-	-	-										
Wyo.	3	4	-	-	1	-	2	7	-	-	-										
Colo.	26	18	-	3	5	-	68	145	-	-	-										
N. Mex.	13	17	N	N	N	3	53	70	-	-	1										
Ariz.	29	33	-	-	5	-	29	130	-	13	1										
Utah	11	10	-	5	3	1	42	34	-	1	2										
Nev.	6	5	-	3	10	-	3	24	-	1	1										
PACIFIC	288	349	1	61	89	1	1,027	589	-	4	9										
Wash.	46	48	-	2	6	1	522	184	-	-	5										
Oreg.	48	56	N	N	N	-	24	37	-	-	-										
Calif.	185	240	1	51	64	-	468	353	-	4	2										
Alaska	5	1	-	1	2	-	3	4	-	-	-										
Hawaii	4	4	-	7	17	-	10	11	-	-	2										
Guam	1	2	U	1	2	U	1	-	U	-	-										
P.R.	5	6	-	-	2	2	15	3	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


