
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending June 4, 2005 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	2,103	2,402	1,178	1,258	390	401	2,987	3,163	104	175											
NEW ENGLAND	76	176	12	66	40	60	87	78	-	-											
Maine	3	4	N	N	-	1	1	-	-	-											
N.H.	6	12	-	-	3	N	5	2	-	-											
Vt.	7	5	6	5	3	1	-	-	-	-											
Mass.	54	83	-	14	34	36	60	48	-	-											
R.I.	6	16	6	7	-	3	2	9	-	-											
Conn.	-	56	U	40	U	19	19	19	-	-											
MID. ATLANTIC	490	422	126	94	67	58	382	410	15	21											
Upstate N.Y.	166	128	50	41	40	38	33	36	10	1											
N.Y. City	71	70	U	U	U	U	246	242	4	9											
N.J.	104	91	N	N	13	5	57	74	1	10											
Pa.	149	133	76	53	14	15	46	58	-	1											
E.N. CENTRAL	415	559	317	277	105	97	255	375	17	27											
Ohio	114	138	206	203	48	49	85	105	2	1											
Ind.	46	54	109	74	29	18	31	24	1	1											
Ill.	82	164	2	-	24	-	99	144	3	3											
Mich.	165	158	-	N	-	N	32	86	9	22											
Wis.	8	45	N	N	4	30	8	16	2	-											
W.N. CENTRAL	146	172	29	12	43	38	88	82	1	2											
Minn.	53	78	-	-	24	23	16	14	-	1											
Iowa	N	N	N	N	-	N	1	4	-	-											
Mo.	45	41	27	9	4	8	61	45	1	1											
N. Dak.	2	7	-	-	1	-	-	-	-	-											
S. Dak.	14	8	2	3	-	-	-	-	-	-											
Nebr.	9	10	-	-	4	5	2	5	-	-											
Kans.	23	28	N	N	10	2	8	14	-	-											
S. ATLANTIC	420	475	470	612	46	31	765	798	21	27											
Del.	-	2	1	3	-	N	6	3	-	-											
Md.	117	76	-	-	31	20	137	150	7	4											
D.C.	5	5	13	5	2	4	54	22	-	1											
Va.	27	39	N	N	-	N	41	44	3	1											
W. Va.	11	16	58	66	13	7	2	3	-	-											
N.C.	71	65	N	N	U	U	100	65	6	1											
S.C.	11	43	-	70	-	N	26	57	-	7											
Ga.	67	126	110	151	-	N	95	145	-	1											
Fla.	111	103	288	317	-	N	304	309	5	12											
E.S. CENTRAL	93	131	102	79	5	9	159	168	11	7											
Ky.	21	42	17	20	N	N	15	23	-	-											
Tenn.	72	89	85	57	-	N	70	62	8	1											
Ala.	-	-	-	-	-	N	59	64	3	4											
Miss.	-	-	-	2	5	9	15	19	-	2											
W.S. CENTRAL	85	178	81	38	52	83	532	472	21	32											
Ark.	7	6	9	5	10	7	23	14	-	3											
La.	5	1	72	33	17	20	111	115	2	2											
Okla.	62	32	N	N	16	23	18	12	1	2											
Tex.	11	139	N	N	9	33	380	331	18	25											
MOUNTAIN	332	250	41	18	32	25	155	158	14	24											
Mont.	-	-	-	-	-	-	5	-	-	-											
Idaho	1	4	N	N	-	N	15	10	1	2											
Wyo.	2	5	16	4	-	-	-	1	-	-											
Colo.	126	50	N	N	31	25	16	29	-	-											
N. Mex.	23	54	-	5	-	-	18	42	1	2											
Ariz.	132	116	N	N	-	N	58	66	12	20											
Utah	47	21	24	7	1	-	4	3	-	-											
Nev.	1	-	1	2	-	-	39	7	-	-											
PACIFIC	46	39	-	62	-	-	564	622	4	35											
Wash.	N	N	N	N	N	N	61	36	-	-											
Oreg.	N	N	N	N	-	N	15	15	-	-											
Calif.	-	-	N	N	N	N	482	568	4	35											
Alaska	-	-	-	-	-	N	4	-	-	-											
Hawaii	46	39	-	62	-	-	2	3	-	-											
Guam	-	-	-	-	-	-	-	1	-	-											
P.R.	N	N	N	N	-	N	75	56	6	3											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


